,Non-Mappable
0,Action.Hacking.Variety.Brute force
1,Action.Hacking.Variety.Buffer overflow
2,Action.Hacking.Variety.Cache poisoning
3,Action.Hacking.Variety.Cryptanalysis
4,Action.Hacking.Variety.CSRF
5,Action.Hacking.Variety.Disable Controls
6,Action.Hacking.Variety.Forced browsing
7,Action.Hacking.Variety.Format string attack
8,Action.Hacking.Variety.HTTP request smuggling
9,Action.Hacking.Variety.HTTP request splitting
10,Action.Hacking.Variety.HTTP response smuggling
11,Action.Hacking.Variety.HTTP Response Splitting
12,Action.Hacking.Variety.Insecure deserialization
13,Action.Hacking.Variety.Integer overflows
14,Action.Hacking.Variety.LDAP injection
15,Action.Hacking.Variety.Mail command injection
16,Action.Hacking.Variety.Null byte injection
17,Action.Hacking.Variety.Offline cracking
18,Action.Hacking.Variety.OS commanding
19,Action.Hacking.Variety.Pass-the-hash
20,Action.Hacking.Variety.Path traversal
21,Action.Hacking.Variety.Reverse engineering
22,Action.Hacking.Variety.RFI
23,Action.Hacking.Variety.Routing detour
24,Action.Hacking.Variety.Session fixation
25,Action.Hacking.Variety.Session prediction
26,Action.Hacking.Variety.Session replay
27,Action.Hacking.Variety.Soap array abuse
28,Action.Hacking.Variety.Special element injection
29,Action.Hacking.Variety.SQLi
30,Action.Hacking.Variety.SSI injection
31,Action.Hacking.Variety.URL redirector abuse
32,Action.Hacking.Vector.3rd party desktop
33,Action.Hacking.Vector.Desktop sharing software
34,Action.Hacking.Vector.Hypervisor
35,Action.Hacking.Vector.Inter-tenant
36,Action.Hacking.Vector.Physical access
37,Action.Hacking.Vector.VPN
38,Action.Hacking.Vector.Web application
39,Action.Hacking.Vector.Other
40,Action.Hacking.Vector.Unknown
41,Action.Malware.Variety.Adminware
42,Action.Malware.Variety.Adware
43,Action.Malware.Variety.Brute force
44,Action.Malware.Variety.Click fraud
45,Action.Malware.Variety.Click fraud and cryptocurrency mining
46,Action.Malware.Variety.Cryptocurrency mining
47,Action.Malware.Variety.Destroy data
48,Action.Malware.Variety.Downloader
49,Action.Malware.Variety.Exploit misconfig
50,Action.Malware.Variety.Packet sniffer
51,Action.Malware.Variety.Pass-the-hash
52,Action.Malware.Variety.Password dumper
53,Action.Malware.Vector.Direct install
54,Action.Malware.Vector.Download by malware
55,Action.Malware.Vector.Email
56,Action.Malware.Vector.Email attachment
57,Action.Malware.Vector.Email autoexecute
58,Action.Malware.Vector.Email link
59,Action.Malware.Vector.Email unknown
60,Action.Malware.Vector.Email other
61,Action.Malware.Vector.Network propagation
62,Action.Malware.Vector.Other
63,Action.Malware.Vector.Remote injection
64,Action.Malware.Vector.Web application
65,Action.Malware.Vector.Web application - download
66,Action.Malware.Vector.Unknown
67,Action.Social.Variety.Baiting
68,Action.Social.Variety.Bribery
69,Action.Social.Variety.Elicitation
70,Action.Social.Variety.Extortion
71,Action.Social.Variety.Forgery
72,Action.Social.Variety.Influence
73,Action.Social.Variety.Phishing
74,Action.Social.Variety.Propaganda
75,Action.Social.Variety.Scam
76,Action.Social.Variety.Spam
77,Action.Social.Variety.Other
78,Action.Social.Variety.Unknown
79,Action.Social.Vector.Documents
80,Action.Social.Vector.IM
81,Action.Social.Vector.Social media
82,Action.Social.Vector.Other
83,Action.Social.Vector.Unknown
84,Attribute.Integrity.Variety.Created account
85,Attribute.Integrity.Variety.Defacement
86,Attribute.Integrity.Variety.Fraudulent transaction
87,Attribute.Integrity.Variety.Repurpose
88,Attribute.Integrity.Variety.Other
89,Attribute.Integrity.Variety.Unknown
90,Attribute.Availability.Variety.Acceleration
91,Attribute.Availability.Variety.Other
92,Attribute.Availability.Variety.Unknown
93,Value_chain.development.variety.Bot
94,Value_chain.development.variety.Email
95,Value_chain.development.variety.Exploit
96,Value_chain.development.variety.Exploit Kits
97,Value_chain.development.variety.Payload
98,Value_chain.development.variety.Persona
99,Value_chain.development.variety.Physical
100,Value_chain.development.variety.Ransomware
101,Value_chain.development.variety.Trojan
102,Value_chain.development.variety.Website
103,Value_chain.development.variety.NA
104,Value_chain.development.variety.Other
105,Value_chain.development.variety.Unknown
106,Value_chain.distribution.variety.Botnet
107,Value_chain.distribution.variety.Compromised server
108,Value_chain.distribution.variety.Direct
109,Value_chain.distribution.variety.Email
110,Value_chain.distribution.variety.Loader
111,Value_chain.distribution.variety.Partner
112,Value_chain.distribution.variety.Website
113,Value_chain.distribution.variety.NA
114,Value_chain.distribution.variety.Other
115,Value_chain.distribution.variety.Unknown
116,Value_chain.non-distribution services.variety.C2
117,Value_chain.non-distribution services.variety.Counter AV
118,Value_chain.non-distribution services.variety.DNS
119,Value_chain.non-distribution services.variety.Escrow
120,Value_chain.non-distribution services.variety.Hashcracking
121,Value_chain.non-distribution services.variety.Marketplace
122,Value_chain.non-distribution services.variety.VPN
123,Value_chain.non-distribution services.variety.NA
124,Value_chain.non-distribution services.variety.Other
125,Value_chain.non-distribution services.variety.Unknown
126,Value_chain.targeting.variety.Default credentials
127,Value_chain.targeting.variety.Email addresses
128,Value_chain.targeting.variety.Misconfigurations
129,Value_chain.targeting.variety.Partner
130,Value_chain.targeting.variety.Personal Information
131,Value_chain.targeting.variety.Organizational Information
