,comments,attack_object_id,attack_object_name,references,capability_description,capability_id,mapping_type,score_category,score_value,related_score,group,status,organization,creation_date,last_update,attack_version,technology_domain,mapping_framework,mapping_framework_version
0,This control provides partial detection for some of this technique's sub-techniques and procedure examples resulting in an overall Partial detection score.,T1078,Valid Accounts,"['https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/howto-identity-protection-investigate-risk', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/overview-identity-protection', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/concept-identity-protection-risks', 'https://techcommunity.microsoft.com/t5/azure-active-directory-identity/azuread-identity-protection-adds-support-for-federated/ba-p/244328']",Azure AD Identity Protection,Azure AD Identity Protection,technique_scores,detect,partial,,Azure AD Identity Protection,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
1,"This control provides a response capability that accompanies its detection capability that can contain and eradicate the impact of this technique.  Because this capability varies between containment (federated accounts) and eradication (cloud accounts) and is only able to respond to some of this technique's sub-techniques, it has been scored as Partial.",T1078,Valid Accounts,"['https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/howto-identity-protection-investigate-risk', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/overview-identity-protection', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/concept-identity-protection-risks', 'https://techcommunity.microsoft.com/t5/azure-active-directory-identity/azuread-identity-protection-adds-support-for-federated/ba-p/244328']",Azure AD Identity Protection,Azure AD Identity Protection,technique_scores,respond,partial,,Azure AD Identity Protection,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
2,"This control provides risk detections that can be used to detect suspicious uses of valid accounts, e.g.:  Anonymous IP address, Atypical travel, Malware linked IP address, Unfamiliar sign-in properties, etc.  Microsoft utilizes machine learning and heuristic systems to reduce the false positive rate but there will be false positives.
The temporal factor of this control's detection is low because although there are some real-time detections most are offline detections (multi-day).",T1078.004,Cloud Accounts,[],Azure AD Identity Protection,Azure AD Identity Protection,technique_scores,detect,partial,T1078,Azure AD Identity Protection,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
3,"Response Type:  Eradication
Supports blocking and resetting the user's credentials based on the detection of a risky user/sign-in manually and also supports automation via its user and sign-in risk policies.",T1078.004,Cloud Accounts,[],Azure AD Identity Protection,Azure AD Identity Protection,technique_scores,respond,significant,T1078,Azure AD Identity Protection,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
4,"When Azure Active Directory (AAD) Federation is configured for a tenant, an adversary that compromises a domain credential can use it to access (Azure) cloud resources. Identity Protection supports applying its risk detections (e.g.:  Anonymous IP address, Atypical travel, Malware linked IP address, Unfamiliar sign-in properties, etc.) to federated identities thereby providing detection mitigation for this risk. Because this detection is specific to an adversary utilizing valid domain credentials to access cloud resources and does not mitigate the usage of valid domain credentials to access on-premise resources, this detection has been scored as Partial.

The temporal factor of this control's detection is low because although there are some real-time detections most are offline detections (multi-day).",T1078.002,Domain Accounts,[],Azure AD Identity Protection,Azure AD Identity Protection,technique_scores,detect,partial,T1078,Azure AD Identity Protection,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
5,"Response Type:  Containment
Supports risk detection responses such as blocking a user's access and enforcing MFA. These responses contain the impact of this sub-technique but do not eradicate it (by forcing a password reset).",T1078.002,Domain Accounts,[],Azure AD Identity Protection,Azure AD Identity Protection,technique_scores,respond,partial,T1078,Azure AD Identity Protection,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
6,"This control can be effective at detecting forged web credentials because it uses environmental properties (e.g. IP address, device info, etc.) to detect risky users and sign-ins even when valid credentials are utilized.  It provides partial coverage of this technique's sub-techniques and therefore has been assessed a Partial score.",T1606,Forge Web Credentials,"['https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/howto-identity-protection-investigate-risk', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/overview-identity-protection', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/concept-identity-protection-risks', 'https://techcommunity.microsoft.com/t5/azure-active-directory-identity/azuread-identity-protection-adds-support-for-federated/ba-p/244328']",Azure AD Identity Protection,Azure AD Identity Protection,technique_scores,detect,partial,,Azure AD Identity Protection,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
7,Provides Significant response capabilities for one of this technique's sub-techniques (SAML tokens).,T1606,Forge Web Credentials,"['https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/howto-identity-protection-investigate-risk', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/overview-identity-protection', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/concept-identity-protection-risks', 'https://techcommunity.microsoft.com/t5/azure-active-directory-identity/azuread-identity-protection-adds-support-for-federated/ba-p/244328']",Azure AD Identity Protection,Azure AD Identity Protection,technique_scores,respond,partial,,Azure AD Identity Protection,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
8,This control supports detecting risky sign-ins and users that involve federated users and therefore can potentially alert on this activity.  Not all alert types for this control support federated accounts therefore the detection coverage for this technique is partial.,T1606.002,SAML Tokens,[],Azure AD Identity Protection,Azure AD Identity Protection,technique_scores,detect,partial,T1606,Azure AD Identity Protection,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
9,"Response Type:  Eradication
Supports blocking and resetting the user's credentials based on the detection of a risky user/sign-in manually and also supports automation via its user and sign-in risk policies.",T1606.002,SAML Tokens,[],Azure AD Identity Protection,Azure AD Identity Protection,technique_scores,respond,significant,T1606,Azure AD Identity Protection,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
