,comments,attack_object_id,attack_object_name,references,tags,capability_description,capability_id,mapping_type,group,organization,creation_date,last_update,attack_version,technology_domain,mapping_framework,mapping_framework_version
0,,T1059,Command and Scripting Interpreter,[],[],,CVE-2019-15243,primary_impact,2019,,02/03/2021,10/27/2021,9.0,enterprise,cve,
1,,T1190,Exploit Public-Facing Application,[],[],,CVE-2019-15243,exploitation_technique,2019,,02/03/2021,10/27/2021,9.0,enterprise,cve,
2,,T1078,Valid Accounts,[],[],,CVE-2019-15243,exploitation_technique,2019,,02/03/2021,10/27/2021,9.0,enterprise,cve,
3,,T1068,Exploitation for Privilege Escalation,[],[],,CVE-2019-15976,primary_impact,2019,,02/03/2021,10/27/2021,9.0,enterprise,cve,
4,,T1059,Command and Scripting Interpreter,[],[],,CVE-2019-15976,secondary_impact,2019,,02/03/2021,10/27/2021,9.0,enterprise,cve,
5,,T1190,Exploit Public-Facing Application,[],[],,CVE-2019-15976,exploitation_technique,2019,,02/03/2021,10/27/2021,9.0,enterprise,cve,
6,,T1499,Endpoint Denial of Service,[],[],,CVE-2019-15956,primary_impact,2019,,02/03/2021,10/27/2021,9.0,enterprise,cve,
7,,T1098,Account Manipulation,[],[],,CVE-2019-15956,primary_impact,2019,,02/03/2021,10/27/2021,9.0,enterprise,cve,
8,,T1190,Exploit Public-Facing Application,[],[],,CVE-2019-15956,exploitation_technique,2019,,02/03/2021,10/27/2021,9.0,enterprise,cve,
9,,T1078,Valid Accounts,[],[],,CVE-2019-15956,exploitation_technique,2019,,02/03/2021,10/27/2021,9.0,enterprise,cve,
10,,T1059,Command and Scripting Interpreter,[],[],,CVE-2019-15958,primary_impact,2019,,02/03/2021,10/27/2021,9.0,enterprise,cve,
11,,T1190,Exploit Public-Facing Application,[],[],,CVE-2019-15958,exploitation_technique,2019,,02/03/2021,10/27/2021,9.0,enterprise,cve,
12,,T1574,Hijack Execution Flow,[],[],,CVE-2019-12660,primary_impact,2019,,02/03/2021,10/27/2021,9.0,enterprise,cve,
13,,T1562,Impair Defenses,[],[],,CVE-2019-12660,secondary_impact,2019,,02/03/2021,10/27/2021,9.0,enterprise,cve,
14,,T1078,Valid Accounts,[],[],,CVE-2019-12660,exploitation_technique,2019,,02/03/2021,10/27/2021,9.0,enterprise,cve,
15,,T1068,Exploitation for Privilege Escalation,[],[],,CVE-2019-1753,primary_impact,2019,,02/03/2021,10/27/2021,9.0,enterprise,cve,
16,,T1059,Command and Scripting Interpreter,[],[],,CVE-2019-1753,secondary_impact,2019,,02/03/2021,10/27/2021,9.0,enterprise,cve,
