,comments,attack_object_id,attack_object_name,references,tags,capability_description,capability_id,mapping_type,metadata_key
0,,T1059,Command and Scripting Interpreter,[],[],,CVE-2019-15243,Primary Impact,0
1,,T1190,Exploit Public-Facing Application,[],[],,CVE-2019-15243,Exploitation Technique,0
2,,T1078,Valid Accounts,[],[],,CVE-2019-15243,Exploitation Technique,0
3,,T1068,Exploitation for Privilege Escalation,[],[],,CVE-2019-15976,Primary Impact,0
4,,T1059,Command and Scripting Interpreter,[],[],,CVE-2019-15976,Secondary Impact,0
5,,T1190,Exploit Public-Facing Application,[],[],,CVE-2019-15976,Exploitation Technique,0
6,,T1499,Endpoint Denial of Service,[],[],,CVE-2019-15956,Primary Impact,0
7,,T1098,Account Manipulation,[],[],,CVE-2019-15956,Primary Impact,0
8,,T1190,Exploit Public-Facing Application,[],[],,CVE-2019-15956,Exploitation Technique,0
9,,T1078,Valid Accounts,[],[],,CVE-2019-15956,Exploitation Technique,0
10,,T1059,Command and Scripting Interpreter,[],[],,CVE-2019-15958,Primary Impact,0
11,,T1190,Exploit Public-Facing Application,[],[],,CVE-2019-15958,Exploitation Technique,0
12,,T1574,Hijack Execution Flow,[],[],,CVE-2019-12660,Primary Impact,0
13,,T1562,Impair Defenses,[],[],,CVE-2019-12660,Secondary Impact,0
14,,T1078,Valid Accounts,[],[],,CVE-2019-12660,Exploitation Technique,0
15,,T1068,Exploitation for Privilege Escalation,[],[],,CVE-2019-1753,Primary Impact,0
16,,T1059,Command and Scripting Interpreter,[],[],,CVE-2019-1753,Secondary Impact,0
17,,T1190,Exploit Public-Facing Application,[],[],,CVE-2019-1753,Exploitation Technique,0
18,,T1078,Valid Accounts,[],[],,CVE-2019-1753,Exploitation Technique,0
19,,T1557,Man-in-the-Middle,[],[],,CVE-2019-1860,Primary Impact,0
20,,T1005,Data from Local System,[],[],,CVE-2019-1860,Secondary Impact,0
21,,T1036,Masquerading,[],[],,CVE-2019-1831,Primary Impact,0
22,,T1566,Phishing,[],[],,CVE-2019-1831,Secondary Impact,0
23,,T1059,Command and Scripting Interpreter,[],[],,CVE-2019-1942,Primary Impact,0
24,,T1005,Data from Local System,[],[],,CVE-2019-1942,Secondary Impact,0
25,,T1565.001,Stored Data Manipulation,[],[],,CVE-2019-1942,Secondary Impact,0
26,,T1133,External Remote Services,[],[],,CVE-2019-1942,Exploitation Technique,0
27,,T1078,Valid Accounts,[],[],,CVE-2019-1942,Exploitation Technique,0
28,,T1059,Command and Scripting Interpreter,[],[],,CVE-2019-15972,Primary Impact,0
29,,T1005,Data from Local System,[],[],,CVE-2019-15972,Secondary Impact,0
30,,T1565.001,Stored Data Manipulation,[],[],,CVE-2019-15972,Secondary Impact,0
31,,T1133,External Remote Services,[],[],,CVE-2019-15972,Exploitation Technique,0
32,,T1078,Valid Accounts,[],[],,CVE-2019-15972,Exploitation Technique,0
33,,T1608,Stage Capabilities,[],[],,CVE-2019-16009,Primary Impact,0
34,,T1204.001,Malicious Link,[],[],,CVE-2019-16009,Exploitation Technique,0
35,,T1068,Exploitation for Privilege Escalation,[],[],,CVE-2019-1879,Primary Impact,0
36,,T1059,Command and Scripting Interpreter,[],[],,CVE-2019-1879,Secondary Impact,0
37,,T1078,Valid Accounts,[],[],,CVE-2019-1879,Exploitation Technique,0
38,,T1068,Exploitation for Privilege Escalation,[],[],,CVE-2019-1863,Primary Impact,0
39,,T1565.001,Stored Data Manipulation,[],[],,CVE-2019-1863,Secondary Impact,0
40,,T1190,Exploit Public-Facing Application,[],[],,CVE-2019-1863,Exploitation Technique,0
41,,T1078,Valid Accounts,[],[],,CVE-2019-1863,Exploitation Technique,0
42,,T1068,Exploitation for Privilege Escalation,[],[],,CVE-2020-3403,Primary Impact,0
43,,T1059,Command and Scripting Interpreter,[],[],,CVE-2020-3403,Secondary Impact,0
44,,T1078,Valid Accounts,[],[],,CVE-2020-3403,Exploitation Technique,0
45,,T1059.007,JavaScript,[],[],,CVE-2019-1941,Primary Impact,0
46,,T1557,Man-in-the-Middle,[],[],,CVE-2019-1941,Secondary Impact,0
47,,T1204.001,Malicious Link,[],[],,CVE-2019-1941,Exploitation Technique,0
48,,T1499.004,Application or System Exploitation,[],[],,CVE-2020-3292,Primary Impact,0
49,,T1059,Command and Scripting Interpreter,[],[],,CVE-2020-3292,Secondary Impact,0
50,,T1190,Exploit Public-Facing Application,[],[],,CVE-2020-3292,Exploitation Technique,0
51,,T1078,Valid Accounts,[],[],,CVE-2020-3292,Exploitation Technique,0
52,,T1529,System Shutdown/Reboot,[],[],,CVE-2018-15397,Primary Impact,0
53,,T1190,Exploit Public-Facing Application,[],[],,CVE-2018-15397,Exploitation Technique,0
54,,T1059,Command and Scripting Interpreter,[],[],,CVE-2020-3253,Primary Impact,0
55,,T1078,Valid Accounts,[],[],,CVE-2020-3253,Exploitation Technique,0
56,,T1059.007,JavaScript,[],[],,CVE-2019-1838,Primary Impact,0
57,,T1557,Man-in-the-Middle,[],[],,CVE-2019-1838,Secondary Impact,0
58,,T1204.001,Malicious Link,[],[],,CVE-2019-1838,Exploitation Technique,0
59,,T1059.007,JavaScript,[],[],,CVE-2020-3233,Primary Impact,0
60,,T1557,Man-in-the-Middle,[],[],,CVE-2020-3233,Secondary Impact,0
61,,T1204.001,Malicious Link,[],[],,CVE-2020-3233,Exploitation Technique,0
62,,T1608,Stage Capabilities,[],[],,CVE-2018-15401,Primary Impact,0
63,,T1204.001,Malicious Link,[],[],,CVE-2018-15401,Exploitation Technique,0
64,,T1059,Command and Scripting Interpreter,[],[],,CVE-2019-15249,Primary Impact,0
65,,T1190,Exploit Public-Facing Application,[],[],,CVE-2019-15249,Exploitation Technique,0
66,,T1078,Valid Accounts,[],[],,CVE-2019-15249,Exploitation Technique,0
67,,T1059.007,JavaScript,[],[],,CVE-2019-15280,Primary Impact,0
68,,T1557,Man-in-the-Middle,[],[],,CVE-2019-15280,Secondary Impact,0
69,,T1189,Drive-by Compromise,[],[],,CVE-2019-15280,Exploitation Technique,0
70,,T1608,Stage Capabilities,[],[],,CVE-2019-15288,Primary Impact,0
71,,T1133,External Remote Services,[],[],,CVE-2019-15288,Exploitation Technique,0
72,,T1078,Valid Accounts,[],[],,CVE-2019-15288,Exploitation Technique,0
73,,T1608,Stage Capabilities,[],[],,CVE-2019-1781,Primary Impact,0
74,,T1059,Command and Scripting Interpreter,[],[],,CVE-2019-1781,Secondary Impact,0
75,,T1078,Valid Accounts,[],[],,CVE-2019-1781,Exploitation Technique,0
76,,T1565.002,Transmitted Data Manipulation,[],[],,CVE-2020-3460,Primary Impact,0
77,,T1185,Man in the Browser,[],[],,CVE-2020-3460,Secondary Impact,0
78,,T1059.007,JavaScript,[],[],,CVE-2020-3137,Primary Impact,0
79,,T1557,Man-in-the-Middle,[],[],,CVE-2020-3137,Secondary Impact,0
80,,T1204.001,Malicious Link,[],[],,CVE-2020-3137,Exploitation Technique,0
81,,T1005,Data from Local System,[],[],,CVE-2020-3312,Primary Impact,0
82,,T1190,Exploit Public-Facing Application,[],[],,CVE-2020-3312,Exploitation Technique,0
83,,T1608,Stage Capabilities,[],[],,CVE-2019-1768,Primary Impact,0
84,,T1059,Command and Scripting Interpreter,[],[],,CVE-2019-1768,Secondary Impact,0
85,,T1078,Valid Accounts,[],[],,CVE-2019-1768,Exploitation Technique,0
86,,T1608,Stage Capabilities,[],[],,CVE-2020-3379,Primary Impact,0
87,,T1078,Valid Accounts,[],[],,CVE-2020-3379,Exploitation Technique,0
88,,T1563,Remote Service Session Hijacking,[],[],,CVE-2019-1724,Primary Impact,0
89,,T1529,System Shutdown/Reboot,[],[],,CVE-2019-1817,Primary Impact,0
90,,T1190,Exploit Public-Facing Application,[],[],,CVE-2019-1817,Exploitation Technique,0
91,,T1005,Data from Local System,[],[],,CVE-2020-3477,Primary Impact,0
92,,T1078,Valid Accounts,[],[],,CVE-2020-3477,Exploitation Technique,0
93,,T1574.008,Path Interception by Search Order Hijacking,[],[],,CVE-2019-1794,Primary Impact,0
94,,T1078,Valid Accounts,[],[],,CVE-2019-1794,Exploitation Technique,0
95,,T1105,Ingress Tool Transfer,[],[],,CVE-2019-1620,Primary Impact,0
96,,T1059,Command and Scripting Interpreter,[],[],,CVE-2019-1620,Secondary Impact,0
97,,T1068,Exploitation for Privilege Escalation,[],[],,CVE-2020-3216,Primary Impact,0
