,comments,attack_object_id,attack_object_name,references,capability_description,capability_id,mapping_type,group,organization,creation_date,last_update,attack_version,technology_domain,mapping_framework,mapping_framework_version
0,,T1137,Office Application Startup,[],Concurrent Session Control,AC-10,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
1,,T1137.002,Office Test,[],Concurrent Session Control,AC-10,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
2,,T1185,Browser Session Hijacking,[],Concurrent Session Control,AC-10,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
3,,T1528,Steal Application Access Token,[],Concurrent Session Control,AC-10,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
4,,T1021.001,Remote Desktop Protocol,[],Device Lock,AC-11,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
5,,T1563.002,RDP Hijacking,[],Device Lock,AC-11,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
6,,T1021.001,Remote Desktop Protocol,[],Session Termination,AC-12,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
7,,T1072,Software Deployment Tools,[],Session Termination,AC-12,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
8,,T1185,Browser Session Hijacking,[],Session Termination,AC-12,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
9,,T1563.002,RDP Hijacking,[],Session Termination,AC-12,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
10,,T1137.002,Office Test,[],Permitted Actions Without Identification or Authentication,AC-14,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
11,,T1003,OS Credential Dumping,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
12,,T1003.003,NTDS,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
13,,T1005,Data from Local System,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
14,,T1020.001,Traffic Duplication,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
15,,T1025,Data from Removable Media,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
16,,T1040,Network Sniffing,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
17,,T1041,Exfiltration Over C2 Channel,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
18,,T1048,Exfiltration Over Alternative Protocol,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
19,,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
20,,T1048.003,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
21,,T1052,Exfiltration Over Physical Medium,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
22,,T1052.001,Exfiltration over USB,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
23,,T1070,Indicator Removal on Host,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
24,,T1070.001,Clear Windows Event Logs,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
25,,T1070.002,Clear Linux or Mac System Logs,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
26,,T1114,Email Collection,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
27,,T1114.001,Local Email Collection,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
28,,T1114.002,Remote Email Collection,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
29,,T1114.003,Email Forwarding Rule,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
30,,T1119,Automated Collection,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
31,,T1213,Data from Information Repositories,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
32,,T1213.001,Confluence,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
33,,T1213.002,Sharepoint,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
34,,T1222,File and Directory Permissions Modification,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
35,,T1222.001,Windows File and Directory Permissions Modification,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
36,,T1222.002,Linux and Mac File and Directory Permissions Modification,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
37,,T1505,Server Software Component,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
38,,T1505.002,Transport Agent,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
39,,T1530,Data from Cloud Storage Object,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
40,,T1537,Transfer Data to Cloud Account,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
41,,T1547.007,Re-opened Applications,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
42,,T1547.011,Plist Modification,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
43,,T1548,Abuse Elevation Control Mechanism,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
44,,T1548.003,Sudo and Sudo Caching,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
45,,T1550.001,Application Access Token,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
46,,T1552,Unsecured Credentials,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
47,,T1552.004,Private Keys,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
48,,T1552.005,Cloud Instance Metadata API,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
49,,T1557,Adversary-in-the-Middle,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
50,,T1557.002,ARP Cache Poisoning,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
51,,T1558,Steal or Forge Kerberos Tickets,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
52,,T1558.002,Silver Ticket,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
53,,T1558.003,Kerberoasting,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
54,,T1558.004,AS-REP Roasting,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
55,,T1564.004,NTFS File Attributes,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
56,,T1565,Data Manipulation,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
57,,T1565.001,Stored Data Manipulation,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
58,,T1565.002,Transmitted Data Manipulation,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
59,,T1567,Exfiltration Over Web Service,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
60,,T1602,Data from Configuration Repository,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
61,,T1602.001,SNMP (MIB Dump),[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
62,,T1602.002,Network Device Configuration Dump,[],Security and Privacy Attributes,AC-16,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
63,,T1020.001,Traffic Duplication,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
64,,T1021,Remote Services,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
65,,T1021.001,Remote Desktop Protocol,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
66,,T1021.002,SMB/Windows Admin Shares,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
67,,T1021.003,Distributed Component Object Model,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
68,,T1021.004,SSH,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
69,,T1021.005,VNC,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
70,,T1021.006,Windows Remote Management,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
71,,T1037,Boot or Logon Initialization Scripts,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
72,,T1037.001,Logon Script (Windows),[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
73,,T1040,Network Sniffing,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
74,,T1047,Windows Management Instrumentation,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
75,,T1059,Command and Scripting Interpreter,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
76,,T1059.001,PowerShell,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
77,,T1059.002,AppleScript,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
78,,T1059.003,Windows Command Shell,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
79,,T1059.004,Unix Shell,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
80,,T1059.005,Visual Basic,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
81,,T1059.006,Python,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
82,,T1059.007,JavaScript,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
83,,T1059.008,Network Device CLI,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
84,,T1070,Indicator Removal on Host,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
85,,T1070.001,Clear Windows Event Logs,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
86,,T1070.002,Clear Linux or Mac System Logs,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
87,,T1114,Email Collection,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
88,,T1114.001,Local Email Collection,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
89,,T1114.002,Remote Email Collection,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
90,,T1114.003,Email Forwarding Rule,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
91,,T1119,Automated Collection,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
