,comments,attack_object_id,attack_object_name,references,capability_description,capability_id,mapping_type,group,organization,creation_date,last_update,attack_version,technology_domain,mapping_framework,mapping_framework_version,mapping_framework_version_schema
0,,T1556.006,Multi-Factor Authentication,[],Policy and Procedures,AC-1,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
1,,T1556.007,Hybrid Identity,[],Policy and Procedures,AC-1,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
2,,T1528,Steal Application Access Token,[],Concurrent Session Control,AC-10,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
3,,T1137,Office Application Startup,[],Concurrent Session Control,AC-10,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
4,,T1137.002,Office Test,[],Concurrent Session Control,AC-10,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
5,,T1185,Browser Session Hijacking,[],Concurrent Session Control,AC-10,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
6,,T1021.001,Remote Desktop Protocol,[],Session Lock,AC-11,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
7,,T1563.002,RDP Hijacking,[],Session Lock,AC-11,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
8,,T1505.005,Terminal Services DLL,[],Session Termination,AC-12,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
9,,T1021.001,Remote Desktop Protocol,[],Session Termination,AC-12,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
10,,T1072,Software Deployment Tools,[],Session Termination,AC-12,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
11,,T1185,Browser Session Hijacking,[],Session Termination,AC-12,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
12,,T1563.002,RDP Hijacking,[],Session Termination,AC-12,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
13,,T1137.002,Office Test,[],Permitted Actions Without Identification Or Authentication,AC-14,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
14,,T1070.008,Clear Mailbox Data,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
15,,T1647,Plist File Modification,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
16,,T1070.001,Clear Windows Event Logs,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
17,,T1537,Transfer Data to Cloud Account,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
18,,T1567,Exfiltration Over Web Service,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
19,,T1003.003,NTDS,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
20,,T1005,Data from Local System,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
21,,T1040,Network Sniffing,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
22,,T1119,Automated Collection,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
23,,T1530,Data from Cloud Storage Object,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
24,,T1557,Adversary-in-the-Middle,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
25,,T1020.001,Traffic Duplication,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
26,,T1070,Indicator Removal on Host,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
27,,T1222,File and Directory Permissions Modification,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
28,,T1505,Server Software Component,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
29,,T1547.007,Re-opened Applications,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
30,,T1548.003,Sudo and Sudo Caching,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
31,,T1550.001,Application Access Token,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
32,,T1552.005,Cloud Instance Metadata API,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
33,,T1558,Steal or Forge Kerberos Tickets,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
34,,T1558.003,Kerberoasting,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
35,,T1565,Data Manipulation,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
36,,T1565.001,Stored Data Manipulation,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
37,,T1565.002,Transmitted Data Manipulation,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
38,,T1602.002,Network Device Configuration Dump,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
39,,T1003,OS Credential Dumping,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
40,,T1025,Data from Removable Media,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
41,,T1041,Exfiltration Over C2 Channel,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
42,,T1048,Exfiltration Over Alternative Protocol,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
43,,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
44,,T1048.003,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,[],Security Attributes,AC-16,mitigates,Access Control,,02/03/2021,10/27/2021,12.1,enterprise,nist_800_53,r4,FRAMEWORK_VERSION
