,comments,attack_object_id,attack_object_name,references,capability_description,capability_id,mapping_type,group,status,organization,creation_date,last_update,attack_version,technology_domain,mapping_framework,mapping_framework_version
0,,T1556.006,Multi-Factor Authentication,[],Policy and Procedures,AC-1,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
1,,T1556.007,Hybrid Identity,[],Policy and Procedures,AC-1,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
2,,T1137,Office Application Startup,[],Concurrent Session Control,AC-10,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
3,,T1137.002,Office Test,[],Concurrent Session Control,AC-10,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
4,,T1185,Browser Session Hijacking,[],Concurrent Session Control,AC-10,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
5,,T1528,Steal Application Access Token,[],Concurrent Session Control,AC-10,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
6,,T1021.001,Remote Desktop Protocol,[],Device Lock,AC-11,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
7,,T1563.002,RDP Hijacking,[],Device Lock,AC-11,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
8,,T1021.001,Remote Desktop Protocol,[],Session Termination,AC-12,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
9,,T1072,Software Deployment Tools,[],Session Termination,AC-12,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
10,,T1185,Browser Session Hijacking,[],Session Termination,AC-12,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
11,,T1563.002,RDP Hijacking,[],Session Termination,AC-12,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
12,,T1505.005,Terminal Services DLL,[],Session Termination,AC-12,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
13,,T1137.002,Office Test,[],Permitted Actions Without Identification or Authentication,AC-14,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
14,,T1020.001,Traffic Duplication,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
15,,T1070,Indicator Removal on Host,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
16,,T1070.001,Clear Windows Event Logs,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
17,,T1222,File and Directory Permissions Modification,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
18,,T1505,Server Software Component,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
19,,T1537,Transfer Data to Cloud Account,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
20,,T1547.007,Re-opened Applications,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
21,,T1548.003,Sudo and Sudo Caching,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
22,,T1550.001,Application Access Token,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
23,,T1552.005,Cloud Instance Metadata API,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
24,,T1558,Steal or Forge Kerberos Tickets,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
25,,T1558.003,Kerberoasting,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
26,,T1565,Data Manipulation,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
27,,T1565.001,Stored Data Manipulation,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
28,,T1565.002,Transmitted Data Manipulation,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
29,,T1567,Exfiltration Over Web Service,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
30,,T1602.002,Network Device Configuration Dump,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
31,,T1003,OS Credential Dumping,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
32,,T1025,Data from Removable Media,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
