,comments,attack_object_id,attack_object_name,references,tags,mapping_description,capability_id,mapping_type,metadata_key
0,,T1137,Office Application Startup,[],[],,AC-10,mitigates,0
1,,T1137.002,Office Test,[],[],,AC-10,mitigates,0
2,,T1185,Browser Session Hijacking,[],[],,AC-10,mitigates,0
3,,T1528,Steal Application Access Token,[],[],,AC-10,mitigates,0
4,,T1021.001,Remote Desktop Protocol,[],[],,AC-11,mitigates,0
5,,T1563.002,RDP Hijacking,[],[],,AC-11,mitigates,0
6,,T1021.001,Remote Desktop Protocol,[],[],,AC-12,mitigates,0
7,,T1072,Software Deployment Tools,[],[],,AC-12,mitigates,0
8,,T1185,Browser Session Hijacking,[],[],,AC-12,mitigates,0
9,,T1563.002,RDP Hijacking,[],[],,AC-12,mitigates,0
10,,T1137.002,Office Test,[],[],,AC-14,mitigates,0
11,,T1003,OS Credential Dumping,[],[],,AC-16,mitigates,0
12,,T1003.003,NTDS,[],[],,AC-16,mitigates,0
13,,T1005,Data from Local System,[],[],,AC-16,mitigates,0
14,,T1020.001,Traffic Duplication,[],[],,AC-16,mitigates,0
15,,T1025,Data from Removable Media,[],[],,AC-16,mitigates,0
16,,T1040,Network Sniffing,[],[],,AC-16,mitigates,0
17,,T1041,Exfiltration Over C2 Channel,[],[],,AC-16,mitigates,0
18,,T1048,Exfiltration Over Alternative Protocol,[],[],,AC-16,mitigates,0
19,,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,[],[],,AC-16,mitigates,0
20,,T1048.003,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,[],[],,AC-16,mitigates,0
21,,T1052,Exfiltration Over Physical Medium,[],[],,AC-16,mitigates,0
22,,T1052.001,Exfiltration over USB,[],[],,AC-16,mitigates,0
23,,T1070,Indicator Removal on Host,[],[],,AC-16,mitigates,0
24,,T1070.001,Clear Windows Event Logs,[],[],,AC-16,mitigates,0
25,,T1070.002,Clear Linux or Mac System Logs,[],[],,AC-16,mitigates,0
26,,T1114,Email Collection,[],[],,AC-16,mitigates,0
