,comments,attack-object-id,attack-object-name,references,tags,mapping-description,capability-id,mapping-type,metadata-key
0,,T1137,Office Application Startup,[],[],,AC-10,mitigates,6
1,,T1137.002,Office Test,[],[],,AC-10,mitigates,6
2,,T1528,Steal Application Access Token,[],[],,AC-10,mitigates,6
3,,T1021.001,Remote Desktop Protocol,[],[],,AC-11,mitigates,6
4,,T1563.002,RDP Hijacking,[],[],,AC-11,mitigates,6
5,,T1021.001,Remote Desktop Protocol,[],[],,AC-12,mitigates,6
6,,T1072,Software Deployment Tools,[],[],,AC-12,mitigates,6
7,,T1563.002,RDP Hijacking,[],[],,AC-12,mitigates,6
8,,T1137.002,Office Test,[],[],,AC-14,mitigates,6
9,,T1003,OS Credential Dumping,[],[],,AC-16,mitigates,6
10,,T1003.003,NTDS,[],[],,AC-16,mitigates,6
11,,T1020.001,Traffic Duplication,[],[],,AC-16,mitigates,6
12,,T1040,Network Sniffing,[],[],,AC-16,mitigates,6
13,,T1070,Indicator Removal on Host,[],[],,AC-16,mitigates,6
14,,T1070.001,Clear Windows Event Logs,[],[],,AC-16,mitigates,6
15,,T1070.002,Clear Linux or Mac System Logs,[],[],,AC-16,mitigates,6
16,,T1114,Email Collection,[],[],,AC-16,mitigates,6
17,,T1114.001,Local Email Collection,[],[],,AC-16,mitigates,6
18,,T1114.002,Remote Email Collection,[],[],,AC-16,mitigates,6
19,,T1114.003,Email Forwarding Rule,[],[],,AC-16,mitigates,6
20,,T1119,Automated Collection,[],[],,AC-16,mitigates,6
21,,T1213,Data from Information Repositories,[],[],,AC-16,mitigates,6
22,,T1213.001,Confluence,[],[],,AC-16,mitigates,6
23,,T1213.002,Sharepoint,[],[],,AC-16,mitigates,6
24,,T1222,File and Directory Permissions Modification,[],[],,AC-16,mitigates,6
25,,T1222.001,Windows File and Directory Permissions Modification,[],[],,AC-16,mitigates,6
26,,T1222.002,Linux and Mac File and Directory Permissions Modification,[],[],,AC-16,mitigates,6
27,,T1530,Data from Cloud Storage Object,[],[],,AC-16,mitigates,6
28,,T1537,Transfer Data to Cloud Account,[],[],,AC-16,mitigates,6
29,,T1547.007,Re-opened Applications,[],[],,AC-16,mitigates,6
30,,T1547.011,Plist Modification,[],[],,AC-16,mitigates,6
31,,T1548,Abuse Elevation Control Mechanism,[],[],,AC-16,mitigates,6
32,,T1548.003,Sudo and Sudo Caching,[],[],,AC-16,mitigates,6
33,,T1550.001,Application Access Token,[],[],,AC-16,mitigates,6
34,,T1552,Unsecured Credentials,[],[],,AC-16,mitigates,6
35,,T1552.004,Private Keys,[],[],,AC-16,mitigates,6
36,,T1552.005,Cloud Instance Metadata API,[],[],,AC-16,mitigates,6
37,,T1557,Man-in-the-Middle,[],[],,AC-16,mitigates,6
38,,T1557.002,ARP Cache Poisoning,[],[],,AC-16,mitigates,6
39,,T1558,Steal or Forge Kerberos Tickets,[],[],,AC-16,mitigates,6
40,,T1558.002,Silver Ticket,[],[],,AC-16,mitigates,6
41,,T1558.003,Kerberoasting,[],[],,AC-16,mitigates,6
42,,T1558.004,AS-REP Roasting,[],[],,AC-16,mitigates,6
43,,T1564.004,NTFS File Attributes,[],[],,AC-16,mitigates,6
44,,T1565,Data Manipulation,[],[],,AC-16,mitigates,6
45,,T1565.001,Stored Data Manipulation,[],[],,AC-16,mitigates,6
46,,T1565.002,Transmitted Data Manipulation,[],[],,AC-16,mitigates,6
47,,T1602,Data from Configuration Repository,[],[],,AC-16,mitigates,6
48,,T1602.001,SNMP (MIB Dump),[],[],,AC-16,mitigates,6
49,,T1602.002,Network Device Configuration Dump,[],[],,AC-16,mitigates,6
50,,T1020.001,Traffic Duplication,[],[],,AC-17,mitigates,6
51,,T1021,Remote Services,[],[],,AC-17,mitigates,6
52,,T1021.001,Remote Desktop Protocol,[],[],,AC-17,mitigates,6
53,,T1021.002,SMB/Windows Admin Shares,[],[],,AC-17,mitigates,6
54,,T1021.003,Distributed Component Object Model,[],[],,AC-17,mitigates,6
55,,T1021.004,SSH,[],[],,AC-17,mitigates,6
56,,T1021.005,VNC,[],[],,AC-17,mitigates,6
57,,T1021.006,Windows Remote Management,[],[],,AC-17,mitigates,6
58,,T1037,Boot or Logon Initialization Scripts,[],[],,AC-17,mitigates,6
59,,T1037.001,Logon Script (Windows),[],[],,AC-17,mitigates,6
60,,T1040,Network Sniffing,[],[],,AC-17,mitigates,6
61,,T1047,Windows Management Instrumentation,[],[],,AC-17,mitigates,6
62,,T1070,Indicator Removal on Host,[],[],,AC-17,mitigates,6
63,,T1070.001,Clear Windows Event Logs,[],[],,AC-17,mitigates,6
64,,T1070.002,Clear Linux or Mac System Logs,[],[],,AC-17,mitigates,6
65,,T1114,Email Collection,[],[],,AC-17,mitigates,6
66,,T1114.001,Local Email Collection,[],[],,AC-17,mitigates,6
67,,T1114.002,Remote Email Collection,[],[],,AC-17,mitigates,6
68,,T1114.003,Email Forwarding Rule,[],[],,AC-17,mitigates,6
69,,T1119,Automated Collection,[],[],,AC-17,mitigates,6
70,,T1133,External Remote Services,[],[],,AC-17,mitigates,6
71,,T1137,Office Application Startup,[],[],,AC-17,mitigates,6
72,,T1137.002,Office Test,[],[],,AC-17,mitigates,6
73,,T1213,Data from Information Repositories,[],[],,AC-17,mitigates,6
74,,T1213.001,Confluence,[],[],,AC-17,mitigates,6
75,,T1213.002,Sharepoint,[],[],,AC-17,mitigates,6
76,,T1219,Remote Access Software,[],[],,AC-17,mitigates,6
77,,T1530,Data from Cloud Storage Object,[],[],,AC-17,mitigates,6
78,,T1537,Transfer Data to Cloud Account,[],[],,AC-17,mitigates,6
79,,T1543,Create or Modify System Process,[],[],,AC-17,mitigates,6
80,,T1543.003,Windows Service,[],[],,AC-17,mitigates,6
81,,T1550.001,Application Access Token,[],[],,AC-17,mitigates,6
82,,T1552,Unsecured Credentials,[],[],,AC-17,mitigates,6
83,,T1552.004,Private Keys,[],[],,AC-17,mitigates,6
84,,T1557,Man-in-the-Middle,[],[],,AC-17,mitigates,6
85,,T1557.002,ARP Cache Poisoning,[],[],,AC-17,mitigates,6
86,,T1558,Steal or Forge Kerberos Tickets,[],[],,AC-17,mitigates,6
87,,T1558.002,Silver Ticket,[],[],,AC-17,mitigates,6
88,,T1558.003,Kerberoasting,[],[],,AC-17,mitigates,6
89,,T1558.004,AS-REP Roasting,[],[],,AC-17,mitigates,6
90,,T1563,Remote Service Session Hijacking,[],[],,AC-17,mitigates,6
91,,T1563.001,SSH Hijacking,[],[],,AC-17,mitigates,6
92,,T1563.002,RDP Hijacking,[],[],,AC-17,mitigates,6
93,,T1565,Data Manipulation,[],[],,AC-17,mitigates,6
94,,T1565.001,Stored Data Manipulation,[],[],,AC-17,mitigates,6
95,,T1565.002,Transmitted Data Manipulation,[],[],,AC-17,mitigates,6
96,,T1602,Data from Configuration Repository,[],[],,AC-17,mitigates,6
97,,T1602.001,SNMP (MIB Dump),[],[],,AC-17,mitigates,6
98,,T1602.002,Network Device Configuration Dump,[],[],,AC-17,mitigates,6
99,,T1011,Exfiltration Over Other Network Medium,[],[],,AC-18,mitigates,6
100,,T1011.001,Exfiltration Over Bluetooth,[],[],,AC-18,mitigates,6
101,,T1020.001,Traffic Duplication,[],[],,AC-18,mitigates,6
102,,T1040,Network Sniffing,[],[],,AC-18,mitigates,6
103,,T1070,Indicator Removal on Host,[],[],,AC-18,mitigates,6
104,,T1070.001,Clear Windows Event Logs,[],[],,AC-18,mitigates,6
105,,T1070.002,Clear Linux or Mac System Logs,[],[],,AC-18,mitigates,6
106,,T1119,Automated Collection,[],[],,AC-18,mitigates,6
107,,T1530,Data from Cloud Storage Object,[],[],,AC-18,mitigates,6
108,,T1552,Unsecured Credentials,[],[],,AC-18,mitigates,6
109,,T1552.004,Private Keys,[],[],,AC-18,mitigates,6
110,,T1557,Man-in-the-Middle,[],[],,AC-18,mitigates,6
111,,T1557.002,ARP Cache Poisoning,[],[],,AC-18,mitigates,6
112,,T1558,Steal or Forge Kerberos Tickets,[],[],,AC-18,mitigates,6
113,,T1558.002,Silver Ticket,[],[],,AC-18,mitigates,6
114,,T1558.003,Kerberoasting,[],[],,AC-18,mitigates,6
115,,T1558.004,AS-REP Roasting,[],[],,AC-18,mitigates,6
116,,T1565,Data Manipulation,[],[],,AC-18,mitigates,6
117,,T1565.001,Stored Data Manipulation,[],[],,AC-18,mitigates,6
118,,T1565.002,Transmitted Data Manipulation,[],[],,AC-18,mitigates,6
119,,T1602,Data from Configuration Repository,[],[],,AC-18,mitigates,6
120,,T1602.001,SNMP (MIB Dump),[],[],,AC-18,mitigates,6
121,,T1602.002,Network Device Configuration Dump,[],[],,AC-18,mitigates,6
122,,T1020.001,Traffic Duplication,[],[],,AC-19,mitigates,6
123,,T1040,Network Sniffing,[],[],,AC-19,mitigates,6
124,,T1070,Indicator Removal on Host,[],[],,AC-19,mitigates,6
125,,T1070.001,Clear Windows Event Logs,[],[],,AC-19,mitigates,6
126,,T1070.002,Clear Linux or Mac System Logs,[],[],,AC-19,mitigates,6
127,,T1114,Email Collection,[],[],,AC-19,mitigates,6
128,,T1114.001,Local Email Collection,[],[],,AC-19,mitigates,6
129,,T1114.002,Remote Email Collection,[],[],,AC-19,mitigates,6
130,,T1114.003,Email Forwarding Rule,[],[],,AC-19,mitigates,6
131,,T1119,Automated Collection,[],[],,AC-19,mitigates,6
132,,T1530,Data from Cloud Storage Object,[],[],,AC-19,mitigates,6
133,,T1550.001,Application Access Token,[],[],,AC-19,mitigates,6
134,,T1552,Unsecured Credentials,[],[],,AC-19,mitigates,6
135,,T1552.004,Private Keys,[],[],,AC-19,mitigates,6
136,,T1557,Man-in-the-Middle,[],[],,AC-19,mitigates,6
137,,T1557.002,ARP Cache Poisoning,[],[],,AC-19,mitigates,6
138,,T1558,Steal or Forge Kerberos Tickets,[],[],,AC-19,mitigates,6
139,,T1558.002,Silver Ticket,[],[],,AC-19,mitigates,6
140,,T1558.003,Kerberoasting,[],[],,AC-19,mitigates,6
141,,T1558.004,AS-REP Roasting,[],[],,AC-19,mitigates,6
142,,T1565,Data Manipulation,[],[],,AC-19,mitigates,6
143,,T1565.001,Stored Data Manipulation,[],[],,AC-19,mitigates,6
144,,T1565.002,Transmitted Data Manipulation,[],[],,AC-19,mitigates,6
145,,T1602,Data from Configuration Repository,[],[],,AC-19,mitigates,6
146,,T1602.001,SNMP (MIB Dump),[],[],,AC-19,mitigates,6
147,,T1602.002,Network Device Configuration Dump,[],[],,AC-19,mitigates,6
148,,T1003,OS Credential Dumping,[],[],,AC-2,mitigates,6
149,,T1003.001,LSASS Memory,[],[],,AC-2,mitigates,6
150,,T1003.002,Security Account Manager,[],[],,AC-2,mitigates,6
151,,T1003.003,NTDS,[],[],,AC-2,mitigates,6
152,,T1003.004,LSA Secrets,[],[],,AC-2,mitigates,6
153,,T1003.005,Cached Domain Credentials,[],[],,AC-2,mitigates,6
154,,T1003.006,DCSync,[],[],,AC-2,mitigates,6
155,,T1003.007,Proc Filesystem,[],[],,AC-2,mitigates,6
156,,T1003.008,/etc/passwd and /etc/shadow,[],[],,AC-2,mitigates,6
157,,T1021,Remote Services,[],[],,AC-2,mitigates,6
158,,T1021.001,Remote Desktop Protocol,[],[],,AC-2,mitigates,6
159,,T1021.002,SMB/Windows Admin Shares,[],[],,AC-2,mitigates,6
160,,T1021.003,Distributed Component Object Model,[],[],,AC-2,mitigates,6
161,,T1021.004,SSH,[],[],,AC-2,mitigates,6
162,,T1021.005,VNC,[],[],,AC-2,mitigates,6
163,,T1021.006,Windows Remote Management,[],[],,AC-2,mitigates,6
164,,T1036,Masquerading,[],[],,AC-2,mitigates,6
165,,T1036.003,Rename System Utilities,[],[],,AC-2,mitigates,6
166,,T1036.005,Match Legitimate Name or Location,[],[],,AC-2,mitigates,6
167,,T1047,Windows Management Instrumentation,[],[],,AC-2,mitigates,6
168,,T1053,Scheduled Task/Job,[],[],,AC-2,mitigates,6
169,,T1053.001,At (Linux),[],[],,AC-2,mitigates,6
170,,T1053.002,At (Windows),[],[],,AC-2,mitigates,6
171,,T1053.003,Cron,[],[],,AC-2,mitigates,6
172,,T1053.004,Launchd,[],[],,AC-2,mitigates,6
173,,T1053.005,Scheduled Task,[],[],,AC-2,mitigates,6
174,,T1053.006,Systemd Timers,[],[],,AC-2,mitigates,6
175,,T1055,Process Injection,[],[],,AC-2,mitigates,6
176,,T1055.008,Ptrace System Calls,[],[],,AC-2,mitigates,6
177,,T1056.003,Web Portal Capture,[],[],,AC-2,mitigates,6
178,,T1059,Command and Scripting Interpreter,[],[],,AC-2,mitigates,6
179,,T1059.001,PowerShell,[],[],,AC-2,mitigates,6
