,comments,attack_object_id,attack_object_name,references,tags,capability_description,capability_id,mapping_type,metadata_key
0,,T1137,Office Application Startup,[],[],,AC-10,mitigates,7
1,,T1137.002,Office Test,[],[],,AC-10,mitigates,7
2,,T1528,Steal Application Access Token,[],[],,AC-10,mitigates,7
3,,T1021.001,Remote Desktop Protocol,[],[],,AC-11,mitigates,7
4,,T1563.002,RDP Hijacking,[],[],,AC-11,mitigates,7
5,,T1021.001,Remote Desktop Protocol,[],[],,AC-12,mitigates,7
6,,T1072,Software Deployment Tools,[],[],,AC-12,mitigates,7
7,,T1563.002,RDP Hijacking,[],[],,AC-12,mitigates,7
8,,T1137.002,Office Test,[],[],,AC-14,mitigates,7
9,,T1003,OS Credential Dumping,[],[],,AC-16,mitigates,7
10,,T1003.003,NTDS,[],[],,AC-16,mitigates,7
11,,T1020.001,Traffic Duplication,[],[],,AC-16,mitigates,7
12,,T1040,Network Sniffing,[],[],,AC-16,mitigates,7
13,,T1070,Indicator Removal on Host,[],[],,AC-16,mitigates,7
14,,T1070.001,Clear Windows Event Logs,[],[],,AC-16,mitigates,7
15,,T1070.002,Clear Linux or Mac System Logs,[],[],,AC-16,mitigates,7
16,,T1114,Email Collection,[],[],,AC-16,mitigates,7
17,,T1114.001,Local Email Collection,[],[],,AC-16,mitigates,7
18,,T1114.002,Remote Email Collection,[],[],,AC-16,mitigates,7
19,,T1114.003,Email Forwarding Rule,[],[],,AC-16,mitigates,7
20,,T1119,Automated Collection,[],[],,AC-16,mitigates,7
21,,T1204,User Execution,[],[],,AC-16,mitigates,7
22,,T1204.001,Malicious Link,[],[],,AC-16,mitigates,7
23,,T1204.002,Malicious File,[],[],,AC-16,mitigates,7
24,,T1222,File and Directory Permissions Modification,[],[],,AC-16,mitigates,7
25,,T1222.001,Windows File and Directory Permissions Modification,[],[],,AC-16,mitigates,7
26,,T1222.002,Linux and Mac File and Directory Permissions Modification,[],[],,AC-16,mitigates,7
27,,T1530,Data from Cloud Storage Object,[],[],,AC-16,mitigates,7
28,,T1537,Transfer Data to Cloud Account,[],[],,AC-16,mitigates,7
29,,T1547.007,Re-opened Applications,[],[],,AC-16,mitigates,7
30,,T1547.011,Plist Modification,[],[],,AC-16,mitigates,7
31,,T1548,Abuse Elevation Control Mechanism,[],[],,AC-16,mitigates,7
32,,T1548.003,Sudo and Sudo Caching,[],[],,AC-16,mitigates,7
33,,T1550.001,Application Access Token,[],[],,AC-16,mitigates,7
34,,T1552,Unsecured Credentials,[],[],,AC-16,mitigates,7
35,,T1552.004,Private Keys,[],[],,AC-16,mitigates,7
36,,T1552.005,Cloud Instance Metadata API,[],[],,AC-16,mitigates,7
37,,T1557,Man-in-the-Middle,[],[],,AC-16,mitigates,7
38,,T1557.002,ARP Cache Poisoning,[],[],,AC-16,mitigates,7
39,,T1558,Steal or Forge Kerberos Tickets,[],[],,AC-16,mitigates,7
40,,T1558.002,Silver Ticket,[],[],,AC-16,mitigates,7
41,,T1558.003,Kerberoasting,[],[],,AC-16,mitigates,7
42,,T1558.004,AS-REP Roasting,[],[],,AC-16,mitigates,7
43,,T1564.004,NTFS File Attributes,[],[],,AC-16,mitigates,7
44,,T1565,Data Manipulation,[],[],,AC-16,mitigates,7
45,,T1565.001,Stored Data Manipulation,[],[],,AC-16,mitigates,7
46,,T1565.002,Transmitted Data Manipulation,[],[],,AC-16,mitigates,7
47,,T1602,Data from Configuration Repository,[],[],,AC-16,mitigates,7
48,,T1602.001,SNMP (MIB Dump),[],[],,AC-16,mitigates,7
49,,T1602.002,Network Device Configuration Dump,[],[],,AC-16,mitigates,7
50,,T1020.001,Traffic Duplication,[],[],,AC-17,mitigates,7
51,,T1021,Remote Services,[],[],,AC-17,mitigates,7
52,,T1021.001,Remote Desktop Protocol,[],[],,AC-17,mitigates,7
53,,T1021.002,SMB/Windows Admin Shares,[],[],,AC-17,mitigates,7
54,,T1021.003,Distributed Component Object Model,[],[],,AC-17,mitigates,7
55,,T1021.004,SSH,[],[],,AC-17,mitigates,7
56,,T1021.005,VNC,[],[],,AC-17,mitigates,7
57,,T1021.006,Windows Remote Management,[],[],,AC-17,mitigates,7
58,,T1037,Boot or Logon Initialization Scripts,[],[],,AC-17,mitigates,7
59,,T1037.001,Logon Script (Windows),[],[],,AC-17,mitigates,7
60,,T1040,Network Sniffing,[],[],,AC-17,mitigates,7
61,,T1047,Windows Management Instrumentation,[],[],,AC-17,mitigates,7
62,,T1070,Indicator Removal on Host,[],[],,AC-17,mitigates,7
63,,T1070.001,Clear Windows Event Logs,[],[],,AC-17,mitigates,7
64,,T1070.002,Clear Linux or Mac System Logs,[],[],,AC-17,mitigates,7
65,,T1114,Email Collection,[],[],,AC-17,mitigates,7
66,,T1114.001,Local Email Collection,[],[],,AC-17,mitigates,7
67,,T1114.002,Remote Email Collection,[],[],,AC-17,mitigates,7
68,,T1114.003,Email Forwarding Rule,[],[],,AC-17,mitigates,7
69,,T1119,Automated Collection,[],[],,AC-17,mitigates,7
70,,T1133,External Remote Services,[],[],,AC-17,mitigates,7
71,,T1137,Office Application Startup,[],[],,AC-17,mitigates,7
72,,T1137.002,Office Test,[],[],,AC-17,mitigates,7
73,,T1204,User Execution,[],[],,AC-17,mitigates,7
74,,T1204.001,Malicious Link,[],[],,AC-17,mitigates,7
75,,T1204.002,Malicious File,[],[],,AC-17,mitigates,7
