,comments,attack_object_id,attack_object_name,references,capability_description,capability_id,mapping_type,score_category,score_value,related_score,group,organization,creation_date,last_update,attack_version,technology_domain,mapping_framework,mapping_framework_version,mapping_framework_version_schema
0,"AWS RDS and AWS RDS Proxy support TLS/SSL connections to database instances which protects against network sniffing attacks. As a result, this mapping is given a score of Significant.",T1040,Network Sniffing,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],AWS RDS,AWS RDS,technique_scores,protect,significant,,AWS RDS,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
1,"AWS RDS supports the encryption of database instances using the AES-256 encryption algorithm. This can protect database instances from being modified at rest. Furthermore, AWS RDS supports TLS/SSL connections which protect data from being modified during transit. This mapping is given a score of Partial because it only supports a subset of the sub-techniques (2 of 3). ",T1565,Data Manipulation,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],AWS RDS,AWS RDS,technique_scores,protect,partial,,AWS RDS,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
2,"AWS RDS supports the replication and recovery of database instances. In the event that data is manipulated, AWS RDS can be used to restore the database instance to a previous point in time. As a result, this mapping is given a score of Significant.",T1565,Data Manipulation,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],AWS RDS,AWS RDS,technique_scores,respond,significant,,AWS RDS,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
3,"AWS RDS supports the encryption of database instances using the AES-256 encryption algorithm. This can protect database instances from being modified at rest. Furthermore, AWS RDS supports TLS/SSL connections which protect data from being modified during transit. As a result, this mapping is given a score of Significant.",T1565.001,Stored Data Manipulation,[],AWS RDS,AWS RDS,technique_scores,protect,significant,T1565,AWS RDS,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
4,"AWS RDS supports the replication and recovery of database instances. In the event that data is manipulated, AWS RDS can be used to restore the database instance to a previous point in time. As a result, this mapping is given a score of Significant.",T1565.001,Stored Data Manipulation,[],AWS RDS,AWS RDS,technique_scores,respond,significant,T1565,AWS RDS,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
5,"AWS RDS supports the encryption of database instances using the AES-256 encryption algorithm. This can protect database instances from being modified at rest. Furthermore, AWS RDS supports TLS/SSL connections which protect data from being modified during transit. As a result, this mapping is given a score of Significant.",T1565.002,Transmitted Data Manipulation,[],AWS RDS,AWS RDS,technique_scores,protect,significant,T1565,AWS RDS,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
6,"AWS RDS supports the replication and recovery of database instances. In the event that data is manipulated, AWS RDS can be used to restore the database instance to a previous point in time. As a result, this mapping is given a score of Significant.",T1565.002,Transmitted Data Manipulation,[],AWS RDS,AWS RDS,technique_scores,respond,significant,T1565,AWS RDS,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
7,"AWS RDS and AWS RDS Proxy support TLS/SSL connections to database instances which protects against man-in-the-middle attacks. However, given that it does not support any sub-techniques, the mapping is given a score of Partial.",T1557,Man-in-the-Middle,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],AWS RDS,AWS RDS,technique_scores,protect,significant,,AWS RDS,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
8,AWS RDS supports the automatic patching of minor versions of database instances. This can result in security flaws in the database instances being fixed before they can be exploited. This mapping is given a score of Partial because it does not protect against misconfigured database instances which may be susceptible to exploitation.     ,T1190,Exploit Public-Facing Application,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],AWS RDS,AWS RDS,technique_scores,protect,partial,,AWS RDS,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
9,"AWS RDS supports the replication and recovery of database instances. In the event that a database instance is compromised, AWS RDS can be used to restore the database instance to a previous point in time. As a result, this mapping is given a score of Significant.",T1190,Exploit Public-Facing Application,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],AWS RDS,AWS RDS,technique_scores,respond,significant,,AWS RDS,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
