,comments,attack_object_id,attack_object_name,references,tags,capability_description,capability_id,mapping_type,score_category,score_value,related_score,group,organization,creation_date,last_update,attack_version,technology_domain,mapping_framework,mapping_framework_version
0,"VirusTotal, now part of Google Cloud, provides threat context and reputation data to help analyze suspicious files, URLs, domains, and IP addresses to detect cybersecurity threats.  This control can help mitigate adversaries that try to send malware via emails using malicious links or attachments. The malware-scanner service scans the uploaded document for malware.
If the document is infected, the service moves it to a quarantined bucket; otherwise the document is moved into another bucket that holds uninfected scanned documents.",T1566,Phishing,"['https://cloud.google.com/architecture/automating-malware-scanning-for-documents-uploaded-to-cloud-storage', 'https://cloud.google.com/chronicle/docs/investigation/view-virustotal-information', 'https://assets.virustotal.com/vt-360-outcomes.pdf']","['Antivirus', 'Antimalware', 'Malware']",Virus Total,Virus Total,technique-scores,Protect,Significant,,Virus Total,,05/11/2022,05/11/2022,10,enterprise,gcp,
1,"VirusTotal, now part of Google Cloud, provides threat context and reputation data to help analyze suspicious files, URLs, domains, and IP addresses to detect cybersecurity threats. ",T1566.001,Spearphishing Attachment,"['https://cloud.google.com/architecture/automating-malware-scanning-for-documents-uploaded-to-cloud-storage', 'https://cloud.google.com/chronicle/docs/investigation/view-virustotal-information', 'https://assets.virustotal.com/vt-360-outcomes.pdf']","['Antivirus', 'Antimalware', 'Malware']",Virus Total,Virus Total,technique-scores,Protect,Partial,,Virus Total,,05/11/2022,05/11/2022,10,enterprise,gcp,
2,"VirusTotal, now part of Google Cloud, provides threat context and reputation data to help analyze suspicious files, URLs, domains, and IP addresses to detect cybersecurity threats. ",T1059,Command and Scripting Interpreter,"['https://cloud.google.com/architecture/automating-malware-scanning-for-documents-uploaded-to-cloud-storage', 'https://cloud.google.com/chronicle/docs/investigation/view-virustotal-information', 'https://assets.virustotal.com/vt-360-outcomes.pdf']","['Antivirus', 'Antimalware', 'Malware']",Virus Total,Virus Total,technique-scores,Protect,Significant,,Virus Total,,05/11/2022,05/11/2022,10,enterprise,gcp,
3,"Adversaries may send spearphishing messages with a malicious link to elicit sensitive information that can be used during targeting. VirusTotal Graph is a visualization tool built on top of the VirusTotal data set. It analyzes the relationship between files, URLs, domains, IP addresses, and other items encountered.",T1598.003,Spearphishing Link,"['https://cloud.google.com/architecture/automating-malware-scanning-for-documents-uploaded-to-cloud-storage', 'https://cloud.google.com/chronicle/docs/investigation/view-virustotal-information', 'https://assets.virustotal.com/vt-360-outcomes.pdf']","['Antivirus', 'Antimalware', 'Malware']",Virus Total,Virus Total,technique-scores,Protect,Significant,,Virus Total,,05/11/2022,05/11/2022,10,enterprise,gcp,
4,"VirusTotal, now part of Google Cloud, provides threat context and reputation data to help analyze suspicious files, URLs, domains, and IP addresses to detect cybersecurity threats.  This control can help mitigate adversaries sending malware through spearphishing emails. The malware-scanner service scans the uploaded document for malware. If the document is infected, the service moves it to a quarantined bucket; otherwise the document is moved into another bucket that holds uninfected scanned documents.",T1566.002,Spearphishing Link,"['https://cloud.google.com/architecture/automating-malware-scanning-for-documents-uploaded-to-cloud-storage', 'https://cloud.google.com/chronicle/docs/investigation/view-virustotal-information', 'https://assets.virustotal.com/vt-360-outcomes.pdf']","['Antivirus', 'Antimalware', 'Malware']",Virus Total,Virus Total,technique-scores,Protect,Significant,,Virus Total,,05/11/2022,05/11/2022,10,enterprise,gcp,
5,"Main memory encryption is performed using dedicated hardware within the memory controllers. Each controller includes a high-performance Advanced Encryption Standard (AES) engine. The AES engine encrypts data as it is written to DRAM or shared between sockets, and decrypts it when data is read.",T1565.003,Runtime Data Manipulation,['https://cloud.google.com/compute/confidential-vm/docs/about-cvm#security_and_privacy_features'],['Encryption'],Confidential VM and Compute Engine,Confidential VM and Compute Engine,technique-scores,Protect,Significant,,Confidential VM and Compute Engine,,05/11/2022,05/11/2022,10,enterprise,gcp,
6,"Google Cloud's HSM may protect against adversary's attempts to leverage unsecured credentials found on compromised systems. Variations of this technique are difficult to mitigate, so a partial score was granted for this control's medium to high coverage factor.",T1552,Unsecured Credentials,['https://cloud.google.com/kms/docs/hsm'],"['Encryption', 'Data Security']",Cloud Hardware Security Module (HSM),Cloud Hardware Security Module (HSM),technique-scores,Protect,Partial,,Cloud Hardware Security Module (HSM),,05/11/2022,05/11/2022,10,enterprise,gcp,
7,"Google Cloud's HSM may protect against adversary's attempts to undermine trusted controls and conduct nefarious activity or execute malicious programs. Variations of this technique are difficult to mitigate, so a partial score was granted for this control's medium to high coverage factor.",T1553,Subvert Trust Controls,['https://cloud.google.com/kms/docs/hsm'],"['Encryption', 'Data Security']",Cloud Hardware Security Module (HSM),Cloud Hardware Security Module (HSM),technique-scores,Protect,Partial,,Cloud Hardware Security Module (HSM),,05/11/2022,05/11/2022,10,enterprise,gcp,
8,"Google Cloud's HSM may protect against adversary's attempts to compromise code signing certificates that can used during targeting to run compromised code and other tampered executables. Variations of this technique are difficult to mitigate, so a partial score was granted for this control's medium to high coverage factor.",T1588.003,Code Signing Certificates,['https://cloud.google.com/kms/docs/hsm'],"['Encryption', 'Data Security']",Cloud Hardware Security Module (HSM),Cloud Hardware Security Module (HSM),technique-scores,Protect,Partial,,Cloud Hardware Security Module (HSM),,05/11/2022,05/11/2022,10,enterprise,gcp,
9,"Google Cloud's HSM may protect against adversary's attempts to compromise digital certificates that can used to encrypt data-in-transit or tamper with the certificate owner's communications.  Variations of this technique are difficult to mitigate, so a partial score was granted for this control's medium to high coverage factor.",T1588.004,Digital Certificates,['https://cloud.google.com/kms/docs/hsm'],"['Encryption', 'Data Security']",Cloud Hardware Security Module (HSM),Cloud Hardware Security Module (HSM),technique-scores,Protect,Partial,,Cloud Hardware Security Module (HSM),,05/11/2022,05/11/2022,10,enterprise,gcp,
10,"Google Cloud's HSM may protect against adversary's attempts to compromise private key certificate files (e.g., .key, .pgp, .ppk, .p12). Variations of this technique are difficult to mitigate, so a partial score was granted for this control's medium to high coverage factor.",T1552.004,Private Keys,['https://cloud.google.com/kms/docs/hsm'],"['Encryption', 'Data Security']",Cloud Hardware Security Module (HSM),Cloud Hardware Security Module (HSM),technique-scores,Protect,Partial,,Cloud Hardware Security Module (HSM),,05/11/2022,05/11/2022,10,enterprise,gcp,
11,"Google Cloud's HSM may protect against adversary's attempts to leverage passwords and unsecure credentials found in files on compromised systems.Variations of this technique are difficult to mitigate, so a partial score was granted for this control's medium to high coverage factor.",T1552.001,Credentials In Files,['https://cloud.google.com/kms/docs/hsm'],"['Encryption', 'Data Security']",Cloud Hardware Security Module (HSM),Cloud Hardware Security Module (HSM),technique-scores,Protect,Partial,,Cloud Hardware Security Module (HSM),,05/11/2022,05/11/2022,10,enterprise,gcp,
12,"Google Cloud's HSM may protect against adversary's attempts to obtain capabilities by compromising code signing certificates that will be used to run compromised code and other tampered executables. Variations of this technique are difficult to mitigate, so a partial score was granted for this control's medium to high coverage factor.",T1588,Obtain Capabilities,['https://cloud.google.com/kms/docs/hsm'],"['Encryption', 'Data Security']",Cloud Hardware Security Module (HSM),Cloud Hardware Security Module (HSM),technique-scores,Protect,Partial,,Cloud Hardware Security Module (HSM),,05/11/2022,05/11/2022,10,enterprise,gcp,
13,This control may mitigate against Network Sniffing by providing certificates for internal endpoints and applications to use with asymmetric encryption. This control helps protect the issuing Certificate Authority with the use of Google's IAM and policy controls.,T1040,Network Sniffing,['https://cloud.google.com/certificate-authority-service/docs'],"['Certificate Service', 'Network']",Certificate Authority Service,Certificate Authority Service,technique-scores,Protect,Minimal,,Certificate Authority Service,,05/11/2022,05/11/2022,10,enterprise,gcp,
14,"This control may be able to detect when adversaries use cloud accounts to elevate privileges through manipulation of IAM or access policies. This monitoring can be fine tuned to specific assets, policies, and organizations.",T1098,Account Manipulation,['https://cloud.google.com/asset-inventory/docs/overview'],"['Credentials', 'Access Management']",Cloud Asset Inventory,Cloud Asset Inventory,technique-scores,Detect,Partial,,Cloud Asset Inventory,,05/11/2022,05/11/2022,10,enterprise,gcp,
15,"This control may be able to detect when adversaries use cloud accounts to elevate privileges through manipulation of IAM or access policies for the creation of additional accounts. This monitoring can be fine tuned to specific assets, policies, and organizations.",T1098.001,Additional Cloud Credentials,['https://cloud.google.com/asset-inventory/docs/overview'],"['Credentials', 'Access Management']",Cloud Asset Inventory,Cloud Asset Inventory,technique-scores,Detect,Partial,,Cloud Asset Inventory,,05/11/2022,05/11/2022,10,enterprise,gcp,
16,"This control may be able to detect when adversaries use valid cloud accounts to elevate privileges through manipulation of IAM or access policies. This monitoring can be fine tuned to specific assets, policies, and organizations.",T1078,Valid Accounts,['https://cloud.google.com/asset-inventory/docs/overview'],"['Credentials', 'Access Management']",Cloud Asset Inventory,Cloud Asset Inventory,technique-scores,Detect,Partial,,Cloud Asset Inventory,,05/11/2022,05/11/2022,10,enterprise,gcp,
17,"This control may be able to detect when adversaries use valid cloud accounts to elevate privileges through manipulation of IAM or access policies. This monitoring can be fine tuned to specific assets, policies, and organizations.",T1078.004,Cloud Accounts,['https://cloud.google.com/asset-inventory/docs/overview'],"['Credentials', 'Access Management']",Cloud Asset Inventory,Cloud Asset Inventory,technique-scores,Detect,Partial,,Cloud Asset Inventory,,05/11/2022,05/11/2022,10,enterprise,gcp,
18,This control may mitigate or prevent stolen application access tokens from occurring. ,T1550.001,Application Access Token,['https://cloud.google.com/iap'],"['Identity', 'Credentials']",Identity Aware Proxy,Identity Aware Proxy,technique-scores,Protect,Minimal,,Identity Aware Proxy,,05/11/2022,05/11/2022,10,enterprise,gcp,
19,This control may mitigate application access token theft if the application is configured to retrieve temporary security credentials using an IAM role.,T1528,Steal Application Access Token,['https://cloud.google.com/iap'],"['Identity', 'Credentials']",Identity Aware Proxy,Identity Aware Proxy,technique-scores,Protect,Minimal,,Identity Aware Proxy,,05/11/2022,05/11/2022,10,enterprise,gcp,
20,Control can detect potentially malicious applications,T1528,Steal Application Access Token,['https://cloud.google.com/iap'],"['Identity', 'Credentials']",Identity Aware Proxy,Identity Aware Proxy,technique-scores,Detect,Partial,,Identity Aware Proxy,,05/11/2022,05/11/2022,10,enterprise,gcp,
21,"Adversaries may add adversary-controlled credentials to a cloud account to maintain persistent access to victim accounts and instances within the environment. IAP lets you enforce access control policies for applications and resources. This control may help mitigate against adversaries gaining access through cloud account by the configuration of access controls and firewalls, allowing limited access to systems.",T1098.001,Additional Cloud Credentials,['https://cloud.google.com/iap'],"['Identity', 'Credentials']",Identity Aware Proxy,Identity Aware Proxy,technique-scores,Detect,Minimal,,Identity Aware Proxy,,05/11/2022,05/11/2022,10,enterprise,gcp,
