,comments,attack_object_id,attack_object_name,references,tags,capability_description,capability_id,mapping_type,score_category,score_value,related_score,metadata_key
0,,T1040,Network Sniffing,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,technique-scores,Protect,Significant,,0
1,,T1565,Data Manipulation,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,technique-scores,Protect,Partial,,0
2,,T1565,Data Manipulation,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,technique-scores,Respond,Significant,,0
3,"AWS RDS supports the encryption of database instances using the AES-256 encryption algorithm. This can protect database instances from being modified at rest. Furthermore, AWS RDS supports TLS/SSL connections which protect data from being modified during transit. As a result, this mapping is given a score of Significant.",T1565.001,Stored Data Manipulation,[],[],,AWS RDS,technique-scores,Protect,Significant,T1565,0
4,"AWS RDS supports the replication and recovery of database instances. In the event that data is manipulated, AWS RDS can be used to restore the database instance to a previous point in time. As a result, this mapping is given a score of Significant.",T1565.001,Stored Data Manipulation,[],[],,AWS RDS,technique-scores,Respond,Significant,T1565,0
5,"AWS RDS supports the encryption of database instances using the AES-256 encryption algorithm. This can protect database instances from being modified at rest. Furthermore, AWS RDS supports TLS/SSL connections which protect data from being modified during transit. As a result, this mapping is given a score of Significant.",T1565.002,Transmitted Data Manipulation,[],[],,AWS RDS,technique-scores,Protect,Significant,T1565,0
6,"AWS RDS supports the replication and recovery of database instances. In the event that data is manipulated, AWS RDS can be used to restore the database instance to a previous point in time. As a result, this mapping is given a score of Significant.",T1565.002,Transmitted Data Manipulation,[],[],,AWS RDS,technique-scores,Respond,Significant,T1565,0
7,,T1557,Man-in-the-Middle,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,technique-scores,Protect,Significant,,0
8,,T1190,Exploit Public-Facing Application,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,technique-scores,Protect,Partial,,0
9,,T1190,Exploit Public-Facing Application,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,technique-scores,Respond,Significant,,0
10,,T1210,Exploitation of Remote Services,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,technique-scores,Protect,Partial,,0
11,,T1210,Exploitation of Remote Services,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,technique-scores,Respond,Significant,,0
