,comments,attack-object-id,attack-object-name,references,tags,mapping-description,capability-id,mapping-type,score-category,score-value,related-score,metadata-key
0,,T1040,Network Sniffing,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,technique-scores,Protect,Significant,,2
1,,T1565,Data Manipulation,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,technique-scores,Protect,Partial,,2
2,,T1565,Data Manipulation,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,technique-scores,Respond,Significant,,2
3,"AWS RDS supports the encryption of database instances using the AES-256 encryption algorithm. This can protect database instances from being modified at rest. Furthermore, AWS RDS supports TLS/SSL connections which protect data from being modified during transit. As a result, this mapping is given a score of Significant.",T1565.001,Stored Data Manipulation,[],[],,AWS RDS,technique-scores,Protect,Significant,T1565,2
4,"AWS RDS supports the replication and recovery of database instances. In the event that data is manipulated, AWS RDS can be used to restore the database instance to a previous point in time. As a result, this mapping is given a score of Significant.",T1565.001,Stored Data Manipulation,[],[],,AWS RDS,technique-scores,Respond,Significant,T1565,2
5,"AWS RDS supports the encryption of database instances using the AES-256 encryption algorithm. This can protect database instances from being modified at rest. Furthermore, AWS RDS supports TLS/SSL connections which protect data from being modified during transit. As a result, this mapping is given a score of Significant.",T1565.002,Transmitted Data Manipulation,[],[],,AWS RDS,technique-scores,Protect,Significant,T1565,2
6,"AWS RDS supports the replication and recovery of database instances. In the event that data is manipulated, AWS RDS can be used to restore the database instance to a previous point in time. As a result, this mapping is given a score of Significant.",T1565.002,Transmitted Data Manipulation,[],[],,AWS RDS,technique-scores,Respond,Significant,T1565,2
7,,T1557,Man-in-the-Middle,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,technique-scores,Protect,Significant,,2
8,,T1190,Exploit Public-Facing Application,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,technique-scores,Protect,Partial,,2
9,,T1190,Exploit Public-Facing Application,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,technique-scores,Respond,Significant,,2
10,,T1210,Exploitation of Remote Services,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,technique-scores,Protect,Partial,,2
11,,T1210,Exploitation of Remote Services,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,technique-scores,Respond,Significant,,2
12,,T1485,Data Destruction,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,technique-scores,Protect,Significant,,2
13,,T1485,Data Destruction,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,technique-scores,Detect,Partial,,2
14,,T1485,Data Destruction,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,technique-scores,Respond,Significant,,2
15,,T1486,Data Encrypted for Impact,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,technique-scores,Respond,Significant,,2
16,,T1490,Inhibit System Recovery,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,technique-scores,Detect,Partial,,2
17,,T1490,Inhibit System Recovery,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,technique-scores,Respond,Significant,,2
18,,T1561,Disk Wipe,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,technique-scores,Respond,Minimal,,2
19,"AWS RDS supports the replication and recovery of database instances. In the event that a database instance is deleted during a disk wipe, AWS RDS can be used to restore the database instance to a previous point in time. However, this mapping is only given a score of Partial because AWS RDS only provides a backup of the database instance and not the underlying system that it is hosted on.",T1561.001,Disk Content Wipe,[],[],,AWS RDS,technique-scores,Respond,Minimal,T1561,2
20,"AWS RDS supports the replication and recovery of database instances. In the event that a database instance is deleted during a disk wipe, AWS RDS can be used to restore the database instance to a previous point in time. However, this mapping is only given a score of Partial because AWS RDS only provides a backup of the database instance and not the underlying system that it is hosted on.",T1561.002,Disk Structure Wipe,[],[],,AWS RDS,technique-scores,Respond,Minimal,T1561,2
21,,T1530,Data from Cloud Storage Object,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,technique-scores,Protect,Significant,,2
22,,T1529,System Shutdown/Reboot,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,technique-scores,Detect,Partial,,2
23,,T1489,Service Stop,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,technique-scores,Detect,Partial,,2
24,"Mappings are based on the set of AWS managed rules provided by AWS Config, which are predefined rules that AWS Config uses to test for compliance with common best practices.
AWS Config rules can be set to one of two types, ""configuration changes"" and ""periodic"", which are evaluated upon configuration changes and at a user-defined period, respectively.",T1020,Automated Exfiltration,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",[],,AWS Config,technique-scores,Protect,Minimal,,2
25,"The following AWS Config managed rules can identify configuration problems that should be fixed in order to ensure SSL/TLS encryption is enabled to protect network traffic: ""acm-certificate-expiration-check"" for nearly expired certificates in AWS Certificate Manager (ACM); ""alb-http-to-https-redirection-check"" for Application Load Balancer (ALB) HTTP listeners; ""api-gw-ssl-enabled"" for API Gateway REST API stages; ""cloudfront-custom-ssl-certificate"", ""cloudfront-sni-enabled"", and ""cloudfront-viewer-policy-https"", for Amazon CloudFront distributions; ""elb-acm-certificate-required"", ""elb-custom-security-policy-ssl-check"", ""elb-predefined-security-policy-ssl-check"", and ""elb-tls-https-listeners-only"" for Elastic Load Balancing (ELB) Classic Load Balancer listeners; ""redshift-require-tls-ssl"" for Amazon Redshift cluster connections to SQL clients; ""s3-bucket-ssl-requests-only"" for requests for S3 bucket contents; and ""elasticsearch-node-to-node-encryption-check"" for Amazon ElasticSearch Service node-to-node communications.
All of these are run on configuration changes except ""alb-http-to-https-redirection-check"", which is run periodically. Coverage factor is partial for these rules, since they are specific to a subset of the available AWS services and can only mitigate behavior for adversaries who are unable to decrypt the relevant traffic, resulting in an overall score of Partial.",T1020.001,Traffic Duplication,[],[],,AWS Config,technique-scores,Protect,Partial,T1020,2
26,"Mappings are based on the set of AWS managed rules provided by AWS Config, which are predefined rules that AWS Config uses to test for compliance with common best practices.
AWS Config rules can be set to one of two types, ""configuration changes"" and ""periodic"", which are evaluated upon configuration changes and at a user-defined period, respectively.",T1040,Network Sniffing,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",[],,AWS Config,technique-scores,Protect,Partial,,2
27,"Mappings are based on the set of AWS managed rules provided by AWS Config, which are predefined rules that AWS Config uses to test for compliance with common best practices.
AWS Config rules can be set to one of two types, ""configuration changes"" and ""periodic"", which are evaluated upon configuration changes and at a user-defined period, respectively.",T1053,Scheduled Task/Job,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",[],,AWS Config,technique-scores,Protect,Minimal,,2
28,"The ""eks-endpoint-no-public-access"" managed rule can identify whether Amazon Elastic Kubernetes Service (Amazon EKS) endpoints are misconfigured to allow public endpoint access, which should be fixed in order to prevent malicious external access to the Kubernetes API server, including malicious attempts to create or modify orchestration jobs. It is run periodically and only provides partial coverage because it is specific to public access, resulting in an overall score of Partial.",T1053.007,Container Orchestration Job,[],[],,AWS Config,technique-scores,Protect,Partial,T1053,2
29,"Mappings are based on the set of AWS managed rules provided by AWS Config, which are predefined rules that AWS Config uses to test for compliance with common best practices.
AWS Config rules can be set to one of two types, ""configuration changes"" and ""periodic"", which are evaluated upon configuration changes and at a user-defined period, respectively.",T1068,Exploitation for Privilege Escalation,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",[],,AWS Config,technique-scores,Protect,Partial,,2
30,"Mappings are based on the set of AWS managed rules provided by AWS Config, which are predefined rules that AWS Config uses to test for compliance with common best practices.
AWS Config rules can be set to one of two types, ""configuration changes"" and ""periodic"", which are evaluated upon configuration changes and at a user-defined period, respectively.",T1078,Valid Accounts,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",[],,AWS Config,technique-scores,Protect,Minimal,,2
31,"The following AWS Config managed rules can identify configuration problems that should be fixed in order to ensure multi-factor authentication (MFA) is enabled properly, which can provide protection against attempted misuse of cloud accounts: ""iam-user-mfa-enabled"", ""mfa-enabled-for-iam-console-access"", ""root-account-hardware-mfa-enabled"", and ""root-account-mfa-enabled"". All of these controls are run periodically.
The following AWS Config managed rules can identify configuration problems that should be fixed in order to ensure that appropriate AWS Identity and Access Management (IAM) policies are in place to enforce fine-grained access policies and mitigate the impact of compromised valid accounts: ""iam-customer-policy-blocked-kms-actions"", ""iam-inline-policy-blocked-kms-actions"", ""iam-no-inline-policy-check"", ""iam-group-has-users-check"", ""iam-policy-blacklisted-check"", ""iam-policy-no-statements-with-admin-access"", ""iam-policy-no-statements-with-full-access"", ""iam-role-managed-policy-check"", ""iam-user-group-membership-check"", ""iam-user-no-policies-check"", and ""ec2-instance-profile-attached"" are run on configuration changes. ""iam-password-policy"", ""iam-policy-in-use"", ""iam-root-access-key-check"", ""iam-user-mfa-enabled"", ""iam-user-unused-credentials-check"", and ""mfa-enabled-for-iam-console-access"" are run periodically. The ""access-keys-rotated"" managed rule ensures that IAM access keys are rotated at an appropriate rate.
Given that these rules provide robust coverage for a variety of IAM configuration problems and most are evaluated on configuration changes, they result in an overall score of Significant.",T1078.004,Cloud Accounts,[],[],,AWS Config,technique-scores,Protect,Significant,T1078,2
32,"Mappings are based on the set of AWS managed rules provided by AWS Config, which are predefined rules that AWS Config uses to test for compliance with common best practices.
AWS Config rules can be set to one of two types, ""configuration changes"" and ""periodic"", which are evaluated upon configuration changes and at a user-defined period, respectively.",T1098,Account Manipulation,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",[],,AWS Config,technique-scores,Protect,Minimal,,2
