,comments,attack_object_id,attack_object_name,references,tags,capability_description,capability_id,mapping_type,organization,creation_date,last_update,attack_version,technology_domain,mapping_framework,mapping_framework_version
0,,T1047,Windows Management Instrumentation,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
1,,T1047,Windows Management Instrumentation,[],[],,action.hacking.vector.Command shell,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
2,,T1047,Windows Management Instrumentation,[],[],,action.malware.vector.Direct install,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
3,,T1053,Scheduled Task/Job,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
4,,T1053,Scheduled Task/Job,[],[],,action.hacking.vector.Backdoor or C2,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
5,,T1053.001,Scheduled Task/Job: At (Linux),[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
6,,T1053.002,Scheduled Task/Job: At (Windows),[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
7,,T1053.003,Scheduled Task/Job: Cron,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
8,,T1053.004,Scheduled Task/Job: Launchd,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
9,,T1053.005,Scheduled Task/Job: Scheduled Task,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
10,,T1053.006,Scheduled Task/Job: Systemd Timers,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
11,,T1053.007,Scheduled Task/Job: Container Orchestration Job,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
12,,T1059,Command and Scripting Interpreter,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
13,,T1059,Command and Scripting Interpreter,[],[],,action.hacking.vector.Command shell,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
14,,T1059.001,Command and Scripting Interpreter: PowerShell,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
15,,T1059.001,Command and Scripting Interpreter: PowerShell,[],[],,action.hacking.vector.Command shell,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
16,,T1059.002,Command and Scripting Interpreter: AppleScript,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
17,,T1059.002,Command and Scripting Interpreter: AppleScript,[],[],,action.hacking.vector.Command shell,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
18,,T1059.003,Command and Scripting Interpreter: Windows Command Shell,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
19,,T1059.003,Command and Scripting Interpreter: Windows Command Shell,[],[],,action.hacking.vector.Command shell,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
20,,T1059.004,Command and Scripting Interpreter: Unix Shell,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
21,,T1059.004,Command and Scripting Interpreter: Unix Shell,[],[],,action.hacking.vector.Command shell,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
22,,T1059.005,Command and Scripting Interpreter: Visual Basic,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
23,,T1059.005,Command and Scripting Interpreter: Visual Basic,[],[],,action.hacking.vector.Command shell,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
24,,T1059.005,Command and Scripting Interpreter: Visual Basic,[],[],,action.malware.vector.Email attachment,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
25,,T1059.006,Command and Scripting Interpreter: Python,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
26,,T1059.006,Command and Scripting Interpreter: Python,[],[],,action.hacking.vector.Command shell,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
