,comments,attack_object_id,attack_object_name,references,tags,capability_description,capability_id,mapping_type,group,organization,creation_date,last_update,attack_version,technology_domain,mapping_framework,mapping_framework_version
0,,T1047,Windows Management Instrumentation,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
1,,T1047,Windows Management Instrumentation,[],[],,action.hacking.vector.Command shell,related-to,action.hacking.vector.Command shell,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
2,,T1047,Windows Management Instrumentation,[],[],,action.malware.vector.Direct install,related-to,action.malware.vector.Direct install,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
3,,T1053,Scheduled Task/Job,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
4,,T1053,Scheduled Task/Job,[],[],,action.hacking.variety.Backdoor,related-to,action.hacking.variety.Backdoor,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
5,,T1053,Scheduled Task/Job,[],[],,action.hacking.vector.Backdoor,related-to,action.hacking.vector.Backdoor,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
6,,T1053.002,Scheduled Task/Job: At,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
7,,T1053.003,Scheduled Task/Job: Cron,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
8,,T1053.005,Scheduled Task/Job: Scheduled Task,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
9,,T1053.006,Scheduled Task/Job: Systemd Timers,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
10,,T1053.007,Scheduled Task/Job: Container Orchestration Job,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
11,,T1059,Command and Scripting Interpreter,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
12,,T1059,Command and Scripting Interpreter,[],[],,action.hacking.variety.OS commanding,related-to,action.hacking.variety.OS commanding,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
13,,T1059,Command and Scripting Interpreter,[],[],,action.hacking.vector.Command shell,related-to,action.hacking.vector.Command shell,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
14,,T1059.001,Command and Scripting Interpreter: PowerShell,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
15,,T1059.001,Command and Scripting Interpreter: PowerShell,[],[],,action.hacking.vector.Command shell,related-to,action.hacking.vector.Command shell,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
16,,T1059.002,Command and Scripting Interpreter: AppleScript,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
17,,T1059.002,Command and Scripting Interpreter: AppleScript,[],[],,action.hacking.variety.OS commanding,related-to,action.hacking.variety.OS commanding,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
18,,T1059.002,Command and Scripting Interpreter: AppleScript,[],[],,action.hacking.vector.Command shell,related-to,action.hacking.vector.Command shell,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
19,,T1059.003,Command and Scripting Interpreter: Windows Command Shell,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
20,,T1059.003,Command and Scripting Interpreter: Windows Command Shell,[],[],,action.hacking.variety.OS commanding,related-to,action.hacking.variety.OS commanding,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
21,,T1059.003,Command and Scripting Interpreter: Windows Command Shell,[],[],,action.hacking.vector.Command shell,related-to,action.hacking.vector.Command shell,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
22,,T1059.004,Command and Scripting Interpreter: Unix Shell,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
23,,T1059.004,Command and Scripting Interpreter: Unix Shell,[],[],,action.hacking.variety.OS commanding,related-to,action.hacking.variety.OS commanding,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
24,,T1059.004,Command and Scripting Interpreter: Unix Shell,[],[],,action.hacking.vector.Command shell,related-to,action.hacking.vector.Command shell,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
25,,T1059.005,Command and Scripting Interpreter: Visual Basic,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
26,,T1059.005,Command and Scripting Interpreter: Visual Basic,[],[],,action.hacking.vector.Command shell,related-to,action.hacking.vector.Command shell,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
27,,T1059.005,Command and Scripting Interpreter: Visual Basic,[],[],,action.malware.vector.Email attachment,related-to,action.malware.vector.Email attachment,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
28,,T1059.006,Command and Scripting Interpreter: Python,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
29,,T1059.006,Command and Scripting Interpreter: Python,[],[],,action.hacking.vector.Command shell,related-to,action.hacking.vector.Command shell,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
30,,T1059.007,Command and Scripting Interpreter: JavaScript,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
31,,T1059.007,Command and Scripting Interpreter: JavaScript,[],[],,action.hacking.vector.Command shell,related-to,action.hacking.vector.Command shell,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
32,,T1059.007,Command and Scripting Interpreter: JavaScript,[],[],,action.malware.vector.Email attachment,related-to,action.malware.vector.Email attachment,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
33,,T1059.008,Command and Scripting Interpreter: Network Device CLI,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
34,,T1059.008,Command and Scripting Interpreter: Network Device CLI,[],[],,action.hacking.vector.Command shell,related-to,action.hacking.vector.Command shell,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
35,,T1072,Software Deployment Tools,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
36,,T1072,Software Deployment Tools,[],[],,action.malware.variety.Adminware,related-to,action.malware.variety.Adminware,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
37,,T1072,Software Deployment Tools,[],[],,action.malware.vector.Software update,related-to,action.malware.vector.Software update,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
38,,T1072,Software Deployment Tools,[],[],,attribute.integrity.variety.Software installation,related-to,attribute.integrity.variety.Software installation,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
39,,T1106,Native API,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
40,,T1112,Modify Registry,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
