,comments,attack_object_id,attack_object_name,references,capability_description,capability_id,mapping_type,group,organization,creation_date,last_update,attack_version,technology_domain,mapping_framework,mapping_framework_version,mapping_framework_version_schema
0,,T1047,Windows Management Instrumentation,[],Abuse of functionality.,action.hacking.variety.Abuse of functionality,related-to,action.hacking,,04/06/2023,04/06/2023,12.1,enterprise,veris,1.3.7,FRAMEWORK_VERSION
1,,T1047,Windows Management Instrumentation,[],Remote shell,action.hacking.vector.Command shell,related-to,action.hacking,,04/06/2023,04/06/2023,12.1,enterprise,veris,1.3.7,FRAMEWORK_VERSION
2,,T1047,Windows Management Instrumentation,[],Directly installed or inserted by threat agent (after system access),action.malware.vector.Direct install,related-to,action.malware,,04/06/2023,04/06/2023,12.1,enterprise,veris,1.3.7,FRAMEWORK_VERSION
3,,T1053,Scheduled Task/Job,[],Abuse of functionality.,action.hacking.variety.Abuse of functionality,related-to,action.hacking,,04/06/2023,04/06/2023,12.1,enterprise,veris,1.3.7,FRAMEWORK_VERSION
4,,T1053,Scheduled Task/Job,[],Hacking action that creates a backdoor for use.,action.hacking.variety.Backdoor,related-to,action.hacking,,04/06/2023,04/06/2023,12.1,enterprise,veris,1.3.7,FRAMEWORK_VERSION
5,,T1053,Scheduled Task/Job,[],Hacking actions taken through a backdoor.  C2 is only used by malware.,action.hacking.vector.Backdoor,related-to,action.hacking,,04/06/2023,04/06/2023,12.1,enterprise,veris,1.3.7,FRAMEWORK_VERSION
6,,T1053.002,Scheduled Task/Job: At,[],Abuse of functionality.,action.hacking.variety.Abuse of functionality,related-to,action.hacking,,04/06/2023,04/06/2023,12.1,enterprise,veris,1.3.7,FRAMEWORK_VERSION
7,,T1053.003,Scheduled Task/Job: Cron,[],Abuse of functionality.,action.hacking.variety.Abuse of functionality,related-to,action.hacking,,04/06/2023,04/06/2023,12.1,enterprise,veris,1.3.7,FRAMEWORK_VERSION
8,,T1053.005,Scheduled Task/Job: Scheduled Task,[],Abuse of functionality.,action.hacking.variety.Abuse of functionality,related-to,action.hacking,,04/06/2023,04/06/2023,12.1,enterprise,veris,1.3.7,FRAMEWORK_VERSION
9,,T1053.006,Scheduled Task/Job: Systemd Timers,[],Abuse of functionality.,action.hacking.variety.Abuse of functionality,related-to,action.hacking,,04/06/2023,04/06/2023,12.1,enterprise,veris,1.3.7,FRAMEWORK_VERSION
10,,T1053.007,Scheduled Task/Job: Container Orchestration Job,[],Abuse of functionality.,action.hacking.variety.Abuse of functionality,related-to,action.hacking,,04/06/2023,04/06/2023,12.1,enterprise,veris,1.3.7,FRAMEWORK_VERSION
11,,T1059,Command and Scripting Interpreter,[],Abuse of functionality.,action.hacking.variety.Abuse of functionality,related-to,action.hacking,,04/06/2023,04/06/2023,12.1,enterprise,veris,1.3.7,FRAMEWORK_VERSION
12,,T1059,Command and Scripting Interpreter,[],OS commanding. Child of 'Exploit vuln'.,action.hacking.variety.OS commanding,related-to,action.hacking,,04/06/2023,04/06/2023,12.1,enterprise,veris,1.3.7,FRAMEWORK_VERSION
13,,T1059,Command and Scripting Interpreter,[],Remote shell,action.hacking.vector.Command shell,related-to,action.hacking,,04/06/2023,04/06/2023,12.1,enterprise,veris,1.3.7,FRAMEWORK_VERSION
14,,T1059.001,Command and Scripting Interpreter: PowerShell,[],Abuse of functionality.,action.hacking.variety.Abuse of functionality,related-to,action.hacking,,04/06/2023,04/06/2023,12.1,enterprise,veris,1.3.7,FRAMEWORK_VERSION
15,,T1059.001,Command and Scripting Interpreter: PowerShell,[],Remote shell,action.hacking.vector.Command shell,related-to,action.hacking,,04/06/2023,04/06/2023,12.1,enterprise,veris,1.3.7,FRAMEWORK_VERSION
16,,T1059.002,Command and Scripting Interpreter: AppleScript,[],Abuse of functionality.,action.hacking.variety.Abuse of functionality,related-to,action.hacking,,04/06/2023,04/06/2023,12.1,enterprise,veris,1.3.7,FRAMEWORK_VERSION
17,,T1059.002,Command and Scripting Interpreter: AppleScript,[],OS commanding. Child of 'Exploit vuln'.,action.hacking.variety.OS commanding,related-to,action.hacking,,04/06/2023,04/06/2023,12.1,enterprise,veris,1.3.7,FRAMEWORK_VERSION
18,,T1059.002,Command and Scripting Interpreter: AppleScript,[],Remote shell,action.hacking.vector.Command shell,related-to,action.hacking,,04/06/2023,04/06/2023,12.1,enterprise,veris,1.3.7,FRAMEWORK_VERSION
