,comments,attack_object_id,attack_object_name,references,capability_description,capability_id,mapping_type,capability_group,status,organization,creation_date,last_update,attack_version,technology_domain,mapping_framework,mapping_framework_version
0,,T1047,Windows Management Instrumentation,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
1,,T1047,Windows Management Instrumentation,[],Remote shell,action.hacking.vector.Command shell,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
2,,T1047,Windows Management Instrumentation,[],Directly installed or inserted by threat agent (after system access),action.malware.vector.Direct install,related-to,action.malware,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
3,,T1053,Scheduled Task/Job,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
4,,T1053,Scheduled Task/Job,[],Backdoor or command and control channel,action.hacking.vector.Backdoor or C2,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
5,,T1053.001,Scheduled Task/Job: At (Linux),[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
6,,T1053.002,Scheduled Task/Job: At (Windows),[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
7,,T1053.003,Scheduled Task/Job: Cron,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
8,,T1053.004,Scheduled Task/Job: Launchd,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
9,,T1053.005,Scheduled Task/Job: Scheduled Task,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
10,,T1053.006,Scheduled Task/Job: Systemd Timers,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
11,,T1053.007,Scheduled Task/Job: Container Orchestration Job,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
12,,T1059,Command and Scripting Interpreter,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
13,,T1059,Command and Scripting Interpreter,[],Remote shell,action.hacking.vector.Command shell,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
14,,T1059.001,Command and Scripting Interpreter: PowerShell,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
15,,T1059.001,Command and Scripting Interpreter: PowerShell,[],Remote shell,action.hacking.vector.Command shell,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
16,,T1059.002,Command and Scripting Interpreter: AppleScript,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
17,,T1059.002,Command and Scripting Interpreter: AppleScript,[],Remote shell,action.hacking.vector.Command shell,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
18,,T1059.003,Command and Scripting Interpreter: Windows Command Shell,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
19,,T1059.003,Command and Scripting Interpreter: Windows Command Shell,[],Remote shell,action.hacking.vector.Command shell,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
20,,T1059.004,Command and Scripting Interpreter: Unix Shell,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
21,,T1059.004,Command and Scripting Interpreter: Unix Shell,[],Remote shell,action.hacking.vector.Command shell,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
22,,T1059.005,Command and Scripting Interpreter: Visual Basic,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
23,,T1059.005,Command and Scripting Interpreter: Visual Basic,[],Remote shell,action.hacking.vector.Command shell,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
24,,T1059.005,Command and Scripting Interpreter: Visual Basic,[],Email via user-executed attachment. Child of 'Email',action.malware.vector.Email attachment,related-to,action.malware,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
25,,T1059.006,Command and Scripting Interpreter: Python,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
26,,T1059.006,Command and Scripting Interpreter: Python,[],Remote shell,action.hacking.vector.Command shell,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
27,,T1059.007,Command and Scripting Interpreter: JavaScript,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
28,,T1059.007,Command and Scripting Interpreter: JavaScript,[],Remote shell,action.hacking.vector.Command shell,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
29,,T1059.007,Command and Scripting Interpreter: JavaScript,[],Email via user-executed attachment. Child of 'Email',action.malware.vector.Email attachment,related-to,action.malware,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
