,comments,attack_object_id,attack_object_name,references,tags,capability_description,capability_id,mapping_type,metadata_key
0,,T1047,Windows Management Instrumentation,[],[],,action.hacking.variety.Abuse of functionality,related-to,1
1,,T1047,Windows Management Instrumentation,[],[],,action.hacking.vector.Command shell,related-to,1
2,,T1047,Windows Management Instrumentation,[],[],,action.malware.vector.Direct install,related-to,1
3,,T1053,Scheduled Task/Job,[],[],,action.hacking.variety.Abuse of functionality,related-to,1
4,,T1053,Scheduled Task/Job,[],[],,action.hacking.variety.Backdoor,related-to,1
5,,T1053,Scheduled Task/Job,[],[],,action.hacking.vector.Backdoor,related-to,1
6,,T1053.002,Scheduled Task/Job: At,[],[],,action.hacking.variety.Abuse of functionality,related-to,1
7,,T1053.003,Scheduled Task/Job: Cron,[],[],,action.hacking.variety.Abuse of functionality,related-to,1
8,,T1053.005,Scheduled Task/Job: Scheduled Task,[],[],,action.hacking.variety.Abuse of functionality,related-to,1
9,,T1053.006,Scheduled Task/Job: Systemd Timers,[],[],,action.hacking.variety.Abuse of functionality,related-to,1
10,,T1053.007,Scheduled Task/Job: Container Orchestration Job,[],[],,action.hacking.variety.Abuse of functionality,related-to,1
11,,T1059,Command and Scripting Interpreter,[],[],,action.hacking.variety.Abuse of functionality,related-to,1
12,,T1059,Command and Scripting Interpreter,[],[],,action.hacking.variety.OS commanding,related-to,1
13,,T1059,Command and Scripting Interpreter,[],[],,action.hacking.vector.Command shell,related-to,1
14,,T1059.001,Command and Scripting Interpreter: PowerShell,[],[],,action.hacking.variety.Abuse of functionality,related-to,1
15,,T1059.001,Command and Scripting Interpreter: PowerShell,[],[],,action.hacking.vector.Command shell,related-to,1
16,,T1059.002,Command and Scripting Interpreter: AppleScript,[],[],,action.hacking.variety.Abuse of functionality,related-to,1
17,,T1059.002,Command and Scripting Interpreter: AppleScript,[],[],,action.hacking.variety.OS commanding,related-to,1
18,,T1059.002,Command and Scripting Interpreter: AppleScript,[],[],,action.hacking.vector.Command shell,related-to,1
19,,T1059.003,Command and Scripting Interpreter: Windows Command Shell,[],[],,action.hacking.variety.Abuse of functionality,related-to,1
20,,T1059.003,Command and Scripting Interpreter: Windows Command Shell,[],[],,action.hacking.variety.OS commanding,related-to,1
21,,T1059.003,Command and Scripting Interpreter: Windows Command Shell,[],[],,action.hacking.vector.Command shell,related-to,1
22,,T1059.004,Command and Scripting Interpreter: Unix Shell,[],[],,action.hacking.variety.Abuse of functionality,related-to,1
23,,T1059.004,Command and Scripting Interpreter: Unix Shell,[],[],,action.hacking.variety.OS commanding,related-to,1
24,,T1059.004,Command and Scripting Interpreter: Unix Shell,[],[],,action.hacking.vector.Command shell,related-to,1
25,,T1059.005,Command and Scripting Interpreter: Visual Basic,[],[],,action.hacking.variety.Abuse of functionality,related-to,1
