,comments,attack-object-id,attack-object-name,references,tags,mapping-description,capability-id,mapping-type,metadata_key
0,,T1137,Office Application Startup,[],[],,Concurrent Session Control,mitigates,1
1,,T1137.002,Office Test,[],[],,Concurrent Session Control,mitigates,1
2,,T1185,Browser Session Hijacking,[],[],,Concurrent Session Control,mitigates,1
3,,T1528,Steal Application Access Token,[],[],,Concurrent Session Control,mitigates,1
4,,T1021.001,Remote Desktop Protocol,[],[],,Device Lock,mitigates,1
5,,T1563.002,RDP Hijacking,[],[],,Device Lock,mitigates,1
6,,T1021.001,Remote Desktop Protocol,[],[],,Session Termination,mitigates,1
7,,T1072,Software Deployment Tools,[],[],,Session Termination,mitigates,1
8,,T1185,Browser Session Hijacking,[],[],,Session Termination,mitigates,1
9,,T1563.002,RDP Hijacking,[],[],,Session Termination,mitigates,1
10,,T1137.002,Office Test,[],[],,Permitted Actions Without Identification or Authentication,mitigates,1
11,,T1003,OS Credential Dumping,[],[],,Security and Privacy Attributes,mitigates,1
12,,T1003.003,NTDS,[],[],,Security and Privacy Attributes,mitigates,1
13,,T1005,Data from Local System,[],[],,Security and Privacy Attributes,mitigates,1
14,,T1020.001,Traffic Duplication,[],[],,Security and Privacy Attributes,mitigates,1
15,,T1025,Data from Removable Media,[],[],,Security and Privacy Attributes,mitigates,1
16,,T1040,Network Sniffing,[],[],,Security and Privacy Attributes,mitigates,1
17,,T1041,Exfiltration Over C2 Channel,[],[],,Security and Privacy Attributes,mitigates,1
18,,T1048,Exfiltration Over Alternative Protocol,[],[],,Security and Privacy Attributes,mitigates,1
19,,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,[],[],,Security and Privacy Attributes,mitigates,1
20,,T1048.003,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,[],[],,Security and Privacy Attributes,mitigates,1
21,,T1052,Exfiltration Over Physical Medium,[],[],,Security and Privacy Attributes,mitigates,1
22,,T1052.001,Exfiltration over USB,[],[],,Security and Privacy Attributes,mitigates,1
23,,T1070,Indicator Removal on Host,[],[],,Security and Privacy Attributes,mitigates,1
24,,T1070.001,Clear Windows Event Logs,[],[],,Security and Privacy Attributes,mitigates,1
25,,T1070.002,Clear Linux or Mac System Logs,[],[],,Security and Privacy Attributes,mitigates,1
26,,T1114,Email Collection,[],[],,Security and Privacy Attributes,mitigates,1
27,,T1114.001,Local Email Collection,[],[],,Security and Privacy Attributes,mitigates,1
28,,T1114.002,Remote Email Collection,[],[],,Security and Privacy Attributes,mitigates,1
29,,T1114.003,Email Forwarding Rule,[],[],,Security and Privacy Attributes,mitigates,1
30,,T1119,Automated Collection,[],[],,Security and Privacy Attributes,mitigates,1
31,,T1213,Data from Information Repositories,[],[],,Security and Privacy Attributes,mitigates,1
32,,T1213.001,Confluence,[],[],,Security and Privacy Attributes,mitigates,1
33,,T1213.002,Sharepoint,[],[],,Security and Privacy Attributes,mitigates,1
34,,T1222,File and Directory Permissions Modification,[],[],,Security and Privacy Attributes,mitigates,1
35,,T1222.001,Windows File and Directory Permissions Modification,[],[],,Security and Privacy Attributes,mitigates,1
36,,T1222.002,Linux and Mac File and Directory Permissions Modification,[],[],,Security and Privacy Attributes,mitigates,1
37,,T1505,Server Software Component,[],[],,Security and Privacy Attributes,mitigates,1
38,,T1505.002,Transport Agent,[],[],,Security and Privacy Attributes,mitigates,1
39,,T1530,Data from Cloud Storage Object,[],[],,Security and Privacy Attributes,mitigates,1
40,,T1537,Transfer Data to Cloud Account,[],[],,Security and Privacy Attributes,mitigates,1
41,,T1547.007,Re-opened Applications,[],[],,Security and Privacy Attributes,mitigates,1
42,,T1547.011,Plist Modification,[],[],,Security and Privacy Attributes,mitigates,1
43,,T1548,Abuse Elevation Control Mechanism,[],[],,Security and Privacy Attributes,mitigates,1
44,,T1548.003,Sudo and Sudo Caching,[],[],,Security and Privacy Attributes,mitigates,1
45,,T1550.001,Application Access Token,[],[],,Security and Privacy Attributes,mitigates,1
46,,T1552,Unsecured Credentials,[],[],,Security and Privacy Attributes,mitigates,1
47,,T1552.004,Private Keys,[],[],,Security and Privacy Attributes,mitigates,1
48,,T1552.005,Cloud Instance Metadata API,[],[],,Security and Privacy Attributes,mitigates,1
49,,T1557,Adversary-in-the-Middle,[],[],,Security and Privacy Attributes,mitigates,1
50,,T1557.002,ARP Cache Poisoning,[],[],,Security and Privacy Attributes,mitigates,1
51,,T1558,Steal or Forge Kerberos Tickets,[],[],,Security and Privacy Attributes,mitigates,1
52,,T1558.002,Silver Ticket,[],[],,Security and Privacy Attributes,mitigates,1
53,,T1558.003,Kerberoasting,[],[],,Security and Privacy Attributes,mitigates,1
54,,T1558.004,AS-REP Roasting,[],[],,Security and Privacy Attributes,mitigates,1
55,,T1564.004,NTFS File Attributes,[],[],,Security and Privacy Attributes,mitigates,1
56,,T1565,Data Manipulation,[],[],,Security and Privacy Attributes,mitigates,1
57,,T1565.001,Stored Data Manipulation,[],[],,Security and Privacy Attributes,mitigates,1
58,,T1565.002,Transmitted Data Manipulation,[],[],,Security and Privacy Attributes,mitigates,1
59,,T1567,Exfiltration Over Web Service,[],[],,Security and Privacy Attributes,mitigates,1
60,,T1602,Data from Configuration Repository,[],[],,Security and Privacy Attributes,mitigates,1
61,,T1602.001,SNMP (MIB Dump),[],[],,Security and Privacy Attributes,mitigates,1
62,,T1602.002,Network Device Configuration Dump,[],[],,Security and Privacy Attributes,mitigates,1
63,,T1020.001,Traffic Duplication,[],[],,Remote Access,mitigates,1
64,,T1021,Remote Services,[],[],,Remote Access,mitigates,1
65,,T1021.001,Remote Desktop Protocol,[],[],,Remote Access,mitigates,1
66,,T1021.002,SMB/Windows Admin Shares,[],[],,Remote Access,mitigates,1
67,,T1021.003,Distributed Component Object Model,[],[],,Remote Access,mitigates,1
68,,T1021.004,SSH,[],[],,Remote Access,mitigates,1
69,,T1021.005,VNC,[],[],,Remote Access,mitigates,1
70,,T1021.006,Windows Remote Management,[],[],,Remote Access,mitigates,1
71,,T1037,Boot or Logon Initialization Scripts,[],[],,Remote Access,mitigates,1
72,,T1037.001,Logon Script (Windows),[],[],,Remote Access,mitigates,1
73,,T1040,Network Sniffing,[],[],,Remote Access,mitigates,1
74,,T1047,Windows Management Instrumentation,[],[],,Remote Access,mitigates,1
75,,T1059,Command and Scripting Interpreter,[],[],,Remote Access,mitigates,1
76,,T1059.001,PowerShell,[],[],,Remote Access,mitigates,1
77,,T1059.002,AppleScript,[],[],,Remote Access,mitigates,1
78,,T1059.003,Windows Command Shell,[],[],,Remote Access,mitigates,1
79,,T1059.004,Unix Shell,[],[],,Remote Access,mitigates,1
80,,T1059.005,Visual Basic,[],[],,Remote Access,mitigates,1
81,,T1059.006,Python,[],[],,Remote Access,mitigates,1
82,,T1059.007,JavaScript,[],[],,Remote Access,mitigates,1
