,comments,attack-object-id,attack-object-name,references,tags,mapping-description,capability-id,mapping-type,score-category,score-value,related-score,metadata_key
0,,T1078,Valid Accounts,"['https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/howto-identity-protection-investigate-risk', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/overview-identity-protection', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/concept-identity-protection-risks', 'https://techcommunity.microsoft.com/t5/azure-active-directory-identity/azuread-identity-protection-adds-support-for-federated/ba-p/244328']","['Credentials', 'Azure Active Directory', 'Identity', 'Microsoft 365 Defender']",,Azure AD Identity Protection,technique-scores,Detect,Partial,,0
1,,T1078,Valid Accounts,"['https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/howto-identity-protection-investigate-risk', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/overview-identity-protection', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/concept-identity-protection-risks', 'https://techcommunity.microsoft.com/t5/azure-active-directory-identity/azuread-identity-protection-adds-support-for-federated/ba-p/244328']","['Credentials', 'Azure Active Directory', 'Identity', 'Microsoft 365 Defender']",,Azure AD Identity Protection,technique-scores,Respond,Partial,,0
2,"This control provides risk detections that can be used to detect suspicious uses of valid accounts, e.g.:  Anonymous IP address, Atypical travel, Malware linked IP address, Unfamiliar sign-in properties, etc.  Microsoft utilizes machine learning and heuristic systems to reduce the false positive rate but there will be false positives.
The temporal factor of this control's detection is low because although there are some real-time detections most are offline detections (multi-day).",T1078.004,Cloud Accounts,[],[],,Azure AD Identity Protection,technique-scores,Detect,Partial,T1078,0
3,"Response Type:  Eradication
Supports blocking and resetting the user's credentials based on the detection of a risky user/sign-in manually and also supports automation via its user and sign-in risk policies.",T1078.004,Cloud Accounts,[],[],,Azure AD Identity Protection,technique-scores,Respond,Significant,T1078,0
4,"When Azure Active Directory (AAD) Federation is configured for a tenant, an adversary that compromises a domain credential can use it to access (Azure) cloud resources. Identity Protection supports applying its risk detections (e.g.:  Anonymous IP address, Atypical travel, Malware linked IP address, Unfamiliar sign-in properties, etc.) to federated identities thereby providing detection mitigation for this risk. Because this detection is specific to an adversary utilizing valid domain credentials to access cloud resources and does not mitigate the usage of valid domain credentials to access on-premise resources, this detection has been scored as Partial.

The temporal factor of this control's detection is low because although there are some real-time detections most are offline detections (multi-day).",T1078.002,Domain Accounts,[],[],,Azure AD Identity Protection,technique-scores,Detect,Partial,T1078,0
5,"Response Type:  Containment
Supports risk detection responses such as blocking a user's access and enforcing MFA. These responses contain the impact of this sub-technique but do not eradicate it (by forcing a password reset).",T1078.002,Domain Accounts,[],[],,Azure AD Identity Protection,technique-scores,Respond,Partial,T1078,0
6,,T1606,Forge Web Credentials,"['https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/howto-identity-protection-investigate-risk', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/overview-identity-protection', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/concept-identity-protection-risks', 'https://techcommunity.microsoft.com/t5/azure-active-directory-identity/azuread-identity-protection-adds-support-for-federated/ba-p/244328']","['Credentials', 'Azure Active Directory', 'Identity', 'Microsoft 365 Defender']",,Azure AD Identity Protection,technique-scores,Detect,Partial,,0
7,,T1606,Forge Web Credentials,"['https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/howto-identity-protection-investigate-risk', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/overview-identity-protection', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/concept-identity-protection-risks', 'https://techcommunity.microsoft.com/t5/azure-active-directory-identity/azuread-identity-protection-adds-support-for-federated/ba-p/244328']","['Credentials', 'Azure Active Directory', 'Identity', 'Microsoft 365 Defender']",,Azure AD Identity Protection,technique-scores,Respond,Partial,,0
8,This control supports detecting risky sign-ins and users that involve federated users and therefore can potentially alert on this activity.  Not all alert types for this control support federated accounts therefore the detection coverage for this technique is partial.,T1606.002,SAML Tokens,[],[],,Azure AD Identity Protection,technique-scores,Detect,Partial,T1606,0
9,"Response Type:  Eradication
Supports blocking and resetting the user's credentials based on the detection of a risky user/sign-in manually and also supports automation via its user and sign-in risk policies.",T1606.002,SAML Tokens,[],[],,Azure AD Identity Protection,technique-scores,Respond,Significant,T1606,0
10,,T1110,Brute Force,"['https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/howto-identity-protection-investigate-risk', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/overview-identity-protection', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/concept-identity-protection-risks', 'https://techcommunity.microsoft.com/t5/azure-active-directory-identity/azuread-identity-protection-adds-support-for-federated/ba-p/244328']","['Credentials', 'Azure Active Directory', 'Identity', 'Microsoft 365 Defender']",,Azure AD Identity Protection,technique-scores,Detect,Minimal,,0
11,,T1110,Brute Force,"['https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/howto-identity-protection-investigate-risk', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/overview-identity-protection', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/concept-identity-protection-risks', 'https://techcommunity.microsoft.com/t5/azure-active-directory-identity/azuread-identity-protection-adds-support-for-federated/ba-p/244328']","['Credentials', 'Azure Active Directory', 'Identity', 'Microsoft 365 Defender']",,Azure AD Identity Protection,technique-scores,Respond,Minimal,,0
12,This control specifically provides detection of Password Spray attacks for Azure Active Directory accounts.  Microsoft documentation states that this detection is based on a machine learning algorithm that has been improved with the latest improvement yielding a 100 percent increase in recall and  98 percent precision.  The temporal factor for this detection is Partial as its detection is described as offline (i.e. detections may not show up in reporting for two to twenty-four hours).,T1110.003,Password Spraying,[],[],,Azure AD Identity Protection,technique-scores,Detect,Partial,T1110,0
13,"Response Type:  Eradication
Supports blocking and resetting the user's credentials based on the detection of a risky user/sign-in (such as Password Spray attack) manually and also supports automation via its user and sign-in risk policies.",T1110.003,Password Spraying,[],[],,Azure AD Identity Protection,technique-scores,Respond,Significant,T1110,0
14,,T1078,Valid Accounts,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Partial,,0
15,"This control may detect suspicious activity from existing Windows accounts and logons from suspicious IP addresses. The following alerts may be generated: ""A logon from a malicious IP has been detected"", ""A logon from a malicious IP has been detected.  [seen multiple times]"".",T1078.003,Local Accounts,[],[],,Alerts for Windows Machines,technique-scores,Detect,Partial,T1078,0
16,"This control may detect suspicious activity from existing Windows accounts and logons from suspicious IP addresses. The following alerts may be generated: ""A logon from a malicious IP has been detected"", ""A logon from a malicious IP has been detected.  [seen multiple times]"".",T1078.001,Default Accounts,[],[],,Alerts for Windows Machines,technique-scores,Detect,Partial,T1078,0
17,,T1059,Command and Scripting Interpreter,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Minimal,,0
