,comments,attack-object-id,attack-object-name,references,tags,mapping-description,capability-id,mapping-type,score-category,score-value,related-score,metadata_key
0,"This mapping was scored as significant due to the control’s high threat protection coverage to specific ATT&CK (sub-)techniques and temporal factors (e.g., real-time).",T1566,Phishing,"['https://cloud.google.com/architecture/automating-malware-scanning-for-documents-uploaded-to-cloud-storage', 'https://cloud.google.com/chronicle/docs/investigation/view-virustotal-information', 'https://assets.virustotal.com/vt-360-outcomes.pdf']","['Antivirus', 'Antimalware', 'Malware']",,Virus Total,technique-scores,Protect,Significant,False,1
1,"This mapping was scored as significant due to the control’s high threat protection coverage to specific ATT&CK (sub-)techniques and temporal factors (e.g., real-time).",T1566.001,Spearphishing Attachment,"['https://cloud.google.com/architecture/automating-malware-scanning-for-documents-uploaded-to-cloud-storage', 'https://cloud.google.com/chronicle/docs/investigation/view-virustotal-information', 'https://assets.virustotal.com/vt-360-outcomes.pdf']","['Antivirus', 'Antimalware', 'Malware']",,Virus Total,technique-scores,Protect,Partial,False,1
2,"This mapping was scored as significant due to the control’s high threat protection coverage to specific ATT&CK (sub-)techniques and temporal factors (e.g., real-time).",T1059,Command and Scripting Interpreter,"['https://cloud.google.com/architecture/automating-malware-scanning-for-documents-uploaded-to-cloud-storage', 'https://cloud.google.com/chronicle/docs/investigation/view-virustotal-information', 'https://assets.virustotal.com/vt-360-outcomes.pdf']","['Antivirus', 'Antimalware', 'Malware']",,Virus Total,technique-scores,Protect,Significant,False,1
3,"This mapping was scored as significant due to the control’s high threat protection coverage to specific ATT&CK (sub-)techniques and temporal factors (e.g., real-time).",T1598.003,Spearphishing Link,"['https://cloud.google.com/architecture/automating-malware-scanning-for-documents-uploaded-to-cloud-storage', 'https://cloud.google.com/chronicle/docs/investigation/view-virustotal-information', 'https://assets.virustotal.com/vt-360-outcomes.pdf']","['Antivirus', 'Antimalware', 'Malware']",,Virus Total,technique-scores,Protect,Significant,False,1
4,"This mapping was scored as significant due to the control’s high threat protection coverage to specific ATT&CK (sub-)techniques and temporal factors (e.g., real-time).",T1566.002,Spearphishing Link,"['https://cloud.google.com/architecture/automating-malware-scanning-for-documents-uploaded-to-cloud-storage', 'https://cloud.google.com/chronicle/docs/investigation/view-virustotal-information', 'https://assets.virustotal.com/vt-360-outcomes.pdf']","['Antivirus', 'Antimalware', 'Malware']",,Virus Total,technique-scores,Protect,Significant,False,1
5,,T1565.003,Runtime Data Manipulation,['https://cloud.google.com/compute/confidential-vm/docs/about-cvm#security_and_privacy_features'],['Encryption'],,Confidential VM and Compute Engine,technique-scores,Protect,Significant,False,1
6,This control provides a secure alternative to storing encryption keys in the file system.,T1552,Unsecured Credentials,['https://cloud.google.com/kms/docs/hsm'],"['Encryption', 'Data Security']",,Cloud Hardware Security Module (HSM),technique-scores,Protect,Partial,False,1
7,This control provides a secure alternative to storing encryption keys in the file system.,T1553,Subvert Trust Controls,['https://cloud.google.com/kms/docs/hsm'],"['Encryption', 'Data Security']",,Cloud Hardware Security Module (HSM),technique-scores,Protect,Partial,False,1
8,This control provides a secure alternative to storing encryption keys in the file system.,T1588.003,Code Signing Certificates,['https://cloud.google.com/kms/docs/hsm'],"['Encryption', 'Data Security']",,Cloud Hardware Security Module (HSM),technique-scores,Protect,Partial,False,1
9,This control provides a secure alternative to storing encryption keys in the file system.,T1588.004,Digital Certificates,['https://cloud.google.com/kms/docs/hsm'],"['Encryption', 'Data Security']",,Cloud Hardware Security Module (HSM),technique-scores,Protect,Partial,False,1
10,This control provides a secure alternative to storing encryption keys in the file system.,T1552.004,Private Keys,['https://cloud.google.com/kms/docs/hsm'],"['Encryption', 'Data Security']",,Cloud Hardware Security Module (HSM),technique-scores,Protect,Partial,False,1
11,This control provides a secure alternative to storing encryption keys in the file system.,T1552.001,Credentials In Files,['https://cloud.google.com/kms/docs/hsm'],"['Encryption', 'Data Security']",,Cloud Hardware Security Module (HSM),technique-scores,Protect,Partial,False,1
12,This control provides a secure alternative to storing encryption keys in the file system.,T1588,Obtain Capabilities,['https://cloud.google.com/kms/docs/hsm'],"['Encryption', 'Data Security']",,Cloud Hardware Security Module (HSM),technique-scores,Protect,Partial,False,1
13,,T1040,Network Sniffing,['https://cloud.google.com/certificate-authority-service/docs'],"['Certificate Service', 'Network']",,Certificate Authority Service,technique-scores,Protect,Minimal,False,1
14,,T1098,Account Manipulation,['https://cloud.google.com/asset-inventory/docs/overview'],"['Credentials', 'Access Management']",,Cloud Asset Inventory,technique-scores,Detect,Partial,False,1
15,,T1098.001,Additional Cloud Credentials,['https://cloud.google.com/asset-inventory/docs/overview'],"['Credentials', 'Access Management']",,Cloud Asset Inventory,technique-scores,Detect,Partial,False,1
16,,T1078,Valid Accounts,['https://cloud.google.com/asset-inventory/docs/overview'],"['Credentials', 'Access Management']",,Cloud Asset Inventory,technique-scores,Detect,Partial,False,1
17,,T1078.004,Cloud Accounts,['https://cloud.google.com/asset-inventory/docs/overview'],"['Credentials', 'Access Management']",,Cloud Asset Inventory,technique-scores,Detect,Partial,False,1
18,This mapping was scored as Partial due the control's low to medium threat protection fidelity from specific (sub-)techniques found in MITRE’s ATT&CK framework.,T1550.001,Application Access Token,['https://cloud.google.com/iap'],"['Identity', 'Credentials']",,Identity Aware Proxy,technique-scores,Protect,Minimal,False,1
19,This mapping was scored as Partial due the control's low to medium threat protection fidelity from specific (sub-)techniques found in MITRE’s ATT&CK framework.,T1528,Steal Application Access Token,['https://cloud.google.com/iap'],"['Identity', 'Credentials']",,Identity Aware Proxy,technique-scores,Protect,Minimal,False,1
20,This mapping was scored as Partial due the control's low to medium threat protection fidelity from specific (sub-)techniques found in MITRE’s ATT&CK framework.,T1528,Steal Application Access Token,['https://cloud.google.com/iap'],"['Identity', 'Credentials']",,Identity Aware Proxy,technique-scores,Detect,Partial,False,1
21,This mapping was scored as Partial due the control's low to medium threat protection fidelity from specific (sub-)techniques found in MITRE’s ATT&CK framework.,T1098.001,Additional Cloud Credentials,['https://cloud.google.com/iap'],"['Identity', 'Credentials']",,Identity Aware Proxy,technique-scores,Detect,Minimal,False,1
22,This mapping was scored as Partial due the control's low to medium threat protection fidelity from specific (sub-)techniques found in MITRE’s ATT&CK framework.,T1078,Valid Accounts,['https://cloud.google.com/iap'],"['Identity', 'Credentials']",,Identity Aware Proxy,technique-scores,Protect,Partial,False,1
23,This mapping was scored as Partial due the control's low to medium threat protection fidelity from specific (sub-)techniques found in MITRE’s ATT&CK framework.,T1078.004,Cloud Accounts,['https://cloud.google.com/iap'],"['Identity', 'Credentials']",,Identity Aware Proxy,technique-scores,Protect,Partial,False,1
24,This mapping was scored as Partial due the control's low to medium threat protection fidelity from specific (sub-)techniques found in MITRE’s ATT&CK framework.,T1190,Exploit Public-Facing Application,['https://cloud.google.com/iap'],"['Identity', 'Credentials']",,Identity Aware Proxy,technique-scores,Protect,Partial,False,1
25,This control may provide information about software vulnerabilities in the environment. ,T1190,Exploit Public-Facing Application,"['https://cloud.google.com/container-analysis/docs/container-analysis', 'https://cloud.google.com/container-analysis/docs/container-scanning-overview']","['Containers', 'Vulnerability Analysis', 'OS Security']",,Artifact Registry,technique-scores,Protect,Partial,False,1
26,This control may provide information about software vulnerabilities in the environment. ,T1068,Exploitation for Privilege Escalation,"['https://cloud.google.com/container-analysis/docs/container-analysis', 'https://cloud.google.com/container-analysis/docs/container-scanning-overview']","['Containers', 'Vulnerability Analysis', 'OS Security']",,Artifact Registry,technique-scores,Protect,Partial,False,1
27,This control may provide information about software vulnerabilities in the environment. ,T1203,Exploitation for Client Execution,"['https://cloud.google.com/container-analysis/docs/container-analysis', 'https://cloud.google.com/container-analysis/docs/container-scanning-overview']","['Containers', 'Vulnerability Analysis', 'OS Security']",,Artifact Registry,technique-scores,Protect,Partial,False,1
28,This control may provide information about software vulnerabilities in the environment. ,T1210,Exploitation of Remote Services,"['https://cloud.google.com/container-analysis/docs/container-analysis', 'https://cloud.google.com/container-analysis/docs/container-scanning-overview']","['Containers', 'Vulnerability Analysis', 'OS Security']",,Artifact Registry,technique-scores,Protect,Partial,False,1
29,This control may provide information about software vulnerabilities in the environment. ,T1525,Implant Internal Image,"['https://cloud.google.com/container-analysis/docs/container-analysis', 'https://cloud.google.com/container-analysis/docs/container-scanning-overview']","['Containers', 'Vulnerability Analysis', 'OS Security']",,Artifact Registry,technique-scores,Protect,Partial,False,1
30,This control may provide information about software vulnerabilities in the environment. ,T1610,Deploy Container,"['https://cloud.google.com/container-analysis/docs/container-analysis', 'https://cloud.google.com/container-analysis/docs/container-scanning-overview']","['Containers', 'Vulnerability Analysis', 'OS Security']",,Artifact Registry,technique-scores,Protect,Partial,False,1
31,This control may provide information about software vulnerabilities in the environment. ,T1072,Software Deployment Tools,"['https://cloud.google.com/container-analysis/docs/container-analysis', 'https://cloud.google.com/container-analysis/docs/container-scanning-overview']","['Containers', 'Vulnerability Analysis', 'OS Security']",,Artifact Registry,technique-scores,Protect,Minimal,False,1
32,This control may provide information about software vulnerabilities in the environment. ,T1211,Exploitation for Defense Evasion,"['https://cloud.google.com/container-analysis/docs/container-analysis', 'https://cloud.google.com/container-analysis/docs/container-scanning-overview']","['Containers', 'Vulnerability Analysis', 'OS Security']",,Artifact Registry,technique-scores,Protect,Partial,False,1
