,mapping-version,attack-version,technology-domain,author,contact,creation-date,last-update,organization,mapping-platform,mapping-platform-version,key
0,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,0
1,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,1
2,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,2
3,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,3
4,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,4
5,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,5
6,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,6
7,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,7
8,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,8
9,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,9
10,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,10
11,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,11
12,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,12
13,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,13
14,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,14
15,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,15
16,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,16
17,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,17
18,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,18
19,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,19
20,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,20
21,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,21
22,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,22
23,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,23
24,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,24
25,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,25
26,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,26
27,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,27
28,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,28
29,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,29
30,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,30
31,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,31
32,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,32
33,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,33
34,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,34
35,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,35
36,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,36
37,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,37
38,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,38
39,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,39
40,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,40
41,,9.0,enterprise,,,02/03/21,10/27/21,,CVE Vulnerability List,,41
