,mapping-version,attack-version,technology-domain,author,contact,creation-date,last-update,organization,mapping-platform,mapping-platform-version,key
0,r4,10.1,enterprise,,,,,,NIST Security controls,,0
1,r4,10.1,enterprise,,,,,,NIST Security controls,,1
2,r4,10.1,enterprise,,,,,,NIST Security controls,,2
3,r4,10.1,enterprise,,,,,,NIST Security controls,,3
4,r4,10.1,enterprise,,,,,,NIST Security controls,,4
5,r4,10.1,enterprise,,,,,,NIST Security controls,,5
6,r4,10.1,enterprise,,,,,,NIST Security controls,,6
7,r4,10.1,enterprise,,,,,,NIST Security controls,,7
8,r4,10.1,enterprise,,,,,,NIST Security controls,,8
9,r4,10.1,enterprise,,,,,,NIST Security controls,,9
10,r4,10.1,enterprise,,,,,,NIST Security controls,,10
11,r4,10.1,enterprise,,,,,,NIST Security controls,,11
12,r4,10.1,enterprise,,,,,,NIST Security controls,,12
13,r4,10.1,enterprise,,,,,,NIST Security controls,,13
14,r4,10.1,enterprise,,,,,,NIST Security controls,,14
15,r4,10.1,enterprise,,,,,,NIST Security controls,,15
16,r4,10.1,enterprise,,,,,,NIST Security controls,,16
17,r4,10.1,enterprise,,,,,,NIST Security controls,,17
18,r4,10.1,enterprise,,,,,,NIST Security controls,,18
19,r4,10.1,enterprise,,,,,,NIST Security controls,,19
20,r4,10.1,enterprise,,,,,,NIST Security controls,,20
21,r4,10.1,enterprise,,,,,,NIST Security controls,,21
22,r4,10.1,enterprise,,,,,,NIST Security controls,,22
23,r4,10.1,enterprise,,,,,,NIST Security controls,,23
24,r4,10.1,enterprise,,,,,,NIST Security controls,,24
25,r4,10.1,enterprise,,,,,,NIST Security controls,,25
26,r4,10.1,enterprise,,,,,,NIST Security controls,,26
27,r4,10.1,enterprise,,,,,,NIST Security controls,,27
28,r4,10.1,enterprise,,,,,,NIST Security controls,,28
29,r4,10.1,enterprise,,,,,,NIST Security controls,,29
30,r4,10.1,enterprise,,,,,,NIST Security controls,,30
31,r4,10.1,enterprise,,,,,,NIST Security controls,,31
32,r4,10.1,enterprise,,,,,,NIST Security controls,,32
33,r4,10.1,enterprise,,,,,,NIST Security controls,,33
34,r4,10.1,enterprise,,,,,,NIST Security controls,,34
