,comments,id,name,references,tags,mapping-description,mapping-target,metadata-key,key
0,,T1556.006,Multi-Factor Authentication,[],[],,AC-1,0,0
1,,T1556.007,Hybrid Identity,[],[],,AC-1,1,1
2,,T1137,Office Application Startup,[],[],,AC-10,2,2
3,,T1137.002,Office Test,[],[],,AC-10,3,3
4,,T1185,Browser Session Hijacking,[],[],,AC-10,4,4
5,,T1528,Steal Application Access Token,[],[],,AC-10,5,5
6,,T1021.001,Remote Desktop Protocol,[],[],,AC-11,6,6
7,,T1563.002,RDP Hijacking,[],[],,AC-11,7,7
8,,T1021.001,Remote Desktop Protocol,[],[],,AC-12,8,8
9,,T1072,Software Deployment Tools,[],[],,AC-12,9,9
10,,T1185,Browser Session Hijacking,[],[],,AC-12,10,10
11,,T1563.002,RDP Hijacking,[],[],,AC-12,11,11
12,,T1505.005,Terminal Services DLL,[],[],,AC-12,12,12
13,,T1137.002,Office Test,[],[],,AC-14,13,13
14,,T1020.001,Traffic Duplication,[],[],,AC-16,14,14
15,,T1070,Indicator Removal on Host,[],[],,AC-16,15,15
16,,T1070.001,Clear Windows Event Logs,[],[],,AC-16,16,16
17,,T1222,File and Directory Permissions Modification,[],[],,AC-16,17,17
18,,T1505,Server Software Component,[],[],,AC-16,18,18
19,,T1537,Transfer Data to Cloud Account,[],[],,AC-16,19,19
20,,T1547.007,Re-opened Applications,[],[],,AC-16,20,20
21,,T1548.003,Sudo and Sudo Caching,[],[],,AC-16,21,21
22,,T1550.001,Application Access Token,[],[],,AC-16,22,22
23,,T1552.005,Cloud Instance Metadata API,[],[],,AC-16,23,23
24,,T1558,Steal or Forge Kerberos Tickets,[],[],,AC-16,24,24
25,,T1558.003,Kerberoasting,[],[],,AC-16,25,25
26,,T1565,Data Manipulation,[],[],,AC-16,26,26
27,,T1565.001,Stored Data Manipulation,[],[],,AC-16,27,27
28,,T1565.002,Transmitted Data Manipulation,[],[],,AC-16,28,28
29,,T1567,Exfiltration Over Web Service,[],[],,AC-16,29,29
30,,T1602.002,Network Device Configuration Dump,[],[],,AC-16,30,30
31,,T1003,OS Credential Dumping,[],[],,AC-16,31,31
32,,T1025,Data from Removable Media,[],[],,AC-16,32,32
33,,T1041,Exfiltration Over C2 Channel,[],[],,AC-16,33,33
34,,T1048,Exfiltration Over Alternative Protocol,[],[],,AC-16,34,34
35,,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,[],[],,AC-16,35,35
36,,T1048.003,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,[],[],,AC-16,36,36
37,,T1052,Exfiltration Over Physical Medium,[],[],,AC-16,37,37
38,,T1052.001,Exfiltration over USB,[],[],,AC-16,38,38
39,,T1070.002,Clear Linux or Mac System Logs,[],[],,AC-16,39,39
40,,T1114,Email Collection,[],[],,AC-16,40,40
41,,T1114.001,Local Email Collection,[],[],,AC-16,41,41
42,,T1114.002,Remote Email Collection,[],[],,AC-16,42,42
43,,T1114.003,Email Forwarding Rule,[],[],,AC-16,43,43
44,,T1213,Data from Information Repositories,[],[],,AC-16,44,44
45,,T1213.001,Confluence,[],[],,AC-16,45,45
46,,T1213.002,Sharepoint,[],[],,AC-16,46,46
47,,T1222.001,Windows File and Directory Permissions Modification,[],[],,AC-16,47,47
48,,T1222.002,Linux and Mac File and Directory Permissions Modification,[],[],,AC-16,48,48
49,,T1505.002,Transport Agent,[],[],,AC-16,49,49
50,,T1548,Abuse Elevation Control Mechanism,[],[],,AC-16,50,50
51,,T1552,Unsecured Credentials,[],[],,AC-16,51,51
52,,T1552.004,Private Keys,[],[],,AC-16,52,52
53,,T1557.002,ARP Cache Poisoning,[],[],,AC-16,53,53
54,,T1558.002,Silver Ticket,[],[],,AC-16,54,54
55,,T1558.004,AS-REP Roasting,[],[],,AC-16,55,55
56,,T1564.004,NTFS File Attributes,[],[],,AC-16,56,56
57,,T1602,Data from Configuration Repository,[],[],,AC-16,57,57
58,,T1602.001,SNMP (MIB Dump),[],[],,AC-16,58,58
59,,T1003.003,NTDS,[],[],,AC-16,59,59
60,,T1005,Data from Local System,[],[],,AC-16,60,60
61,,T1040,Network Sniffing,[],[],,AC-16,61,61
62,,T1119,Automated Collection,[],[],,AC-16,62,62
63,,T1530,Data from Cloud Storage Object,[],[],,AC-16,63,63
64,,T1557,Adversary-in-the-Middle,[],[],,AC-16,64,64
65,,T1070.008,Clear Mailbox Data,[],[],,AC-16,65,65
66,,T1647,Plist File Modification,[],[],,AC-16,66,66
67,,T1020.001,Traffic Duplication,[],[],,AC-17,67,67
68,,T1021.001,Remote Desktop Protocol,[],[],,AC-17,68,68
69,,T1047,Windows Management Instrumentation,[],[],,AC-17,69,69
70,,T1059,Command and Scripting Interpreter,[],[],,AC-17,70,70
71,,T1059.001,PowerShell,[],[],,AC-17,71,71
72,,T1059.002,AppleScript,[],[],,AC-17,72,72
73,,T1059.005,Visual Basic,[],[],,AC-17,73,73
74,,T1059.008,Network Device CLI,[],[],,AC-17,74,74
75,,T1070,Indicator Removal on Host,[],[],,AC-17,75,75
76,,T1070.001,Clear Windows Event Logs,[],[],,AC-17,76,76
77,,T1219,Remote Access Software,[],[],,AC-17,77,77
78,,T1537,Transfer Data to Cloud Account,[],[],,AC-17,78,78
79,,T1543,Create or Modify System Process,[],[],,AC-17,79,79
80,,T1547.003,Time Providers,[],[],,AC-17,80,80
81,,T1547.004,Winlogon Helper DLL,[],[],,AC-17,81,81
82,,T1547.009,Shortcut Modification,[],[],,AC-17,82,82
83,,T1550.001,Application Access Token,[],[],,AC-17,83,83
84,,T1558,Steal or Forge Kerberos Tickets,[],[],,AC-17,84,84
85,,T1558.003,Kerberoasting,[],[],,AC-17,85,85
86,,T1565,Data Manipulation,[],[],,AC-17,86,86
87,,T1565.001,Stored Data Manipulation,[],[],,AC-17,87,87
88,,T1565.002,Transmitted Data Manipulation,[],[],,AC-17,88,88
89,,T1602.002,Network Device Configuration Dump,[],[],,AC-17,89,89
90,,T1609,Container Administration Command,[],[],,AC-17,90,90
91,,T1610,Deploy Container,[],[],,AC-17,91,91
92,,T1021,Remote Services,[],[],,AC-17,92,92
93,,T1021.002,SMB/Windows Admin Shares,[],[],,AC-17,93,93
94,,T1021.003,Distributed Component Object Model,[],[],,AC-17,94,94
95,,T1021.004,SSH,[],[],,AC-17,95,95
96,,T1021.005,VNC,[],[],,AC-17,96,96
97,,T1021.006,Windows Remote Management,[],[],,AC-17,97,97
98,,T1037,Boot or Logon Initialization Scripts,[],[],,AC-17,98,98
99,,T1037.001,Logon Script (Windows),[],[],,AC-17,99,99
100,,T1059.003,Windows Command Shell,[],[],,AC-17,100,100
101,,T1059.004,Unix Shell,[],[],,AC-17,101,101
102,,T1059.006,Python,[],[],,AC-17,102,102
