,name,control-name,mapping-type,attack-object-key
0,NIST Security controls,Concurrent Session Control,mitigates,0
1,NIST Security controls,Concurrent Session Control,mitigates,1
2,NIST Security controls,Concurrent Session Control,mitigates,2
3,NIST Security controls,Device Lock,mitigates,3
4,NIST Security controls,Device Lock,mitigates,4
5,NIST Security controls,Session Termination,mitigates,5
6,NIST Security controls,Session Termination,mitigates,6
7,NIST Security controls,Session Termination,mitigates,7
8,NIST Security controls,Permitted Actions Without Identification or Authentication,mitigates,8
9,NIST Security controls,Security and Privacy Attributes,mitigates,9
10,NIST Security controls,Security and Privacy Attributes,mitigates,10
11,NIST Security controls,Security and Privacy Attributes,mitigates,11
12,NIST Security controls,Security and Privacy Attributes,mitigates,12
13,NIST Security controls,Security and Privacy Attributes,mitigates,13
14,NIST Security controls,Security and Privacy Attributes,mitigates,14
15,NIST Security controls,Security and Privacy Attributes,mitigates,15
16,NIST Security controls,Security and Privacy Attributes,mitigates,16
17,NIST Security controls,Security and Privacy Attributes,mitigates,17
18,NIST Security controls,Security and Privacy Attributes,mitigates,18
19,NIST Security controls,Security and Privacy Attributes,mitigates,19
20,NIST Security controls,Security and Privacy Attributes,mitigates,20
21,NIST Security controls,Security and Privacy Attributes,mitigates,21
22,NIST Security controls,Security and Privacy Attributes,mitigates,22
23,NIST Security controls,Security and Privacy Attributes,mitigates,23
24,NIST Security controls,Security and Privacy Attributes,mitigates,24
25,NIST Security controls,Security and Privacy Attributes,mitigates,25
26,NIST Security controls,Security and Privacy Attributes,mitigates,26
27,NIST Security controls,Security and Privacy Attributes,mitigates,27
28,NIST Security controls,Security and Privacy Attributes,mitigates,28
29,NIST Security controls,Security and Privacy Attributes,mitigates,29
30,NIST Security controls,Security and Privacy Attributes,mitigates,30
31,NIST Security controls,Security and Privacy Attributes,mitigates,31
32,NIST Security controls,Security and Privacy Attributes,mitigates,32
33,NIST Security controls,Security and Privacy Attributes,mitigates,33
34,NIST Security controls,Security and Privacy Attributes,mitigates,34
35,NIST Security controls,Security and Privacy Attributes,mitigates,35
36,NIST Security controls,Security and Privacy Attributes,mitigates,36
37,NIST Security controls,Security and Privacy Attributes,mitigates,37
38,NIST Security controls,Security and Privacy Attributes,mitigates,38
39,NIST Security controls,Security and Privacy Attributes,mitigates,39
40,NIST Security controls,Security and Privacy Attributes,mitigates,40
41,NIST Security controls,Security and Privacy Attributes,mitigates,41
