,score-category,score-value,related-score,tags,attack-object-key
0,Protect,Minimal,True,[],0
1,Protect,Partial,False,[],1
2,Protect,Minimal,True,[],2
3,Protect,Partial,False,[],3
4,Protect,Minimal,True,[],4
5,Protect,Minimal,True,[],5
6,Protect,Significant,True,[],6
7,Protect,Minimal,False,[],7
8,Protect,Minimal,True,[],8
9,Protect,Partial,False,[],9
10,Protect,Partial,False,[],10
11,Protect,Partial,False,[],11
12,Protect,Partial,False,[],12
13,Protect,Partial,False,[],13
14,Detect,Minimal,True,[],14
15,Protect,Partial,False,[],15
16,Protect,Partial,False,[],16
17,Protect,Significant,True,[],17
18,Detect,Partial,False,[],18
19,Protect,Minimal,True,[],19
20,Protect,Minimal,True,[],20
21,Detect,Minimal,False,[],21
22,Protect,Significant,False,[],22
23,Protect,Significant,False,[],23
24,Protect,Partial,True,[],24
25,Protect,Minimal,False,[],25
26,Detect,Minimal,True,[],26
27,Protect,Partial,False,[],27
28,Protect,Partial,False,[],28
29,Protect,Partial,False,[],29
30,Protect,Partial,False,[],30
