,score-category,score-value,related-score,tags,attack-object-key
0,Protect,Minimal,True,"['Internet of Things', 'IoT']",0
1,Protect,Partial,False,"['Internet of Things', 'IoT']",1
2,Detect,Partial,False,"['Internet of Things', 'IoT']",2
3,Detect,Partial,False,"['Internet of Things', 'IoT']",3
4,Detect,Partial,True,"['Internet of Things', 'IoT']",4
5,Detect,Minimal,False,"['Internet of Things', 'IoT']",5
6,Detect,Minimal,True,"['Internet of Things', 'IoT']",6
7,Protect,Minimal,True,"['Internet of Things', 'IoT']",7
8,Detect,Minimal,False,"['Internet of Things', 'IoT']",8
9,Detect,Partial,False,"['Internet of Things', 'IoT']",9
10,Detect,Partial,False,"['Internet of Things', 'IoT']",10
11,Detect,Minimal,True,"['Internet of Things', 'IoT']",11
12,Protect,Minimal,False,"['Internet of Things', 'IoT']",12
13,Detect,Minimal,True,"['Internet of Things', 'IoT']",13
14,Respond,Minimal,True,"['Internet of Things', 'IoT']",14
