,score-category,score-value,related-score,tags,attack-object-key
0,Protect,Significant,True,['Network'],0
1,Protect,Partial,False,['Network'],1
2,Protect,Partial,True,['Network'],2
3,Protect,Partial,True,['Network'],3
4,Protect,Significant,False,['Network'],4
5,Protect,Minimal,True,['Network'],5
6,Protect,Significant,False,['Network'],6
7,Protect,Partial,False,['Network'],7
8,Protect,Partial,True,['Network'],8
9,Protect,Partial,False,['Network'],9
10,Protect,Partial,True,['Network'],10
11,Protect,Partial,True,['Network'],11
12,Protect,Partial,False,['Network'],12
13,Protect,Partial,False,['Network'],13
14,Protect,Partial,False,['Network'],14
15,Protect,Partial,True,['Network'],15
16,Protect,Significant,False,['Network'],16
17,Protect,Minimal,True,['Network'],17
18,Protect,Partial,False,['Network'],18
19,Protect,Partial,False,['Network'],19
20,Protect,Partial,False,['Network'],20
21,Protect,Partial,True,['Network'],21
