,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],0,,0,T1040,Network Sniffing,,['Database']
1,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],1,,1,T1565,Data Manipulation,,['Database']
2,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],2,,2,T1565,Data Manipulation,,['Database']
3,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],3,,3,T1557,Man-in-the-Middle,,['Database']
4,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],4,,4,T1190,Exploit Public-Facing Application,,['Database']
5,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],5,,5,T1190,Exploit Public-Facing Application,,['Database']
6,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],6,,6,T1210,Exploitation of Remote Services,,['Database']
7,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],7,,7,T1210,Exploitation of Remote Services,,['Database']
8,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],8,,8,T1485,Data Destruction,,['Database']
9,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],9,,9,T1485,Data Destruction,,['Database']
10,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],10,,10,T1485,Data Destruction,,['Database']
11,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],11,,11,T1486,Data Encrypted for Impact,,['Database']
12,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],12,,12,T1490,Inhibit System Recovery,,['Database']
13,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],13,,13,T1490,Inhibit System Recovery,,['Database']
14,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],14,,14,T1561,Disk Wipe,,['Database']
15,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],15,,15,T1530,Data from Cloud Storage Object,,['Database']
16,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],16,,16,T1529,System Shutdown/Reboot,,['Database']
17,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],17,,17,T1489,Service Stop,,['Database']
