,score-category,score-value,related-score,tags,attack-object-key
0,Protect,Significant,False,['Database'],0
1,Protect,Partial,True,['Database'],1
2,Respond,Significant,True,['Database'],2
3,Protect,Significant,False,['Database'],3
4,Protect,Partial,False,['Database'],4
5,Respond,Significant,False,['Database'],5
6,Protect,Partial,False,['Database'],6
7,Respond,Significant,False,['Database'],7
8,Protect,Significant,False,['Database'],8
9,Detect,Partial,False,['Database'],9
10,Respond,Significant,False,['Database'],10
11,Respond,Significant,False,['Database'],11
12,Detect,Partial,False,['Database'],12
13,Respond,Significant,False,['Database'],13
14,Respond,Minimal,True,['Database'],14
15,Protect,Significant,False,['Database'],15
16,Detect,Partial,False,['Database'],16
17,Detect,Partial,False,['Database'],17
