,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,AWS Security Hub,['https://docs.aws.amazon.com/securityhub/latest/userguide/what-is-securityhub.html'],0,,0,T1530,Data from Cloud Storage Object,,[]
1,AWS Security Hub,['https://docs.aws.amazon.com/securityhub/latest/userguide/what-is-securityhub.html'],1,,1,T1592,Gather Victim Host Information,,[]
2,AWS Security Hub,['https://docs.aws.amazon.com/securityhub/latest/userguide/what-is-securityhub.html'],2,,2,T1589,Gather Victim Identity Information,,[]
3,AWS Security Hub,['https://docs.aws.amazon.com/securityhub/latest/userguide/what-is-securityhub.html'],3,,3,T1590,Gather Victim Network Information,,[]
4,AWS Security Hub,['https://docs.aws.amazon.com/securityhub/latest/userguide/what-is-securityhub.html'],4,,4,T1591,Gather Victim Org Information,,[]
5,AWS Security Hub,['https://docs.aws.amazon.com/securityhub/latest/userguide/what-is-securityhub.html'],5,,5,T1580,Cloud Infrastructure Discovery,,[]
6,AWS Security Hub,['https://docs.aws.amazon.com/securityhub/latest/userguide/what-is-securityhub.html'],6,,6,T1078,Valid Accounts,,[]
7,AWS Security Hub,['https://docs.aws.amazon.com/securityhub/latest/userguide/what-is-securityhub.html'],7,,7,T1190,Exploit Public-Facing Application,,[]
8,AWS Security Hub,['https://docs.aws.amazon.com/securityhub/latest/userguide/what-is-securityhub.html'],8,,8,T1203,Exploitation for Client Execution,,[]
9,AWS Security Hub,['https://docs.aws.amazon.com/securityhub/latest/userguide/what-is-securityhub.html'],9,,9,T1068,Exploitation for Privilege Escalation,,[]
10,AWS Security Hub,['https://docs.aws.amazon.com/securityhub/latest/userguide/what-is-securityhub.html'],10,,10,T1211,Exploitation for Defense Evasion,,[]
11,AWS Security Hub,['https://docs.aws.amazon.com/securityhub/latest/userguide/what-is-securityhub.html'],11,,11,T1212,Exploitation for Credential Access,,[]
12,AWS Security Hub,['https://docs.aws.amazon.com/securityhub/latest/userguide/what-is-securityhub.html'],12,,12,T1210,Exploitation of Remote Services,,[]
13,AWS Security Hub,['https://docs.aws.amazon.com/securityhub/latest/userguide/what-is-securityhub.html'],13,,13,T1531,Account Access Removal,,[]
14,AWS Security Hub,['https://docs.aws.amazon.com/securityhub/latest/userguide/what-is-securityhub.html'],14,,14,T1098,Account Manipulation,,[]
15,AWS Security Hub,['https://docs.aws.amazon.com/securityhub/latest/userguide/what-is-securityhub.html'],15,,15,T1562,Impair Defenses,,[]
16,AWS Security Hub,['https://docs.aws.amazon.com/securityhub/latest/userguide/what-is-securityhub.html'],16,,16,T1110,Brute Force,,[]
17,AWS Security Hub,['https://docs.aws.amazon.com/securityhub/latest/userguide/what-is-securityhub.html'],17,,17,T1485,Data Destruction,,[]
