,mapping-target,references,tags,metadata-key,mapping-description,name,id,key,comments
0,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],0,,Network Sniffing,T1040,0,
1,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],1,,Data Manipulation,T1565,1,
2,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],2,,Data Manipulation,T1565,2,
3,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],3,,Man-in-the-Middle,T1557,3,
4,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],4,,Exploit Public-Facing Application,T1190,4,
5,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],5,,Exploit Public-Facing Application,T1190,5,
6,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],6,,Exploitation of Remote Services,T1210,6,
7,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],7,,Exploitation of Remote Services,T1210,7,
8,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],8,,Data Destruction,T1485,8,
9,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],9,,Data Destruction,T1485,9,
10,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],10,,Data Destruction,T1485,10,
11,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],11,,Data Encrypted for Impact,T1486,11,
12,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],12,,Inhibit System Recovery,T1490,12,
13,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],13,,Inhibit System Recovery,T1490,13,
14,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],14,,Disk Wipe,T1561,14,
15,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],15,,Data from Cloud Storage Object,T1530,15,
16,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],16,,System Shutdown/Reboot,T1529,16,
17,AWS RDS,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],17,,Service Stop,T1489,17,
18,AWS Config,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",[],18,,Automated Exfiltration,T1020,18,"Mappings are based on the set of AWS managed rules provided by AWS Config, which are predefined rules that AWS Config uses to test for compliance with common best practices.
AWS Config rules can be set to one of two types, ""configuration changes"" and ""periodic"", which are evaluated upon configuration changes and at a user-defined period, respectively."
19,AWS Config,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",[],19,,Network Sniffing,T1040,19,"Mappings are based on the set of AWS managed rules provided by AWS Config, which are predefined rules that AWS Config uses to test for compliance with common best practices.
AWS Config rules can be set to one of two types, ""configuration changes"" and ""periodic"", which are evaluated upon configuration changes and at a user-defined period, respectively."
20,AWS Config,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",[],20,,Scheduled Task/Job,T1053,20,"Mappings are based on the set of AWS managed rules provided by AWS Config, which are predefined rules that AWS Config uses to test for compliance with common best practices.
AWS Config rules can be set to one of two types, ""configuration changes"" and ""periodic"", which are evaluated upon configuration changes and at a user-defined period, respectively."
