,score-category,score-value,related-score,tags,attack-object-key
0,Protect,Significant,False,['Database'],0
1,Protect,Partial,True,['Database'],1
2,Respond,Significant,True,['Database'],2
3,Protect,Significant,False,['Database'],3
4,Protect,Partial,False,['Database'],4
5,Respond,Significant,False,['Database'],5
6,Protect,Partial,False,['Database'],6
7,Respond,Significant,False,['Database'],7
8,Protect,Significant,False,['Database'],8
9,Detect,Partial,False,['Database'],9
10,Respond,Significant,False,['Database'],10
11,Respond,Significant,False,['Database'],11
12,Detect,Partial,False,['Database'],12
13,Respond,Significant,False,['Database'],13
14,Respond,Minimal,True,['Database'],14
15,Protect,Significant,False,['Database'],15
16,Detect,Partial,False,['Database'],16
17,Detect,Partial,False,['Database'],17
18,Protect,Minimal,True,[],18
19,Protect,Partial,False,[],19
20,Protect,Minimal,True,[],20
21,Protect,Partial,False,[],21
22,Protect,Minimal,True,[],22
23,Protect,Minimal,True,[],23
24,Protect,Significant,True,[],24
25,Protect,Minimal,False,[],25
26,Protect,Minimal,True,[],26
27,Protect,Partial,False,[],27
28,Protect,Partial,False,[],28
29,Protect,Partial,False,[],29
30,Protect,Partial,False,[],30
31,Protect,Partial,False,[],31
32,Detect,Minimal,True,[],32
33,Protect,Partial,False,[],33
34,Protect,Partial,False,[],34
35,Protect,Significant,True,[],35
36,Detect,Partial,False,[],36
37,Protect,Minimal,True,[],37
38,Protect,Minimal,True,[],38
39,Detect,Minimal,False,[],39
40,Protect,Significant,False,[],40
41,Protect,Significant,False,[],41
42,Protect,Partial,True,[],42
43,Protect,Minimal,False,[],43
44,Detect,Minimal,True,[],44
45,Protect,Partial,False,[],45
46,Protect,Partial,False,[],46
47,Protect,Partial,False,[],47
48,Protect,Partial,False,[],48
49,Protect,Significant,False,['Storage'],49
50,Protect,Significant,False,['Storage'],50
51,Detect,Partial,True,[],51
52,Detect,Partial,False,[],52
53,Detect,Minimal,False,[],53
54,Detect,Partial,True,[],54
55,Detect,Partial,True,[],55
56,Detect,Partial,True,[],56
57,Detect,Partial,True,[],57
58,Detect,Minimal,True,[],58
59,Detect,Minimal,True,[],59
60,Detect,Partial,False,[],60
61,Detect,Partial,False,[],61
62,Detect,Partial,False,[],62
63,Detect,Partial,False,[],63
64,Detect,Partial,True,[],64
65,Detect,Partial,True,[],65
66,Detect,Partial,False,[],66
67,Detect,Minimal,True,[],67
68,Detect,Partial,False,[],68
69,Detect,Minimal,False,[],69
70,Detect,Minimal,False,[],70
71,Detect,Partial,True,[],71
72,Detect,Partial,True,[],72
73,Detect,Partial,False,[],73
74,Detect,Partial,False,[],74
75,Detect,Partial,False,[],75
76,Detect,Partial,True,[],76
77,Detect,Partial,True,[],77
78,Detect,Partial,False,[],78
