,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Amazon GuardDuty,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']",0,,0,T1595,Active Scanning,,[]
1,Amazon GuardDuty,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']",1,,1,T1189,Drive-by Compromise,,[]
2,Amazon GuardDuty,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']",2,,2,T1190,Exploit Public-Facing Application,,[]
3,Amazon GuardDuty,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']",3,,3,T1566,Phishing,,[]
4,Amazon GuardDuty,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']",4,,4,T1078,Valid Accounts,,[]
5,Amazon GuardDuty,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']",5,,5,T1098,Account Manipulation,,[]
6,Amazon GuardDuty,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']",6,,6,T1562,Impair Defenses,,[]
7,Amazon GuardDuty,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']",7,,7,T1110,Brute Force,,[]
8,Amazon GuardDuty,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']",8,,8,T1552,Unsecured Credentials,,[]
9,Amazon GuardDuty,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']",9,,9,T1580,Cloud Infrastructure Discovery,,[]
