,score-category,score-value,related-score,tags,attack-object-key
0,Detect,Partial,True,[],0
1,Detect,Partial,False,[],1
2,Detect,Minimal,False,[],2
3,Detect,Partial,True,[],3
4,Detect,Partial,True,[],4
5,Detect,Partial,True,[],5
6,Detect,Partial,True,[],6
7,Detect,Minimal,True,[],7
8,Detect,Minimal,True,[],8
9,Detect,Partial,False,[],9
10,Detect,Partial,False,[],10
11,Detect,Partial,False,[],11
12,Detect,Partial,False,[],12
13,Detect,Partial,True,[],13
14,Detect,Partial,True,[],14
15,Detect,Partial,False,[],15
16,Detect,Minimal,True,[],16
17,Detect,Partial,False,[],17
18,Detect,Minimal,False,[],18
19,Detect,Minimal,False,[],19
20,Detect,Partial,True,[],20
21,Detect,Partial,True,[],21
22,Detect,Partial,False,[],22
23,Detect,Partial,False,[],23
24,Detect,Partial,False,[],24
25,Detect,Partial,True,[],25
26,Detect,Partial,True,[],26
27,Detect,Partial,False,[],27
28,Detect,Partial,True,[],28
