,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Amazon Inspector,['https://docs.aws.amazon.com/inspector/latest/userguide/inspector_introduction.html'],0,,0,T1189,Drive-by Compromise,,[]
1,Amazon Inspector,['https://docs.aws.amazon.com/inspector/latest/userguide/inspector_introduction.html'],1,,1,T1190,Exploit Public-Facing Application,,[]
2,Amazon Inspector,['https://docs.aws.amazon.com/inspector/latest/userguide/inspector_introduction.html'],2,,2,T1203,Exploitation for Client Execution,,[]
3,Amazon Inspector,['https://docs.aws.amazon.com/inspector/latest/userguide/inspector_introduction.html'],3,,3,T1068,Exploitation for Privilege Escalation,,[]
4,Amazon Inspector,['https://docs.aws.amazon.com/inspector/latest/userguide/inspector_introduction.html'],4,,4,T1211,Exploitation for Defense Evasion,,[]
5,Amazon Inspector,['https://docs.aws.amazon.com/inspector/latest/userguide/inspector_introduction.html'],5,,5,T1212,Exploitation for Credential Access,,[]
6,Amazon Inspector,['https://docs.aws.amazon.com/inspector/latest/userguide/inspector_introduction.html'],6,,6,T1210,Exploitation of Remote Services,,[]
7,Amazon Inspector,['https://docs.aws.amazon.com/inspector/latest/userguide/inspector_introduction.html'],7,,7,T1110,Brute Force,,[]
8,Amazon Inspector,['https://docs.aws.amazon.com/inspector/latest/userguide/inspector_introduction.html'],8,,8,T1133,External Remote Services,,[]
9,Amazon Inspector,['https://docs.aws.amazon.com/inspector/latest/userguide/inspector_introduction.html'],9,,9,T1021,Remote Services,,[]
10,Amazon Inspector,['https://docs.aws.amazon.com/inspector/latest/userguide/inspector_introduction.html'],10,,10,T1222,File and Directory Permissions Modification,,[]
11,Amazon Inspector,['https://docs.aws.amazon.com/inspector/latest/userguide/inspector_introduction.html'],11,,11,T1562,Impair Defenses,,[]
12,Amazon Inspector,['https://docs.aws.amazon.com/inspector/latest/userguide/inspector_introduction.html'],12,,12,T1070,Indicator Removal on Host,,[]
13,Amazon Inspector,['https://docs.aws.amazon.com/inspector/latest/userguide/inspector_introduction.html'],13,,13,T1599,Network Boundary Bridging,,[]
14,Amazon Inspector,['https://docs.aws.amazon.com/inspector/latest/userguide/inspector_introduction.html'],14,,14,T1003,OS Credential Dumping,,[]
15,Amazon Inspector,['https://docs.aws.amazon.com/inspector/latest/userguide/inspector_introduction.html'],15,,15,T1053,Scheduled Task/Job,,[]
16,Amazon Inspector,['https://docs.aws.amazon.com/inspector/latest/userguide/inspector_introduction.html'],16,,16,T1489,Service Stop,,[]
17,Amazon Inspector,['https://docs.aws.amazon.com/inspector/latest/userguide/inspector_introduction.html'],17,,17,T1529,System Shutdown/Reboot,,[]
18,Amazon Inspector,['https://docs.aws.amazon.com/inspector/latest/userguide/inspector_introduction.html'],18,,18,T1548,Abuse Elevation Control Mechanism,,[]
19,Amazon Inspector,['https://docs.aws.amazon.com/inspector/latest/userguide/inspector_introduction.html'],19,,19,T1037,Boot or Logon Initialization Scripts,,[]
20,Amazon Inspector,['https://docs.aws.amazon.com/inspector/latest/userguide/inspector_introduction.html'],20,,20,T1543,Create or Modify System Process,,[]
21,Amazon Inspector,['https://docs.aws.amazon.com/inspector/latest/userguide/inspector_introduction.html'],21,,21,T1046,Network Service Scanning,,[]
22,Amazon Inspector,['https://docs.aws.amazon.com/inspector/latest/userguide/inspector_introduction.html'],22,,22,T1595,Active Scanning,,[]
