,score-category,score-value,related-score,tags,attack-object-key
0,Protect,Partial,False,[],0
1,Protect,Partial,False,[],1
2,Protect,Partial,False,[],2
3,Protect,Partial,False,[],3
4,Protect,Partial,False,[],4
5,Protect,Partial,False,[],5
6,Protect,Partial,False,[],6
7,Protect,Minimal,True,[],7
8,Protect,Minimal,False,[],8
9,Protect,Minimal,True,[],9
10,Protect,Minimal,True,[],10
11,Protect,Minimal,True,[],11
12,Protect,Minimal,True,[],12
13,Protect,Minimal,True,[],13
14,Protect,Minimal,True,[],14
15,Protect,Minimal,True,[],15
16,Protect,Minimal,False,[],16
17,Protect,Minimal,False,[],17
18,Protect,Minimal,True,[],18
19,Protect,Minimal,True,[],19
20,Protect,Minimal,True,[],20
21,Protect,Partial,False,[],21
22,Protect,Partial,True,[],22
