,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Amazon Virtual Private Cloud,['https://docs.aws.amazon.com/vpc/latest/userguide/security.html'],0,,0,T1590,Gather Victim Network Information,,['Network']
1,Amazon Virtual Private Cloud,['https://docs.aws.amazon.com/vpc/latest/userguide/security.html'],1,,1,T1595,Active Scanning,,['Network']
2,Amazon Virtual Private Cloud,['https://docs.aws.amazon.com/vpc/latest/userguide/security.html'],2,,2,T1133,External Remote Services,,['Network']
3,Amazon Virtual Private Cloud,['https://docs.aws.amazon.com/vpc/latest/userguide/security.html'],3,,3,T1205,Traffic Signaling,,['Network']
4,Amazon Virtual Private Cloud,['https://docs.aws.amazon.com/vpc/latest/userguide/security.html'],4,,4,T1046,Network Service Scanning,,['Network']
5,Amazon Virtual Private Cloud,['https://docs.aws.amazon.com/vpc/latest/userguide/security.html'],5,,5,T1018,Remote System Discovery,,['Network']
6,Amazon Virtual Private Cloud,['https://docs.aws.amazon.com/vpc/latest/userguide/security.html'],6,,6,T1008,Fallback Channels,,['Network']
7,Amazon Virtual Private Cloud,['https://docs.aws.amazon.com/vpc/latest/userguide/security.html'],7,,7,T1095,Non-Application Layer Protocol,,['Network']
8,Amazon Virtual Private Cloud,['https://docs.aws.amazon.com/vpc/latest/userguide/security.html'],8,,8,T1571,Non-Standard Port,,['Network']
9,Amazon Virtual Private Cloud,['https://docs.aws.amazon.com/vpc/latest/userguide/security.html'],9,,9,T1219,Remote Access Software,,['Network']
10,Amazon Virtual Private Cloud,['https://docs.aws.amazon.com/vpc/latest/userguide/security.html'],10,,10,T1048,Exfiltration Over Alternative Protocol,,['Network']
11,Amazon Virtual Private Cloud,['https://docs.aws.amazon.com/vpc/latest/userguide/security.html'],11,,11,T1040,Network Sniffing,,['Network']
12,Amazon Virtual Private Cloud,['https://docs.aws.amazon.com/vpc/latest/userguide/security.html'],12,,12,T1557,Man-in-the-Middle,,['Network']
13,Amazon Virtual Private Cloud,['https://docs.aws.amazon.com/vpc/latest/userguide/security.html'],13,,13,T1565,Data Manipulation,,['Network']
14,Amazon Virtual Private Cloud,['https://docs.aws.amazon.com/vpc/latest/userguide/security.html'],14,,14,T1199,Trusted Relationship,,['Network']
15,Amazon Virtual Private Cloud,['https://docs.aws.amazon.com/vpc/latest/userguide/security.html'],15,,15,T1602,Data from Configuration Repository,,['Network']
16,Amazon Virtual Private Cloud,['https://docs.aws.amazon.com/vpc/latest/userguide/security.html'],16,,16,T1542,Pre-OS Boot,,['Network']
17,Amazon Virtual Private Cloud,['https://docs.aws.amazon.com/vpc/latest/userguide/security.html'],17,,17,T1210,Exploitation of Remote Services,,['Network']
18,Amazon Virtual Private Cloud,['https://docs.aws.amazon.com/vpc/latest/userguide/security.html'],18,,18,T1021,Remote Services,,['Network']
19,Amazon Virtual Private Cloud,['https://docs.aws.amazon.com/vpc/latest/userguide/security.html'],19,,19,T1072,Software Deployment Tools,,['Network']
20,Amazon Virtual Private Cloud,['https://docs.aws.amazon.com/vpc/latest/userguide/security.html'],20,,20,T1482,Domain Trust Discovery,,['Network']
21,Amazon Virtual Private Cloud,['https://docs.aws.amazon.com/vpc/latest/userguide/security.html'],21,,21,T1498,Network Denial of Service,,['Network']
22,Amazon Virtual Private Cloud,['https://docs.aws.amazon.com/vpc/latest/userguide/security.html'],22,,22,T1499,Endpoint Denial of Service,,['Network']
23,Amazon Virtual Private Cloud,['https://docs.aws.amazon.com/vpc/latest/userguide/security.html'],23,,23,T1570,Lateral Tool Transfer,,['Network']
24,Amazon Virtual Private Cloud,['https://docs.aws.amazon.com/vpc/latest/userguide/security.html'],24,,24,T1090,Proxy,,['Network']
