,comments,id,name,references,tags,mapping-description,mapping-target,metadata-key,key
0,,T1040,Network Sniffing,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,0,0
1,,T1565,Data Manipulation,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,1,1
2,,T1565,Data Manipulation,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,2,2
3,,T1557,Man-in-the-Middle,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,3,3
4,,T1190,Exploit Public-Facing Application,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,4,4
5,,T1190,Exploit Public-Facing Application,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,5,5
6,,T1210,Exploitation of Remote Services,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,6,6
7,,T1210,Exploitation of Remote Services,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,7,7
8,,T1485,Data Destruction,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,8,8
9,,T1485,Data Destruction,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,9,9
10,,T1485,Data Destruction,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,10,10
11,,T1486,Data Encrypted for Impact,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,11,11
12,,T1490,Inhibit System Recovery,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,12,12
13,,T1490,Inhibit System Recovery,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,13,13
14,,T1561,Disk Wipe,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,14,14
15,,T1530,Data from Cloud Storage Object,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,15,15
16,,T1529,System Shutdown/Reboot,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,16,16
17,,T1489,Service Stop,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],['Database'],,AWS RDS,17,17
