,mapping-version,attack-version,technology-domain,author,contact,creation-date,last-update,organization,mapping-platform,mapping-platform-version,key
0,1,9,enterprise,,ctid@mitre-engenuity.org,07/22/2021,,,AWS,,0
1,1,9,enterprise,,ctid@mitre-engenuity.org,07/22/2021,,,AWS,,1
2,1,9,enterprise,,ctid@mitre-engenuity.org,07/22/2021,,,AWS,,2
3,1,9,enterprise,,ctid@mitre-engenuity.org,07/22/2021,,,AWS,,3
4,1,9,enterprise,,ctid@mitre-engenuity.org,07/22/2021,,,AWS,,4
5,1,9,enterprise,,ctid@mitre-engenuity.org,07/22/2021,,,AWS,,5
6,1,9,enterprise,,ctid@mitre-engenuity.org,07/22/2021,,,AWS,,6
7,1,9,enterprise,,ctid@mitre-engenuity.org,07/22/2021,,,AWS,,7
8,1,9,enterprise,,ctid@mitre-engenuity.org,07/22/2021,,,AWS,,8
9,1,9,enterprise,,ctid@mitre-engenuity.org,07/22/2021,,,AWS,,9
10,1,9,enterprise,,ctid@mitre-engenuity.org,07/22/2021,,,AWS,,10
11,1,9,enterprise,,ctid@mitre-engenuity.org,07/22/2021,,,AWS,,11
12,1,9,enterprise,,ctid@mitre-engenuity.org,07/22/2021,,,AWS,,12
13,1,9,enterprise,,ctid@mitre-engenuity.org,07/22/2021,,,AWS,,13
14,1,9,enterprise,,ctid@mitre-engenuity.org,07/22/2021,,,AWS,,14
15,1,9,enterprise,,ctid@mitre-engenuity.org,07/22/2021,,,AWS,,15
16,1,9,enterprise,,ctid@mitre-engenuity.org,07/22/2021,,,AWS,,16
17,1,9,enterprise,,ctid@mitre-engenuity.org,07/22/2021,,,AWS,,17
18,1,9,enterprise,,ctid@mitre-engenuity.org,06/02/2021,,,AWS,,18
19,1,9,enterprise,,ctid@mitre-engenuity.org,06/02/2021,,,AWS,,19
20,1,9,enterprise,,ctid@mitre-engenuity.org,06/02/2021,,,AWS,,20
21,1,9,enterprise,,ctid@mitre-engenuity.org,06/02/2021,,,AWS,,21
