,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",0,,0,T1078,Valid Accounts,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
1,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",1,,1,T1059,Command and Scripting Interpreter,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
2,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",2,,2,T1204,User Execution,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
3,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",3,,3,T1547,Boot or Logon Autostart Execution,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
4,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",4,,4,T1136,Create Account,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
5,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",5,,5,T1543,Create or Modify System Process,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
6,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",6,,6,T1546,Event Triggered Execution,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
7,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",7,,7,T1548,Abuse Elevation Control Mechanism,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
8,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",8,,8,T1055,Process Injection,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
9,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",9,,9,T1203,Exploitation for Client Execution,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
10,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",10,,10,T1212,Exploitation for Credential Access,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
11,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",11,,11,T1211,Exploitation for Defense Evasion,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
12,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",12,,12,T1068,Exploitation for Privilege Escalation,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
13,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",13,,13,T1210,Exploitation of Remote Services,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
14,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",14,,14,T1190,Exploit Public-Facing Application,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
15,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",15,,15,T1189,Drive-by Compromise,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
16,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",16,,16,T1140,Deobfuscate/Decode Files or Information,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
17,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",17,,17,T1222,File and Directory Permissions Modification,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
18,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",18,,18,T1564,Hide Artifacts,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
19,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",19,,19,T1562,Impair Defenses,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
