,score-category,score-value,related-score,tags,attack-object-key
0,Detect,Partial,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",0
1,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",1
2,Detect,Partial,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",2
3,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",3
4,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",4
5,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",5
6,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",6
7,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",7
8,Detect,Partial,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",8
9,Detect,Partial,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",9
10,Detect,Partial,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",10
11,Detect,Partial,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",11
12,Detect,Partial,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",12
13,Detect,Partial,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",13
14,Detect,Partial,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",14
15,Detect,Partial,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",15
16,Detect,Partial,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",16
17,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",17
18,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",18
19,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",19
20,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",20
21,Detect,Partial,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",21
22,Detect,Minimal,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",22
23,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",23
24,Detect,Partial,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",24
25,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",25
26,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",26
27,Detect,Partial,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",27
28,Detect,Minimal,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",28
29,Detect,Partial,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",29
30,Detect,Partial,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",30
31,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",31
32,Detect,Minimal,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",32
33,Detect,Minimal,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",33
