,mapping-version,attack-version,technology-domain,author,contact,creation-date,last-update,organization,mapping-platform,mapping-platform-version,key
0,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,0
1,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,1
2,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,2
3,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,3
4,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,4
5,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,5
6,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,6
7,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,7
8,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,8
9,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,9
10,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,10
11,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,11
12,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,12
13,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,13
14,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,14
15,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,15
16,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,16
17,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,17
18,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,18
19,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,19
20,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,20
21,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,21
22,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,22
23,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,23
24,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,24
25,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,25
26,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,26
27,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,27
28,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,28
29,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,29
30,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,30
31,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,31
32,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,32
33,1,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,33
