,score-category,score-value,related-score,tags,attack-object-key
0,Protect,Partial,True,"['Credentials', 'Azure Active Directory', 'Identity', 'MFA']",0
1,Protect,Minimal,True,"['Credentials', 'Azure Active Directory', 'Identity', 'MFA']",1
2,Detect,Minimal,True,"['Credentials', 'Azure Active Directory', 'Identity', 'MFA']",2
3,Protect,Partial,False,"['Credentials', 'Azure Active Directory', 'Identity', 'MFA']",3
4,Protect,Partial,False,"['Credentials', 'Azure Active Directory', 'Identity', 'MFA']",4
5,Detect,Partial,True,"['Credentials', 'Azure Active Directory', 'Identity', 'MFA']",5
6,Protect,Partial,True,"['Credentials', 'Azure Active Directory', 'Identity', 'MFA']",6
7,Protect,Minimal,False,"['Credentials', 'Azure Active Directory', 'Identity', 'MFA']",7
8,Protect,Partial,True,"['Credentials', 'Azure Active Directory', 'Identity', 'MFA']",8
9,Protect,Minimal,False,"['Credentials', 'Azure Active Directory', 'Identity', 'MFA']",9
10,Detect,Partial,False,"['Credentials', 'Azure Active Directory', 'Identity', 'MFA']",10
11,Detect,Minimal,True,"['Credentials', 'Azure Active Directory', 'Identity', 'MFA']",11
