,mapping-version,attack-version,technology-domain,author,contact,creation-date,last-update,organization,mapping-platform,mapping-platform-version,key
0,1,8.2,enterprise,,ctid@mitre-engenuity.org,03/24/2021,,,Azure,,0
1,1,8.2,enterprise,,ctid@mitre-engenuity.org,03/24/2021,,,Azure,,1
2,1,8.2,enterprise,,ctid@mitre-engenuity.org,03/24/2021,,,Azure,,2
3,1,8.2,enterprise,,ctid@mitre-engenuity.org,03/24/2021,,,Azure,,3
4,1,8.2,enterprise,,ctid@mitre-engenuity.org,03/24/2021,,,Azure,,4
5,1,8.2,enterprise,,ctid@mitre-engenuity.org,03/24/2021,,,Azure,,5
6,1,8.2,enterprise,,ctid@mitre-engenuity.org,03/24/2021,,,Azure,,6
7,1,8.2,enterprise,,ctid@mitre-engenuity.org,03/24/2021,,,Azure,,7
8,1,8.2,enterprise,,ctid@mitre-engenuity.org,03/24/2021,,,Azure,,8
9,1,8.2,enterprise,,ctid@mitre-engenuity.org,03/24/2021,,,Azure,,9
10,1,8.2,enterprise,,ctid@mitre-engenuity.org,03/24/2021,,,Azure,,10
11,1,8.2,enterprise,,ctid@mitre-engenuity.org,03/24/2021,,,Azure,,11
