,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Azure Automation Update Management,['https://docs.microsoft.com/en-us/azure/automation/update-management/overview'],0,,0,T1195,Supply Chain Compromise,,"['Linux', 'Windows']"
1,Azure Automation Update Management,['https://docs.microsoft.com/en-us/azure/automation/update-management/overview'],1,,1,T1072,Software Deployment Tools,,"['Linux', 'Windows']"
2,Azure Automation Update Management,['https://docs.microsoft.com/en-us/azure/automation/update-management/overview'],2,,2,T1210,Exploitation of Remote Services,,"['Linux', 'Windows']"
3,Azure Automation Update Management,['https://docs.microsoft.com/en-us/azure/automation/update-management/overview'],3,,3,T1211,Exploitation for Defense Evasion,,"['Linux', 'Windows']"
4,Azure Automation Update Management,['https://docs.microsoft.com/en-us/azure/automation/update-management/overview'],4,,4,T1068,Exploitation for Privilege Escalation,,"['Linux', 'Windows']"
5,Azure Automation Update Management,['https://docs.microsoft.com/en-us/azure/automation/update-management/overview'],5,,5,T1190,Exploit Public-Facing Application,,"['Linux', 'Windows']"
6,Azure Automation Update Management,['https://docs.microsoft.com/en-us/azure/automation/update-management/overview'],6,,6,T1212,Exploitation for Credential Access,,"['Linux', 'Windows']"
7,Azure Automation Update Management,['https://docs.microsoft.com/en-us/azure/automation/update-management/overview'],7,,7,T1203,Exploitation for Client Execution,,"['Linux', 'Windows']"
8,Azure Automation Update Management,['https://docs.microsoft.com/en-us/azure/automation/update-management/overview'],8,,8,T1499,Endpoint Denial of Service,,"['Linux', 'Windows']"
9,Azure Automation Update Management,['https://docs.microsoft.com/en-us/azure/automation/update-management/overview'],9,,9,T1554,Compromise Client Software Binary,,"['Linux', 'Windows']"
10,Azure Automation Update Management,['https://docs.microsoft.com/en-us/azure/automation/update-management/overview'],10,,10,T1189,Drive-by Compromise,,"['Linux', 'Windows']"
