,score-category,score-value,related-score,tags,attack-object-key
0,Protect,Partial,True,"['Linux', 'Windows']",0
1,Protect,Partial,False,"['Linux', 'Windows']",1
2,Protect,Significant,False,"['Linux', 'Windows']",2
3,Protect,Significant,False,"['Linux', 'Windows']",3
4,Protect,Significant,False,"['Linux', 'Windows']",4
5,Protect,Partial,False,"['Linux', 'Windows']",5
6,Protect,Significant,False,"['Linux', 'Windows']",6
7,Protect,Significant,False,"['Linux', 'Windows']",7
8,Protect,Partial,True,"['Linux', 'Windows']",8
9,Protect,Partial,False,"['Linux', 'Windows']",9
10,Protect,Partial,False,"['Linux', 'Windows']",10
