,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Azure Defender for App Service,"['https://docs.microsoft.com/en-us/azure/security-center/alerts-reference', 'https://docs.microsoft.com/en-us/azure/security-center/defender-for-app-service-introduction', 'https://azure.microsoft.com/en-us/services/app-service/', 'https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction']",0,,0,T1584,Compromise Infrastructure,,"['Azure Defender', 'Azure Security Center', 'Azure Security Center Recommendation', 'Linux', 'Windows']"
1,Azure Defender for App Service,"['https://docs.microsoft.com/en-us/azure/security-center/alerts-reference', 'https://docs.microsoft.com/en-us/azure/security-center/defender-for-app-service-introduction', 'https://azure.microsoft.com/en-us/services/app-service/', 'https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction']",1,,1,T1496,Resource Hijacking,,"['Azure Defender', 'Azure Security Center', 'Azure Security Center Recommendation', 'Linux', 'Windows']"
2,Azure Defender for App Service,"['https://docs.microsoft.com/en-us/azure/security-center/alerts-reference', 'https://docs.microsoft.com/en-us/azure/security-center/defender-for-app-service-introduction', 'https://azure.microsoft.com/en-us/services/app-service/', 'https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction']",2,,2,T1204,User Execution,,"['Azure Defender', 'Azure Security Center', 'Azure Security Center Recommendation', 'Linux', 'Windows']"
3,Azure Defender for App Service,"['https://docs.microsoft.com/en-us/azure/security-center/alerts-reference', 'https://docs.microsoft.com/en-us/azure/security-center/defender-for-app-service-introduction', 'https://azure.microsoft.com/en-us/services/app-service/', 'https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction']",3,,3,T1140,Deobfuscate/Decode Files or Information,,"['Azure Defender', 'Azure Security Center', 'Azure Security Center Recommendation', 'Linux', 'Windows']"
4,Azure Defender for App Service,"['https://docs.microsoft.com/en-us/azure/security-center/alerts-reference', 'https://docs.microsoft.com/en-us/azure/security-center/defender-for-app-service-introduction', 'https://azure.microsoft.com/en-us/services/app-service/', 'https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction']",4,,4,T1566,Phishing,,"['Azure Defender', 'Azure Security Center', 'Azure Security Center Recommendation', 'Linux', 'Windows']"
5,Azure Defender for App Service,"['https://docs.microsoft.com/en-us/azure/security-center/alerts-reference', 'https://docs.microsoft.com/en-us/azure/security-center/defender-for-app-service-introduction', 'https://azure.microsoft.com/en-us/services/app-service/', 'https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction']",5,,5,T1059,Command and Scripting Interpreter,,"['Azure Defender', 'Azure Security Center', 'Azure Security Center Recommendation', 'Linux', 'Windows']"
6,Azure Defender for App Service,"['https://docs.microsoft.com/en-us/azure/security-center/alerts-reference', 'https://docs.microsoft.com/en-us/azure/security-center/defender-for-app-service-introduction', 'https://azure.microsoft.com/en-us/services/app-service/', 'https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction']",6,,6,T1105,Ingress Tool Transfer,,"['Azure Defender', 'Azure Security Center', 'Azure Security Center Recommendation', 'Linux', 'Windows']"
7,Azure Defender for App Service,"['https://docs.microsoft.com/en-us/azure/security-center/alerts-reference', 'https://docs.microsoft.com/en-us/azure/security-center/defender-for-app-service-introduction', 'https://azure.microsoft.com/en-us/services/app-service/', 'https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction']",7,,7,T1595,Active Scanning,,"['Azure Defender', 'Azure Security Center', 'Azure Security Center Recommendation', 'Linux', 'Windows']"
8,Azure Defender for App Service,"['https://docs.microsoft.com/en-us/azure/security-center/alerts-reference', 'https://docs.microsoft.com/en-us/azure/security-center/defender-for-app-service-introduction', 'https://azure.microsoft.com/en-us/services/app-service/', 'https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction']",8,,8,T1594,Search Victim-Owned Websites,,"['Azure Defender', 'Azure Security Center', 'Azure Security Center Recommendation', 'Linux', 'Windows']"
9,Azure Defender for App Service,"['https://docs.microsoft.com/en-us/azure/security-center/alerts-reference', 'https://docs.microsoft.com/en-us/azure/security-center/defender-for-app-service-introduction', 'https://azure.microsoft.com/en-us/services/app-service/', 'https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction']",9,,9,T1055,Process Injection,,"['Azure Defender', 'Azure Security Center', 'Azure Security Center Recommendation', 'Linux', 'Windows']"
