,score-category,score-value,related-score,tags,attack-object-key
0,Protect,Partial,True,"['Azure Security Center Recommendation', 'Network']",0
1,Protect,Partial,True,"['Azure Security Center Recommendation', 'Network']",1
2,Protect,Partial,False,"['Azure Security Center Recommendation', 'Network']",2
3,Protect,Partial,True,"['Azure Security Center Recommendation', 'Network']",3
4,Protect,Partial,False,"['Azure Security Center Recommendation', 'Network']",4
5,Protect,Partial,False,"['Azure Security Center Recommendation', 'Network']",5
6,Protect,Partial,False,"['Azure Security Center Recommendation', 'Network']",6
7,Protect,Partial,False,"['Azure Security Center Recommendation', 'Network']",7
8,Protect,Significant,False,"['Azure Security Center Recommendation', 'Network']",8
9,Protect,Partial,False,"['Azure Security Center Recommendation', 'Network']",9
10,Protect,Partial,True,"['Azure Security Center Recommendation', 'Network']",10
