,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Azure Policy,"['https://docs.microsoft.com/en-us/azure/governance/policy/overview', 'https://docs.microsoft.com/en-us/azure/governance/policy/samples/built-in-policies#api-for-fhir']",0,,0,T1190,Exploit Public-Facing Application,,['Azure Security Center Recommendation']
1,Azure Policy,"['https://docs.microsoft.com/en-us/azure/governance/policy/overview', 'https://docs.microsoft.com/en-us/azure/governance/policy/samples/built-in-policies#api-for-fhir']",1,,1,T1133,External Remote Services,,['Azure Security Center Recommendation']
2,Azure Policy,"['https://docs.microsoft.com/en-us/azure/governance/policy/overview', 'https://docs.microsoft.com/en-us/azure/governance/policy/samples/built-in-policies#api-for-fhir']",2,,2,T1590,Gather Victim Network Information,,['Azure Security Center Recommendation']
3,Azure Policy,"['https://docs.microsoft.com/en-us/azure/governance/policy/overview', 'https://docs.microsoft.com/en-us/azure/governance/policy/samples/built-in-policies#api-for-fhir']",3,,3,T1078,Valid Accounts,,['Azure Security Center Recommendation']
4,Azure Policy,"['https://docs.microsoft.com/en-us/azure/governance/policy/overview', 'https://docs.microsoft.com/en-us/azure/governance/policy/samples/built-in-policies#api-for-fhir']",4,,4,T1098,Account Manipulation,,['Azure Security Center Recommendation']
5,Azure Policy,"['https://docs.microsoft.com/en-us/azure/governance/policy/overview', 'https://docs.microsoft.com/en-us/azure/governance/policy/samples/built-in-policies#api-for-fhir']",5,,5,T1525,Implant Container Image,,['Azure Security Center Recommendation']
6,Azure Policy,"['https://docs.microsoft.com/en-us/azure/governance/policy/overview', 'https://docs.microsoft.com/en-us/azure/governance/policy/samples/built-in-policies#api-for-fhir']",6,,6,T1535,Unused/Unsupported Cloud Regions,,['Azure Security Center Recommendation']
7,Azure Policy,"['https://docs.microsoft.com/en-us/azure/governance/policy/overview', 'https://docs.microsoft.com/en-us/azure/governance/policy/samples/built-in-policies#api-for-fhir']",7,,7,T1505,Server Software Component,,['Azure Security Center Recommendation']
8,Azure Policy,"['https://docs.microsoft.com/en-us/azure/governance/policy/overview', 'https://docs.microsoft.com/en-us/azure/governance/policy/samples/built-in-policies#api-for-fhir']",8,,8,T1068,Exploitation for Privilege Escalation,,['Azure Security Center Recommendation']
9,Azure Policy,"['https://docs.microsoft.com/en-us/azure/governance/policy/overview', 'https://docs.microsoft.com/en-us/azure/governance/policy/samples/built-in-policies#api-for-fhir']",9,,9,T1211,Exploitation for Defense Evasion,,['Azure Security Center Recommendation']
10,Azure Policy,"['https://docs.microsoft.com/en-us/azure/governance/policy/overview', 'https://docs.microsoft.com/en-us/azure/governance/policy/samples/built-in-policies#api-for-fhir']",10,,10,T1212,Exploitation for Credential Access,,['Azure Security Center Recommendation']
11,Azure Policy,"['https://docs.microsoft.com/en-us/azure/governance/policy/overview', 'https://docs.microsoft.com/en-us/azure/governance/policy/samples/built-in-policies#api-for-fhir']",11,,11,T1203,Exploitation for Client Execution,,['Azure Security Center Recommendation']
12,Azure Policy,"['https://docs.microsoft.com/en-us/azure/governance/policy/overview', 'https://docs.microsoft.com/en-us/azure/governance/policy/samples/built-in-policies#api-for-fhir']",12,,12,T1110,Brute Force,,['Azure Security Center Recommendation']
13,Azure Policy,"['https://docs.microsoft.com/en-us/azure/governance/policy/overview', 'https://docs.microsoft.com/en-us/azure/governance/policy/samples/built-in-policies#api-for-fhir']",13,,13,T1555,Credentials from Password Stores,,['Azure Security Center Recommendation']
14,Azure Policy,"['https://docs.microsoft.com/en-us/azure/governance/policy/overview', 'https://docs.microsoft.com/en-us/azure/governance/policy/samples/built-in-policies#api-for-fhir']",14,,14,T1040,Network Sniffing,,['Azure Security Center Recommendation']
15,Azure Policy,"['https://docs.microsoft.com/en-us/azure/governance/policy/overview', 'https://docs.microsoft.com/en-us/azure/governance/policy/samples/built-in-policies#api-for-fhir']",15,,15,T1580,Cloud Infrastructure Discovery,,['Azure Security Center Recommendation']
16,Azure Policy,"['https://docs.microsoft.com/en-us/azure/governance/policy/overview', 'https://docs.microsoft.com/en-us/azure/governance/policy/samples/built-in-policies#api-for-fhir']",16,,16,T1538,Cloud Service Dashboard,,['Azure Security Center Recommendation']
17,Azure Policy,"['https://docs.microsoft.com/en-us/azure/governance/policy/overview', 'https://docs.microsoft.com/en-us/azure/governance/policy/samples/built-in-policies#api-for-fhir']",17,,17,T1526,Cloud Service Discovery,,['Azure Security Center Recommendation']
18,Azure Policy,"['https://docs.microsoft.com/en-us/azure/governance/policy/overview', 'https://docs.microsoft.com/en-us/azure/governance/policy/samples/built-in-policies#api-for-fhir']",18,,18,T1210,Exploitation of Remote Services,,['Azure Security Center Recommendation']
19,Azure Policy,"['https://docs.microsoft.com/en-us/azure/governance/policy/overview', 'https://docs.microsoft.com/en-us/azure/governance/policy/samples/built-in-policies#api-for-fhir']",19,,19,T1021,Remote Services,,['Azure Security Center Recommendation']
20,Azure Policy,"['https://docs.microsoft.com/en-us/azure/governance/policy/overview', 'https://docs.microsoft.com/en-us/azure/governance/policy/samples/built-in-policies#api-for-fhir']",20,,20,T1530,Data from Cloud Storage Object,,['Azure Security Center Recommendation']
