,score-category,score-value,related-score,tags,attack-object-key
0,Protect,Partial,False,['Azure Security Center Recommendation'],0
1,Protect,Partial,False,['Azure Security Center Recommendation'],1
2,Protect,Partial,True,['Azure Security Center Recommendation'],2
3,Protect,Minimal,True,['Azure Security Center Recommendation'],3
4,Protect,Minimal,True,['Azure Security Center Recommendation'],4
5,Detect,Minimal,False,['Azure Security Center Recommendation'],5
6,Protect,Partial,False,['Azure Security Center Recommendation'],6
7,Protect,Minimal,True,['Azure Security Center Recommendation'],7
8,Protect,Minimal,False,['Azure Security Center Recommendation'],8
9,Protect,Minimal,False,['Azure Security Center Recommendation'],9
10,Protect,Minimal,False,['Azure Security Center Recommendation'],10
11,Protect,Minimal,False,['Azure Security Center Recommendation'],11
12,Protect,Partial,True,['Azure Security Center Recommendation'],12
13,Protect,Partial,False,['Azure Security Center Recommendation'],13
14,Protect,Partial,False,['Azure Security Center Recommendation'],14
15,Protect,Partial,False,['Azure Security Center Recommendation'],15
16,Protect,Partial,False,['Azure Security Center Recommendation'],16
17,Protect,Partial,False,['Azure Security Center Recommendation'],17
18,Protect,Minimal,False,['Azure Security Center Recommendation'],18
19,Protect,Minimal,True,['Azure Security Center Recommendation'],19
20,Protect,Partial,False,['Azure Security Center Recommendation'],20
21,Protect,Minimal,True,['Azure Security Center Recommendation'],21
22,Protect,Minimal,False,['Azure Security Center Recommendation'],22
23,Protect,Minimal,False,['Azure Security Center Recommendation'],23
