,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",0,,0,T1078,Valid Accounts,,"['Analytics', 'Threat Hunting']"
1,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",1,,1,T1195,Supply Chain Compromise,,"['Analytics', 'Threat Hunting']"
2,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",2,,2,T1110,Brute Force,,"['Analytics', 'Threat Hunting']"
3,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",3,,3,T1098,Account Manipulation,,"['Analytics', 'Threat Hunting']"
4,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",4,,4,T1071,Application Layer Protocol,,"['Analytics', 'Threat Hunting']"
5,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",5,,5,T1567,Exfiltration Over Web Service,,"['Analytics', 'Threat Hunting']"
6,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",6,,6,T1595,Active Scanning,,"['Analytics', 'Threat Hunting']"
7,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",7,,7,T1105,Ingress Tool Transfer,,"['Analytics', 'Threat Hunting']"
8,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",8,,8,T1048,Exfiltration Over Alternative Protocol,,"['Analytics', 'Threat Hunting']"
9,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",9,,9,T1496,Resource Hijacking,,"['Analytics', 'Threat Hunting']"
10,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",10,,10,T1070,Indicator Removal on Host,,"['Analytics', 'Threat Hunting']"
11,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",11,,11,T1059,Command and Scripting Interpreter,,"['Analytics', 'Threat Hunting']"
12,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",12,,12,T1213,Data from Information Repositories,,"['Analytics', 'Threat Hunting']"
13,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",13,,13,T1531,Account Access Removal,,"['Analytics', 'Threat Hunting']"
14,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",14,,14,T1018,Remote System Discovery,,"['Analytics', 'Threat Hunting']"
15,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",15,,15,T1136,Create Account,,"['Analytics', 'Threat Hunting']"
16,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",16,,16,T1114,Email Collection,,"['Analytics', 'Threat Hunting']"
17,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",17,,17,T1505,Server Software Component,,"['Analytics', 'Threat Hunting']"
18,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",18,,18,T1573,Encrypted Channel,,"['Analytics', 'Threat Hunting']"
19,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",19,,19,T1090,Proxy,,"['Analytics', 'Threat Hunting']"
20,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",20,,20,T1562,Impair Defenses,,"['Analytics', 'Threat Hunting']"
21,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",21,,21,T1119,Automated Collection,,"['Analytics', 'Threat Hunting']"
22,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",22,,22,T1485,Data Destruction,,"['Analytics', 'Threat Hunting']"
23,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",23,,23,T1568,Dynamic Resolution,,"['Analytics', 'Threat Hunting']"
24,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",24,,24,T1190,Exploit Public-Facing Application,,"['Analytics', 'Threat Hunting']"
25,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",25,,25,T1137,Office Application Startup,,"['Analytics', 'Threat Hunting']"
26,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",26,,26,T1140,Deobfuscate/Decode Files or Information,,"['Analytics', 'Threat Hunting']"
27,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",27,,27,T1558,Steal or Forge Kerberos Tickets,,"['Analytics', 'Threat Hunting']"
28,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",28,,28,T1047,Windows Management Instrumentation,,"['Analytics', 'Threat Hunting']"
29,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",29,,29,T1046,Network Service Scanning,,"['Analytics', 'Threat Hunting']"
30,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",30,,30,T1021,Remote Services,,"['Analytics', 'Threat Hunting']"
31,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",31,,31,T1552,Unsecured Credentials,,"['Analytics', 'Threat Hunting']"
32,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",32,,32,T1552,Unsecured Credentials,,"['Analytics', 'Threat Hunting']"
33,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",33,,33,T1590,Gather Victim Network Information,,"['Analytics', 'Threat Hunting']"
34,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",34,,34,T1548,Abuse Elevation Control Mechanism,,"['Analytics', 'Threat Hunting']"
35,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",35,,35,T1134,Access Token Manipulation,,"['Analytics', 'Threat Hunting']"
36,Azure Sentinel,"['https://docs.microsoft.com/en-us/azure/sentinel/overview', 'https://docs.microsoft.com/en-us/azure/sentinel/hunting']",36,,36,T1087,Account Discovery,,"['Analytics', 'Threat Hunting']"
