,score-category,score-value,related-score,tags,attack-object-key
0,Detect,Partial,True,"['Analytics', 'Threat Hunting']",0
1,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",1
2,Detect,Partial,True,"['Analytics', 'Threat Hunting']",2
3,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",3
4,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",4
5,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",5
6,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",6
7,Detect,Partial,False,"['Analytics', 'Threat Hunting']",7
8,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",8
9,Detect,Partial,False,"['Analytics', 'Threat Hunting']",9
10,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",10
11,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",11
12,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",12
13,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",13
14,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",14
15,Detect,Partial,True,"['Analytics', 'Threat Hunting']",15
16,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",16
17,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",17
18,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",18
19,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",19
20,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",20
21,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",21
22,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",22
23,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",23
24,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",24
25,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",25
26,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",26
27,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",27
28,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",28
29,Detect,Partial,False,"['Analytics', 'Threat Hunting']",29
30,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",30
31,Protect,Minimal,True,"['Analytics', 'Threat Hunting']",31
32,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",32
33,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",33
34,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",34
35,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",35
36,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",36
37,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",37
38,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",38
39,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",39
40,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",40
41,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",41
42,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",42
43,Detect,Partial,True,"['Analytics', 'Threat Hunting']",43
44,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",44
45,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",45
46,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",46
47,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",47
48,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",48
49,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",49
50,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",50
51,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",51
52,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",52
53,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",53
54,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",54
55,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",55
56,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",56
57,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",57
58,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",58
59,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",59
60,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",60
61,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",61
62,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",62
63,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",63
64,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",64
65,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",65
66,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",66
67,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",67
68,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",68
69,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",69
70,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",70
71,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",71
72,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",72
73,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",73
74,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",74
75,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",75
76,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",76
77,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",77
78,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",78
79,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",79
80,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",80
81,Detect,Minimal,False,"['Analytics', 'Threat Hunting']",81
82,Detect,Minimal,True,"['Analytics', 'Threat Hunting']",82
