,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Azure Network Traffic Analytics,['https://docs.microsoft.com/en-us/azure/network-watcher/traffic-analytics'],0,,0,T1199,Trusted Relationship,,"['Analytics', 'Network']"
1,Azure Network Traffic Analytics,['https://docs.microsoft.com/en-us/azure/network-watcher/traffic-analytics'],1,,1,T1602,Data from Configuration Repository,,"['Analytics', 'Network']"
2,Azure Network Traffic Analytics,['https://docs.microsoft.com/en-us/azure/network-watcher/traffic-analytics'],2,,2,T1542,Pre-OS Boot,,"['Analytics', 'Network']"
3,Azure Network Traffic Analytics,['https://docs.microsoft.com/en-us/azure/network-watcher/traffic-analytics'],3,,3,T1563,Remote Service Session Hijacking,,"['Analytics', 'Network']"
4,Azure Network Traffic Analytics,['https://docs.microsoft.com/en-us/azure/network-watcher/traffic-analytics'],4,,4,T1048,Exfiltration Over Alternative Protocol,,"['Analytics', 'Network']"
5,Azure Network Traffic Analytics,['https://docs.microsoft.com/en-us/azure/network-watcher/traffic-analytics'],5,,5,T1190,Exploit Public-Facing Application,,"['Analytics', 'Network']"
6,Azure Network Traffic Analytics,['https://docs.microsoft.com/en-us/azure/network-watcher/traffic-analytics'],6,,6,T1021,Remote Services,,"['Analytics', 'Network']"
7,Azure Network Traffic Analytics,['https://docs.microsoft.com/en-us/azure/network-watcher/traffic-analytics'],7,,7,T1072,Software Deployment Tools,,"['Analytics', 'Network']"
8,Azure Network Traffic Analytics,['https://docs.microsoft.com/en-us/azure/network-watcher/traffic-analytics'],8,,8,T1133,External Remote Services,,"['Analytics', 'Network']"
9,Azure Network Traffic Analytics,['https://docs.microsoft.com/en-us/azure/network-watcher/traffic-analytics'],9,,9,T1046,Network Service Scanning,,"['Analytics', 'Network']"
10,Azure Network Traffic Analytics,['https://docs.microsoft.com/en-us/azure/network-watcher/traffic-analytics'],10,,10,T1571,Non-Standard Port,,"['Analytics', 'Network']"
11,Azure Network Traffic Analytics,['https://docs.microsoft.com/en-us/azure/network-watcher/traffic-analytics'],11,,11,T1071,Application Layer Protocol,,"['Analytics', 'Network']"
12,Azure Network Traffic Analytics,['https://docs.microsoft.com/en-us/azure/network-watcher/traffic-analytics'],12,,12,T1499,Endpoint Denial of Service,,"['Analytics', 'Network']"
13,Azure Network Traffic Analytics,['https://docs.microsoft.com/en-us/azure/network-watcher/traffic-analytics'],13,,13,T1090,Proxy,,"['Analytics', 'Network']"
