,score-category,score-value,related-score,tags,attack-object-key
0,Detect,Partial,False,"['Analytics', 'Network']",0
1,Detect,Partial,True,"['Analytics', 'Network']",1
2,Detect,Minimal,True,"['Analytics', 'Network']",2
3,Detect,Partial,True,"['Analytics', 'Network']",3
4,Detect,Partial,True,"['Analytics', 'Network']",4
5,Detect,Partial,False,"['Analytics', 'Network']",5
6,Detect,Partial,True,"['Analytics', 'Network']",6
7,Detect,Partial,False,"['Analytics', 'Network']",7
8,Detect,Partial,False,"['Analytics', 'Network']",8
9,Detect,Significant,False,"['Analytics', 'Network']",9
10,Detect,Significant,False,"['Analytics', 'Network']",10
11,Detect,Partial,True,"['Analytics', 'Network']",11
12,Detect,Partial,True,"['Analytics', 'Network']",12
13,Detect,Partial,True,"['Analytics', 'Network']",13
