,mapping-target,references,tags,metadata-key,mapping-description,name,id,key,comments
0,Azure AD Identity Protection,"['https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/howto-identity-protection-investigate-risk', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/overview-identity-protection', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/concept-identity-protection-risks', 'https://techcommunity.microsoft.com/t5/azure-active-directory-identity/azuread-identity-protection-adds-support-for-federated/ba-p/244328']","['Credentials', 'Azure Active Directory', 'Identity', 'Microsoft 365 Defender']",0,,Valid Accounts,T1078,0,
1,Azure AD Identity Protection,"['https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/howto-identity-protection-investigate-risk', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/overview-identity-protection', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/concept-identity-protection-risks', 'https://techcommunity.microsoft.com/t5/azure-active-directory-identity/azuread-identity-protection-adds-support-for-federated/ba-p/244328']","['Credentials', 'Azure Active Directory', 'Identity', 'Microsoft 365 Defender']",1,,Valid Accounts,T1078,1,
2,Azure AD Identity Protection,"['https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/howto-identity-protection-investigate-risk', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/overview-identity-protection', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/concept-identity-protection-risks', 'https://techcommunity.microsoft.com/t5/azure-active-directory-identity/azuread-identity-protection-adds-support-for-federated/ba-p/244328']","['Credentials', 'Azure Active Directory', 'Identity', 'Microsoft 365 Defender']",2,,Forge Web Credentials,T1606,2,
3,Azure AD Identity Protection,"['https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/howto-identity-protection-investigate-risk', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/overview-identity-protection', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/concept-identity-protection-risks', 'https://techcommunity.microsoft.com/t5/azure-active-directory-identity/azuread-identity-protection-adds-support-for-federated/ba-p/244328']","['Credentials', 'Azure Active Directory', 'Identity', 'Microsoft 365 Defender']",3,,Forge Web Credentials,T1606,3,
4,Azure AD Identity Protection,"['https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/howto-identity-protection-investigate-risk', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/overview-identity-protection', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/concept-identity-protection-risks', 'https://techcommunity.microsoft.com/t5/azure-active-directory-identity/azuread-identity-protection-adds-support-for-federated/ba-p/244328']","['Credentials', 'Azure Active Directory', 'Identity', 'Microsoft 365 Defender']",4,,Brute Force,T1110,4,
5,Azure AD Identity Protection,"['https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/howto-identity-protection-investigate-risk', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/overview-identity-protection', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/concept-identity-protection-risks', 'https://techcommunity.microsoft.com/t5/azure-active-directory-identity/azuread-identity-protection-adds-support-for-federated/ba-p/244328']","['Credentials', 'Azure Active Directory', 'Identity', 'Microsoft 365 Defender']",5,,Brute Force,T1110,5,
6,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",6,,Valid Accounts,T1078,6,
7,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",7,,Command and Scripting Interpreter,T1059,7,
8,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",8,,User Execution,T1204,8,
9,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",9,,Boot or Logon Autostart Execution,T1547,9,
10,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",10,,Create Account,T1136,10,
11,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",11,,Create or Modify System Process,T1543,11,
12,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",12,,Event Triggered Execution,T1546,12,
13,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",13,,Abuse Elevation Control Mechanism,T1548,13,
14,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",14,,Process Injection,T1055,14,
15,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",15,,Exploitation for Client Execution,T1203,15,
16,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",16,,Exploitation for Credential Access,T1212,16,
17,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",17,,Exploitation for Defense Evasion,T1211,17,
18,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",18,,Exploitation for Privilege Escalation,T1068,18,
19,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",19,,Exploitation of Remote Services,T1210,19,
20,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",20,,Exploit Public-Facing Application,T1190,20,
21,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",21,,Drive-by Compromise,T1189,21,
22,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",22,,Deobfuscate/Decode Files or Information,T1140,22,
23,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",23,,File and Directory Permissions Modification,T1222,23,
24,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",24,,Hide Artifacts,T1564,24,
25,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",25,,Impair Defenses,T1562,25,
26,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",26,,Indicator Removal on Host,T1070,26,
27,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",27,,Modify Registry,T1112,27,
28,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",28,,Obfuscated Files or Information,T1027,28,
29,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",29,,Signed Binary Proxy Execution,T1218,29,
30,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",30,,Brute Force,T1110,30,
31,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",31,,OS Credential Dumping,T1003,31,
32,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",32,,Steal or Forge Kerberos Tickets,T1558,32,
33,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",33,,Account Discovery,T1087,33,
34,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",34,,System Information Discovery,T1082,34,
35,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",35,,Remote Service Session Hijacking,T1563,35,
36,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",36,,Ingress Tool Transfer,T1105,36,
37,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",37,,Exfiltration Over Alternative Protocol,T1048,37,
38,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",38,,Service Stop,T1489,38,
39,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",39,,Indirect Command Execution,T1202,39,
40,Azure Security Center Recommendations,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']","['Azure Security Center', 'Azure Security Center Recommendation']",40,,Network Sniffing,T1040,40,"Security Center recommendations include recommendations to enable security controls that have already been mapped separately (e.g. ""Azure Defender for App Service should be enabled"").    Rather than including the (sub-)techniques that these controls map to within this mapping, consult the mapping files for these controls.  To make this latter task easier, we have tagged all such controls with the ""Azure Security Center Recommendation"" tag.
All scores are capped at Partial since this control provides recommendations rather than applying/enforcing the recommended actions.
IoT related recommendations were not included in this mapping."
41,Azure Security Center Recommendations,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']","['Azure Security Center', 'Azure Security Center Recommendation']",41,,Exploit Public-Facing Application,T1190,41,"Security Center recommendations include recommendations to enable security controls that have already been mapped separately (e.g. ""Azure Defender for App Service should be enabled"").    Rather than including the (sub-)techniques that these controls map to within this mapping, consult the mapping files for these controls.  To make this latter task easier, we have tagged all such controls with the ""Azure Security Center Recommendation"" tag.
All scores are capped at Partial since this control provides recommendations rather than applying/enforcing the recommended actions.
IoT related recommendations were not included in this mapping."
42,Azure Security Center Recommendations,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']","['Azure Security Center', 'Azure Security Center Recommendation']",42,,Brute Force,T1110,42,"Security Center recommendations include recommendations to enable security controls that have already been mapped separately (e.g. ""Azure Defender for App Service should be enabled"").    Rather than including the (sub-)techniques that these controls map to within this mapping, consult the mapping files for these controls.  To make this latter task easier, we have tagged all such controls with the ""Azure Security Center Recommendation"" tag.
All scores are capped at Partial since this control provides recommendations rather than applying/enforcing the recommended actions.
IoT related recommendations were not included in this mapping."
43,Azure Security Center Recommendations,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']","['Azure Security Center', 'Azure Security Center Recommendation']",43,,Pre-OS Boot,T1542,43,"Security Center recommendations include recommendations to enable security controls that have already been mapped separately (e.g. ""Azure Defender for App Service should be enabled"").    Rather than including the (sub-)techniques that these controls map to within this mapping, consult the mapping files for these controls.  To make this latter task easier, we have tagged all such controls with the ""Azure Security Center Recommendation"" tag.
All scores are capped at Partial since this control provides recommendations rather than applying/enforcing the recommended actions.
IoT related recommendations were not included in this mapping."
44,Azure Security Center Recommendations,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']","['Azure Security Center', 'Azure Security Center Recommendation']",44,,Endpoint Denial of Service,T1499,44,"Security Center recommendations include recommendations to enable security controls that have already been mapped separately (e.g. ""Azure Defender for App Service should be enabled"").    Rather than including the (sub-)techniques that these controls map to within this mapping, consult the mapping files for these controls.  To make this latter task easier, we have tagged all such controls with the ""Azure Security Center Recommendation"" tag.
All scores are capped at Partial since this control provides recommendations rather than applying/enforcing the recommended actions.
IoT related recommendations were not included in this mapping."
45,Azure Security Center Recommendations,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']","['Azure Security Center', 'Azure Security Center Recommendation']",45,,Implant Container Image,T1525,45,"Security Center recommendations include recommendations to enable security controls that have already been mapped separately (e.g. ""Azure Defender for App Service should be enabled"").    Rather than including the (sub-)techniques that these controls map to within this mapping, consult the mapping files for these controls.  To make this latter task easier, we have tagged all such controls with the ""Azure Security Center Recommendation"" tag.
All scores are capped at Partial since this control provides recommendations rather than applying/enforcing the recommended actions.
IoT related recommendations were not included in this mapping."
46,Azure Security Center Recommendations,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']","['Azure Security Center', 'Azure Security Center Recommendation']",46,,Exploitation for Privilege Escalation,T1068,46,"Security Center recommendations include recommendations to enable security controls that have already been mapped separately (e.g. ""Azure Defender for App Service should be enabled"").    Rather than including the (sub-)techniques that these controls map to within this mapping, consult the mapping files for these controls.  To make this latter task easier, we have tagged all such controls with the ""Azure Security Center Recommendation"" tag.
All scores are capped at Partial since this control provides recommendations rather than applying/enforcing the recommended actions.
IoT related recommendations were not included in this mapping."
47,Azure Security Center Recommendations,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']","['Azure Security Center', 'Azure Security Center Recommendation']",47,,Account Manipulation,T1098,47,"Security Center recommendations include recommendations to enable security controls that have already been mapped separately (e.g. ""Azure Defender for App Service should be enabled"").    Rather than including the (sub-)techniques that these controls map to within this mapping, consult the mapping files for these controls.  To make this latter task easier, we have tagged all such controls with the ""Azure Security Center Recommendation"" tag.
All scores are capped at Partial since this control provides recommendations rather than applying/enforcing the recommended actions.
IoT related recommendations were not included in this mapping."
48,Azure Security Center Recommendations,"['https://docs.microsoft.com/en-us/azure/security-center/recommendations-reference', 'https://docs.microsoft.com/en-us/azure/security-center/security-center-introduction']","['Azure Security Center', 'Azure Security Center Recommendation']",48,,Compromise Client Software Binary,T1554,48,"Security Center recommendations include recommendations to enable security controls that have already been mapped separately (e.g. ""Azure Defender for App Service should be enabled"").    Rather than including the (sub-)techniques that these controls map to within this mapping, consult the mapping files for these controls.  To make this latter task easier, we have tagged all such controls with the ""Azure Security Center Recommendation"" tag.
All scores are capped at Partial since this control provides recommendations rather than applying/enforcing the recommended actions.
IoT related recommendations were not included in this mapping."
