,score-category,score-value,related-score,tags,attack-object-key
0,Detect,Partial,True,"['Credentials', 'Azure Active Directory', 'Identity', 'Microsoft 365 Defender']",0
1,Respond,Partial,True,"['Credentials', 'Azure Active Directory', 'Identity', 'Microsoft 365 Defender']",1
2,Detect,Partial,True,"['Credentials', 'Azure Active Directory', 'Identity', 'Microsoft 365 Defender']",2
3,Respond,Partial,True,"['Credentials', 'Azure Active Directory', 'Identity', 'Microsoft 365 Defender']",3
4,Detect,Minimal,True,"['Credentials', 'Azure Active Directory', 'Identity', 'Microsoft 365 Defender']",4
5,Respond,Minimal,True,"['Credentials', 'Azure Active Directory', 'Identity', 'Microsoft 365 Defender']",5
6,Detect,Partial,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",6
7,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",7
8,Detect,Partial,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",8
9,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",9
10,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",10
11,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",11
12,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",12
13,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",13
14,Detect,Partial,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",14
15,Detect,Partial,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",15
16,Detect,Partial,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",16
17,Detect,Partial,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",17
18,Detect,Partial,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",18
19,Detect,Partial,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",19
20,Detect,Partial,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",20
21,Detect,Partial,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",21
22,Detect,Partial,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",22
23,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",23
24,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",24
25,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",25
26,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",26
27,Detect,Partial,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",27
28,Detect,Minimal,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",28
29,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",29
30,Detect,Partial,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",30
31,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",31
32,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",32
33,Detect,Partial,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",33
34,Detect,Minimal,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",34
35,Detect,Partial,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",35
36,Detect,Partial,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",36
37,Detect,Minimal,True,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",37
38,Detect,Minimal,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",38
39,Detect,Minimal,False,"['Azure Defender', 'Azure Defender for Servers', 'Windows']",39
40,Protect,Minimal,False,"['Azure Security Center', 'Azure Security Center Recommendation']",40
41,Protect,Minimal,False,"['Azure Security Center', 'Azure Security Center Recommendation']",41
42,Protect,Minimal,True,"['Azure Security Center', 'Azure Security Center Recommendation']",42
43,Protect,Partial,True,"['Azure Security Center', 'Azure Security Center Recommendation']",43
44,Protect,Minimal,True,"['Azure Security Center', 'Azure Security Center Recommendation']",44
45,Protect,Partial,False,"['Azure Security Center', 'Azure Security Center Recommendation']",45
46,Protect,Partial,False,"['Azure Security Center', 'Azure Security Center Recommendation']",46
47,Protect,Minimal,True,"['Azure Security Center', 'Azure Security Center Recommendation']",47
48,Protect,Partial,False,"['Azure Security Center', 'Azure Security Center Recommendation']",48
49,Protect,Minimal,True,"['Azure Security Center', 'Azure Security Center Recommendation']",49
50,Protect,Minimal,True,"['Azure Security Center', 'Azure Security Center Recommendation']",50
51,Protect,Minimal,True,"['Azure Security Center', 'Azure Security Center Recommendation']",51
52,Protect,Minimal,True,"['Azure Security Center', 'Azure Security Center Recommendation']",52
53,Protect,Minimal,True,"['Azure Security Center', 'Azure Security Center Recommendation']",53
54,Protect,Minimal,True,"['Azure Security Center', 'Azure Security Center Recommendation']",54
55,Protect,Minimal,True,"['Azure Security Center', 'Azure Security Center Recommendation']",55
56,Protect,Minimal,True,"['Azure Security Center', 'Azure Security Center Recommendation']",56
57,Protect,Partial,False,"['Azure Security Center', 'Azure Security Center Recommendation']",57
58,Protect,Partial,True,"['Azure Security Center', 'Azure Security Center Recommendation']",58
59,Protect,Partial,False,"['Azure Security Center', 'Azure Security Center Recommendation']",59
60,Protect,Partial,False,"['Azure Security Center', 'Azure Security Center Recommendation']",60
