,mapping-version,attack-version,technology-domain,author,contact,creation-date,last-update,organization,mapping-platform,mapping-platform-version,key
0,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,03/4/2021,,,Azure,,0
1,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,03/4/2021,,,Azure,,1
2,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,03/4/2021,,,Azure,,2
3,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,03/4/2021,,,Azure,,3
4,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,03/4/2021,,,Azure,,4
5,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,03/4/2021,,,Azure,,5
6,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,6
7,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,7
8,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,8
9,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,9
10,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,10
11,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,11
12,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,12
13,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,13
14,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,14
15,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,15
16,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,16
17,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,17
18,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,18
19,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,19
20,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,20
21,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,21
22,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,22
23,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,23
24,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,24
25,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,25
26,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,26
27,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,27
28,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,28
29,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,29
30,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,30
31,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,31
32,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,32
33,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,33
34,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,34
35,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,35
36,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,36
37,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,37
38,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,38
39,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/05/2021,,,Azure,,39
40,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/07/2021,,,Azure,,40
41,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/07/2021,,,Azure,,41
42,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/07/2021,,,Azure,,42
43,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/07/2021,,,Azure,,43
44,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/07/2021,,,Azure,,44
45,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/07/2021,,,Azure,,45
46,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/07/2021,,,Azure,,46
47,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/07/2021,,,Azure,,47
48,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/07/2021,,,Azure,,48
49,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/07/2021,,,Azure,,49
50,1.0,8.2,enterprise,,ctid@mitre-engenuity.org,04/07/2021,,,Azure,,50
