,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Cloud App Security Policies,"['https://docs.microsoft.com/en-us/cloud-app-security/policies-cloud-discovery', 'https://docs.microsoft.com/en-us/cloud-app-security/policies-information-protection', 'https://docs.microsoft.com/en-us/cloud-app-security/investigate-anomaly-alerts']",0,,0,T1078,Valid Accounts,,[]
1,Cloud App Security Policies,"['https://docs.microsoft.com/en-us/cloud-app-security/policies-cloud-discovery', 'https://docs.microsoft.com/en-us/cloud-app-security/policies-information-protection', 'https://docs.microsoft.com/en-us/cloud-app-security/investigate-anomaly-alerts']",1,,1,T1567,Exfiltration Over Web Service,,[]
2,Cloud App Security Policies,"['https://docs.microsoft.com/en-us/cloud-app-security/policies-cloud-discovery', 'https://docs.microsoft.com/en-us/cloud-app-security/policies-information-protection', 'https://docs.microsoft.com/en-us/cloud-app-security/investigate-anomaly-alerts']",2,,2,T1567,Exfiltration Over Web Service,,[]
3,Cloud App Security Policies,"['https://docs.microsoft.com/en-us/cloud-app-security/policies-cloud-discovery', 'https://docs.microsoft.com/en-us/cloud-app-security/policies-information-protection', 'https://docs.microsoft.com/en-us/cloud-app-security/investigate-anomaly-alerts']",3,,3,T1189,Drive-by Compromise,,[]
4,Cloud App Security Policies,"['https://docs.microsoft.com/en-us/cloud-app-security/policies-cloud-discovery', 'https://docs.microsoft.com/en-us/cloud-app-security/policies-information-protection', 'https://docs.microsoft.com/en-us/cloud-app-security/investigate-anomaly-alerts']",4,,4,T1535,Unused/Unsupported Cloud Regions,,[]
5,Cloud App Security Policies,"['https://docs.microsoft.com/en-us/cloud-app-security/policies-cloud-discovery', 'https://docs.microsoft.com/en-us/cloud-app-security/policies-information-protection', 'https://docs.microsoft.com/en-us/cloud-app-security/investigate-anomaly-alerts']",5,,5,T1187,Forced Authentication,,[]
6,Cloud App Security Policies,"['https://docs.microsoft.com/en-us/cloud-app-security/policies-cloud-discovery', 'https://docs.microsoft.com/en-us/cloud-app-security/policies-information-protection', 'https://docs.microsoft.com/en-us/cloud-app-security/investigate-anomaly-alerts']",6,,6,T1187,Forced Authentication,,[]
7,Cloud App Security Policies,"['https://docs.microsoft.com/en-us/cloud-app-security/policies-cloud-discovery', 'https://docs.microsoft.com/en-us/cloud-app-security/policies-information-protection', 'https://docs.microsoft.com/en-us/cloud-app-security/investigate-anomaly-alerts']",7,,7,T1530,Data from Cloud Storage Object,,[]
8,Cloud App Security Policies,"['https://docs.microsoft.com/en-us/cloud-app-security/policies-cloud-discovery', 'https://docs.microsoft.com/en-us/cloud-app-security/policies-information-protection', 'https://docs.microsoft.com/en-us/cloud-app-security/investigate-anomaly-alerts']",8,,8,T1528,Steal Application Access Token,,[]
9,Cloud App Security Policies,"['https://docs.microsoft.com/en-us/cloud-app-security/policies-cloud-discovery', 'https://docs.microsoft.com/en-us/cloud-app-security/policies-information-protection', 'https://docs.microsoft.com/en-us/cloud-app-security/investigate-anomaly-alerts']",9,,9,T1528,Steal Application Access Token,,[]
10,Cloud App Security Policies,"['https://docs.microsoft.com/en-us/cloud-app-security/policies-cloud-discovery', 'https://docs.microsoft.com/en-us/cloud-app-security/policies-information-protection', 'https://docs.microsoft.com/en-us/cloud-app-security/investigate-anomaly-alerts']",10,,10,T1526,Cloud Service Discovery,,[]
11,Cloud App Security Policies,"['https://docs.microsoft.com/en-us/cloud-app-security/policies-cloud-discovery', 'https://docs.microsoft.com/en-us/cloud-app-security/policies-information-protection', 'https://docs.microsoft.com/en-us/cloud-app-security/investigate-anomaly-alerts']",11,,11,T1213,Data from Information Repositories,,[]
12,Cloud App Security Policies,"['https://docs.microsoft.com/en-us/cloud-app-security/policies-cloud-discovery', 'https://docs.microsoft.com/en-us/cloud-app-security/policies-information-protection', 'https://docs.microsoft.com/en-us/cloud-app-security/investigate-anomaly-alerts']",12,,12,T1213,Data from Information Repositories,,[]
13,Cloud App Security Policies,"['https://docs.microsoft.com/en-us/cloud-app-security/policies-cloud-discovery', 'https://docs.microsoft.com/en-us/cloud-app-security/policies-information-protection', 'https://docs.microsoft.com/en-us/cloud-app-security/investigate-anomaly-alerts']",13,,13,T1119,Automated Collection,,[]
14,Cloud App Security Policies,"['https://docs.microsoft.com/en-us/cloud-app-security/policies-cloud-discovery', 'https://docs.microsoft.com/en-us/cloud-app-security/policies-information-protection', 'https://docs.microsoft.com/en-us/cloud-app-security/investigate-anomaly-alerts']",14,,14,T1119,Automated Collection,,[]
15,Cloud App Security Policies,"['https://docs.microsoft.com/en-us/cloud-app-security/policies-cloud-discovery', 'https://docs.microsoft.com/en-us/cloud-app-security/policies-information-protection', 'https://docs.microsoft.com/en-us/cloud-app-security/investigate-anomaly-alerts']",15,,15,T1565,Data Manipulation,,[]
16,Cloud App Security Policies,"['https://docs.microsoft.com/en-us/cloud-app-security/policies-cloud-discovery', 'https://docs.microsoft.com/en-us/cloud-app-security/policies-information-protection', 'https://docs.microsoft.com/en-us/cloud-app-security/investigate-anomaly-alerts']",16,,16,T1133,External Remote Services,,[]
