,score-category,score-value,related-score,tags,attack-object-key
0,Detect,Partial,True,[],0
1,Protect,Partial,True,[],1
2,Detect,Partial,True,[],2
3,Detect,Partial,False,[],3
4,Detect,Partial,False,[],4
5,Protect,Significant,False,[],5
6,Detect,Significant,False,[],6
7,Detect,Partial,False,[],7
8,Protect,Partial,False,[],8
9,Detect,Partial,False,[],9
10,Detect,Partial,False,[],10
11,Protect,Minimal,True,[],11
12,Detect,Minimal,True,[],12
13,Protect,Partial,False,[],13
14,Detect,Partial,False,[],14
15,Protect,Partial,True,[],15
16,Protect,Partial,False,[],16
17,Detect,Partial,False,[],17
18,Protect,Significant,False,[],18
19,Detect,Partial,False,[],19
20,Detect,Minimal,True,[],20
21,Detect,Minimal,True,[],21
22,Detect,Minimal,True,[],22
23,Detect,Minimal,False,[],23
24,Detect,Partial,False,[],24
25,Detect,Partial,False,[],25
26,Detect,Partial,False,[],26
27,Detect,Minimal,True,[],27
28,Detect,Partial,True,[],28
29,Detect,Minimal,False,[],29
