,score-category,score-value,related-score,tags,attack-object-key
0,Detect,Significant,True,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']",0
1,Detect,Minimal,True,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']",1
2,Detect,Partial,True,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']",2
3,Detect,Partial,True,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']",3
4,Detect,Partial,True,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']",4
5,Detect,Partial,True,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']",5
6,Detect,Minimal,True,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']",6
7,Detect,Minimal,True,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']",7
8,Detect,Minimal,True,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']",8
9,Detect,Partial,True,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']",9
10,Detect,Minimal,True,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']",10
11,Detect,Partial,True,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']",11
12,Detect,Minimal,True,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']",12
13,Detect,Partial,True,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']",13
