,score-category,score-value,related-score,tags,attack-object-key
0,Detect,Minimal,True,"['Azure Defender', 'Linux']",0
1,Detect,Minimal,False,"['Azure Defender', 'Linux']",1
2,Detect,Minimal,True,"['Azure Defender', 'Linux']",2
3,Detect,Minimal,True,"['Azure Defender', 'Linux']",3
4,Detect,Minimal,True,"['Azure Defender', 'Linux']",4
5,Detect,Minimal,True,"['Azure Defender', 'Linux']",5
6,Detect,Minimal,True,"['Azure Defender', 'Linux']",6
7,Detect,Minimal,True,"['Azure Defender', 'Linux']",7
8,Detect,Partial,True,"['Azure Defender', 'Linux']",8
9,Detect,Minimal,True,"['Azure Defender', 'Linux']",9
10,Detect,Partial,True,"['Azure Defender', 'Linux']",10
11,Detect,Partial,True,"['Azure Defender', 'Linux']",11
12,Detect,Minimal,True,"['Azure Defender', 'Linux']",12
13,Detect,Partial,False,"['Azure Defender', 'Linux']",13
14,Detect,Partial,False,"['Azure Defender', 'Linux']",14
