,score-category,score-value,related-score,tags,attack-object-key
0,Detect,Minimal,True,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']",0
1,Detect,Minimal,False,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']",1
2,Detect,Minimal,False,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']",2
3,Detect,Minimal,True,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']",3
4,Detect,Minimal,False,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']",4
5,Detect,Partial,True,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']",5
6,Detect,Minimal,True,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']",6
7,Detect,Partial,True,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']",7
8,Detect,Partial,True,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']",8
9,Detect,Minimal,False,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']",9
10,Detect,Minimal,True,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']",10
11,Detect,Minimal,False,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']",11
12,Detect,Minimal,True,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']",12
13,Detect,Minimal,True,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']",13
14,Detect,Minimal,True,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']",14
15,Detect,Significant,False,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']",15
16,Detect,Minimal,True,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']",16
17,Detect,Minimal,True,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']",17
18,Detect,Partial,False,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']",18
19,Detect,Minimal,True,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']",19
20,Detect,Minimal,True,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']",20
21,Detect,Minimal,True,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']",21
